project_id,project,engine_file,source_role,source_use,candidate_title,candidate_author,candidate_routed_use,verification_limit,proof_step_supported,claim_boundary
row7,Nexus / Discovery Engine,nexus_source_engine.html,method authority,political methodology and intelligence-analysis method sources govern problem formation and research-stage discipline.,"Analyzing Intelligence: Origins, Obstacles, and Innovations",Roger Z. George,"source basis for cross-field discovery, academic-stage gating, and research-to-paper workflow.",metadata/title/category routing; close reading still required before citation or quotation.,"Enter a research question as a bounded project object. / Route it through Observatory, Scanner, Bridge, Cross-Pollination, Assay, Crucible, Incubator, and Forge.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
row7,Nexus / Discovery Engine,nexus_source_engine.html,method authority,political methodology and intelligence-analysis method sources govern problem formation and research-stage discipline.,The Oxford Handbook of Political Methodology,Janet M. Box-Steffensmeier & Henry E. Brady & David Collier,"source basis for cross-field discovery, academic-stage gating, and research-to-paper workflow.",metadata/title/category routing; close reading still required before citation or quotation.,"Enter a research question as a bounded project object. / Route it through Observatory, Scanner, Bridge, Cross-Pollination, Assay, Crucible, Incubator, and Forge.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
row7,Nexus / Discovery Engine,nexus_source_engine.html,method authority,political methodology and intelligence-analysis method sources govern problem formation and research-stage discipline.,The Promise of Reason: Studies in the New Rhetoric,Noemi Perelman Mattis,"source basis for cross-field discovery, academic-stage gating, and research-to-paper workflow.",metadata/title/category routing; close reading still required before citation or quotation.,"Enter a research question as a bounded project object. / Route it through Observatory, Scanner, Bridge, Cross-Pollination, Assay, Crucible, Incubator, and Forge.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
row7,Nexus / Discovery Engine,nexus_source_engine.html,method authority,political methodology and intelligence-analysis method sources govern problem formation and research-stage discipline.,Critical Thinking Skills,Stella Cottrell,"source basis for cross-field discovery, academic-stage gating, and research-to-paper workflow.",metadata/title/category routing; close reading still required before citation or quotation.,"Enter a research question as a bounded project object. / Route it through Observatory, Scanner, Bridge, Cross-Pollination, Assay, Crucible, Incubator, and Forge.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
row7,Nexus / Discovery Engine,nexus_source_engine.html,creativity mechanism,"structural-hole, atypical-combination, and absorptive-capacity literature governs the cross-field discovery claim.","Analyzing Intelligence: Origins, Obstacles, and Innovations",Roger Z. George,"source basis for cross-field discovery, academic-stage gating, and research-to-paper workflow.",metadata/title/category routing; close reading still required before citation or quotation.,"Enter a research question as a bounded project object. / Route it through Observatory, Scanner, Bridge, Cross-Pollination, Assay, Crucible, Incubator, and Forge.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
row7,Nexus / Discovery Engine,nexus_source_engine.html,creativity mechanism,"structural-hole, atypical-combination, and absorptive-capacity literature governs the cross-field discovery claim.",The Oxford Handbook of Political Methodology,Janet M. Box-Steffensmeier & Henry E. Brady & David Collier,"source basis for cross-field discovery, academic-stage gating, and research-to-paper workflow.",metadata/title/category routing; close reading still required before citation or quotation.,"Enter a research question as a bounded project object. / Route it through Observatory, Scanner, Bridge, Cross-Pollination, Assay, Crucible, Incubator, and Forge.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
row7,Nexus / Discovery Engine,nexus_source_engine.html,creativity mechanism,"structural-hole, atypical-combination, and absorptive-capacity literature governs the cross-field discovery claim.",The Promise of Reason: Studies in the New Rhetoric,Noemi Perelman Mattis,"source basis for cross-field discovery, academic-stage gating, and research-to-paper workflow.",metadata/title/category routing; close reading still required before citation or quotation.,"Enter a research question as a bounded project object. / Route it through Observatory, Scanner, Bridge, Cross-Pollination, Assay, Crucible, Incubator, and Forge.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
row7,Nexus / Discovery Engine,nexus_source_engine.html,creativity mechanism,"structural-hole, atypical-combination, and absorptive-capacity literature governs the cross-field discovery claim.",Critical Thinking Skills,Stella Cottrell,"source basis for cross-field discovery, academic-stage gating, and research-to-paper workflow.",metadata/title/category routing; close reading still required before citation or quotation.,"Enter a research question as a bounded project object. / Route it through Observatory, Scanner, Bridge, Cross-Pollination, Assay, Crucible, Incubator, and Forge.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
row7,Nexus / Discovery Engine,nexus_source_engine.html,argument construction,rhetoric and argument-structure sources govern Forge conversion from idea to paper-ready claim.,"Analyzing Intelligence: Origins, Obstacles, and Innovations",Roger Z. George,"source basis for cross-field discovery, academic-stage gating, and research-to-paper workflow.",metadata/title/category routing; close reading still required before citation or quotation.,"Enter a research question as a bounded project object. / Route it through Observatory, Scanner, Bridge, Cross-Pollination, Assay, Crucible, Incubator, and Forge.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
row7,Nexus / Discovery Engine,nexus_source_engine.html,argument construction,rhetoric and argument-structure sources govern Forge conversion from idea to paper-ready claim.,The Oxford Handbook of Political Methodology,Janet M. Box-Steffensmeier & Henry E. Brady & David Collier,"source basis for cross-field discovery, academic-stage gating, and research-to-paper workflow.",metadata/title/category routing; close reading still required before citation or quotation.,"Enter a research question as a bounded project object. / Route it through Observatory, Scanner, Bridge, Cross-Pollination, Assay, Crucible, Incubator, and Forge.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
row7,Nexus / Discovery Engine,nexus_source_engine.html,argument construction,rhetoric and argument-structure sources govern Forge conversion from idea to paper-ready claim.,The Promise of Reason: Studies in the New Rhetoric,Noemi Perelman Mattis,"source basis for cross-field discovery, academic-stage gating, and research-to-paper workflow.",metadata/title/category routing; close reading still required before citation or quotation.,"Enter a research question as a bounded project object. / Route it through Observatory, Scanner, Bridge, Cross-Pollination, Assay, Crucible, Incubator, and Forge.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
row7,Nexus / Discovery Engine,nexus_source_engine.html,argument construction,rhetoric and argument-structure sources govern Forge conversion from idea to paper-ready claim.,Critical Thinking Skills,Stella Cottrell,"source basis for cross-field discovery, academic-stage gating, and research-to-paper workflow.",metadata/title/category routing; close reading still required before citation or quotation.,"Enter a research question as a bounded project object. / Route it through Observatory, Scanner, Bridge, Cross-Pollination, Assay, Crucible, Incubator, and Forge.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
native-poison-rag,Retrieval Integrity and Poison-RAG Defense,poison_rag_source_engine.html,risk standard,AI-risk and LLM-security frameworks set control categories and abuse cases.,Deception: Counterdeception and Counterintelligence,Robert M. Clark & William L. Mitchell,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,"Admit clean and poisoned evidence variants. / Trace poison through index perturbation, ranking, context assembly, answer uptake, and reviewer gate.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
native-poison-rag,Retrieval Integrity and Poison-RAG Defense,poison_rag_source_engine.html,risk standard,AI-risk and LLM-security frameworks set control categories and abuse cases.,The Oxford Handbook of AI Governance,Justin B. Bullock & Yu-Che Chen & Johannes Himmelreich & Valerie M. Hudson & Anton Korinek & Matthew M. Young & Baobao Zhang,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,"Admit clean and poisoned evidence variants. / Trace poison through index perturbation, ranking, context assembly, answer uptake, and reviewer gate.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
native-poison-rag,Retrieval Integrity and Poison-RAG Defense,poison_rag_source_engine.html,risk standard,AI-risk and LLM-security frameworks set control categories and abuse cases.,The Palgrave Handbook of Malicious Use of AI and Psychological Security,Evgeny Pashentsev,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,"Admit clean and poisoned evidence variants. / Trace poison through index perturbation, ranking, context assembly, answer uptake, and reviewer gate.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
native-poison-rag,Retrieval Integrity and Poison-RAG Defense,poison_rag_source_engine.html,risk standard,AI-risk and LLM-security frameworks set control categories and abuse cases.,"Artificial Intelligence, Management and Trust",Mariusz Sołtysik & Magda Gawłowska & Bartlomiej Sniezynski & Artur Gunia,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,"Admit clean and poisoned evidence variants. / Trace poison through index perturbation, ranking, context assembly, answer uptake, and reviewer gate.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
native-poison-rag,Retrieval Integrity and Poison-RAG Defense,poison_rag_source_engine.html,adversarial method,adversarial machine-learning and data-poisoning literature governs attack surfaces.,Deception: Counterdeception and Counterintelligence,Robert M. Clark & William L. Mitchell,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,"Admit clean and poisoned evidence variants. / Trace poison through index perturbation, ranking, context assembly, answer uptake, and reviewer gate.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
native-poison-rag,Retrieval Integrity and Poison-RAG Defense,poison_rag_source_engine.html,adversarial method,adversarial machine-learning and data-poisoning literature governs attack surfaces.,The Oxford Handbook of AI Governance,Justin B. Bullock & Yu-Che Chen & Johannes Himmelreich & Valerie M. Hudson & Anton Korinek & Matthew M. Young & Baobao Zhang,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,"Admit clean and poisoned evidence variants. / Trace poison through index perturbation, ranking, context assembly, answer uptake, and reviewer gate.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
native-poison-rag,Retrieval Integrity and Poison-RAG Defense,poison_rag_source_engine.html,adversarial method,adversarial machine-learning and data-poisoning literature governs attack surfaces.,The Palgrave Handbook of Malicious Use of AI and Psychological Security,Evgeny Pashentsev,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,"Admit clean and poisoned evidence variants. / Trace poison through index perturbation, ranking, context assembly, answer uptake, and reviewer gate.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
native-poison-rag,Retrieval Integrity and Poison-RAG Defense,poison_rag_source_engine.html,adversarial method,adversarial machine-learning and data-poisoning literature governs attack surfaces.,"Artificial Intelligence, Management and Trust",Mariusz Sołtysik & Magda Gawłowska & Bartlomiej Sniezynski & Artur Gunia,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,"Admit clean and poisoned evidence variants. / Trace poison through index perturbation, ranking, context assembly, answer uptake, and reviewer gate.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
native-poison-rag,Retrieval Integrity and Poison-RAG Defense,poison_rag_source_engine.html,analytic burden,intelligence-analysis and human-review sources govern why reviewer burden is a first-class outcome.,Deception: Counterdeception and Counterintelligence,Robert M. Clark & William L. Mitchell,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,"Admit clean and poisoned evidence variants. / Trace poison through index perturbation, ranking, context assembly, answer uptake, and reviewer gate.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
native-poison-rag,Retrieval Integrity and Poison-RAG Defense,poison_rag_source_engine.html,analytic burden,intelligence-analysis and human-review sources govern why reviewer burden is a first-class outcome.,The Oxford Handbook of AI Governance,Justin B. Bullock & Yu-Che Chen & Johannes Himmelreich & Valerie M. Hudson & Anton Korinek & Matthew M. Young & Baobao Zhang,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,"Admit clean and poisoned evidence variants. / Trace poison through index perturbation, ranking, context assembly, answer uptake, and reviewer gate.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
native-poison-rag,Retrieval Integrity and Poison-RAG Defense,poison_rag_source_engine.html,analytic burden,intelligence-analysis and human-review sources govern why reviewer burden is a first-class outcome.,The Palgrave Handbook of Malicious Use of AI and Psychological Security,Evgeny Pashentsev,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,"Admit clean and poisoned evidence variants. / Trace poison through index perturbation, ranking, context assembly, answer uptake, and reviewer gate.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
native-poison-rag,Retrieval Integrity and Poison-RAG Defense,poison_rag_source_engine.html,analytic burden,intelligence-analysis and human-review sources govern why reviewer burden is a first-class outcome.,"Artificial Intelligence, Management and Trust",Mariusz Sołtysik & Magda Gawłowska & Bartlomiej Sniezynski & Artur Gunia,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,"Admit clean and poisoned evidence variants. / Trace poison through index perturbation, ranking, context assembly, answer uptake, and reviewer gate.",May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
poison-rag-defense-annex,Adversarial Evidence Corruption And Poison-RAG Defense Annex,annex_source_engine.html,claim boundary,capstone-method sources prevent future-work architecture from being described as completed empirical findings.,Deception: Counterdeception and Counterintelligence,Robert M. Clark & William L. Mitchell,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,Declare an attack condition and contaminated retrieval path. / Generate a model-output and human-validation trace.,May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
poison-rag-defense-annex,Adversarial Evidence Corruption And Poison-RAG Defense Annex,annex_source_engine.html,claim boundary,capstone-method sources prevent future-work architecture from being described as completed empirical findings.,The Oxford Handbook of AI Governance,Justin B. Bullock & Yu-Che Chen & Johannes Himmelreich & Valerie M. Hudson & Anton Korinek & Matthew M. Young & Baobao Zhang,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,Declare an attack condition and contaminated retrieval path. / Generate a model-output and human-validation trace.,May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
poison-rag-defense-annex,Adversarial Evidence Corruption And Poison-RAG Defense Annex,annex_source_engine.html,claim boundary,capstone-method sources prevent future-work architecture from being described as completed empirical findings.,The Palgrave Handbook of Malicious Use of AI and Psychological Security,Evgeny Pashentsev,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,Declare an attack condition and contaminated retrieval path. / Generate a model-output and human-validation trace.,May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
poison-rag-defense-annex,Adversarial Evidence Corruption And Poison-RAG Defense Annex,annex_source_engine.html,claim boundary,capstone-method sources prevent future-work architecture from being described as completed empirical findings.,"Artificial Intelligence, Management and Trust",Mariusz Sołtysik & Magda Gawłowska & Bartlomiej Sniezynski & Artur Gunia,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,Declare an attack condition and contaminated retrieval path. / Generate a model-output and human-validation trace.,May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
poison-rag-defense-annex,Adversarial Evidence Corruption And Poison-RAG Defense Annex,annex_source_engine.html,attack taxonomy,LLM security and adversarial ML sources define attack families.,Deception: Counterdeception and Counterintelligence,Robert M. Clark & William L. Mitchell,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,Declare an attack condition and contaminated retrieval path. / Generate a model-output and human-validation trace.,May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
poison-rag-defense-annex,Adversarial Evidence Corruption And Poison-RAG Defense Annex,annex_source_engine.html,attack taxonomy,LLM security and adversarial ML sources define attack families.,The Oxford Handbook of AI Governance,Justin B. Bullock & Yu-Che Chen & Johannes Himmelreich & Valerie M. Hudson & Anton Korinek & Matthew M. Young & Baobao Zhang,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,Declare an attack condition and contaminated retrieval path. / Generate a model-output and human-validation trace.,May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
poison-rag-defense-annex,Adversarial Evidence Corruption And Poison-RAG Defense Annex,annex_source_engine.html,attack taxonomy,LLM security and adversarial ML sources define attack families.,The Palgrave Handbook of Malicious Use of AI and Psychological Security,Evgeny Pashentsev,"source basis for mixed-speed poisoning, authority-wrapper attacks, omission attacks, and review-burden proof.",metadata/title/category routing; close reading still required before citation or quotation.,Declare an attack condition and contaminated retrieval path. / Generate a model-output and human-validation trace.,May strengthen proof design and source-utilization plan; may not be treated as passage-level warrant without close-read record.
