project_id,product_name,prior_missing_role,candidate_source,source_assignment_status,why_it_matters,proof_component_to_strengthen,required_output,claim_risk_if_missing
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,adversarial model,Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis,route_pack_candidate,"Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure.",Active-measures-to-data-poisoning case bridge,"attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","project may look impressive but under-supported, over-general, or untestable on this role"
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,counter-source or limitation,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Active-measures-to-data-poisoning case bridge,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,evaluation standard,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Active-measures-to-data-poisoning case bridge,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,source-to-output bridge,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Active-measures-to-data-poisoning case bridge,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",counter-source or limitation,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Structured-analytic technique replay: Analytical Methodology - eleven discipline pages from a Georgetown Ap...,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",evaluation standard,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Structured-analytic technique replay: Analytical Methodology - eleven discipline pages from a Georgetown Ap...,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",source-to-output bridge,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Structured-analytic technique replay: Analytical Methodology - eleven discipline pages from a Georgetown Ap...,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",technical mechanism,Civilization and Its Discontents,route_pack_candidate,"Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible.",Structured-analytic technique replay: Analytical Methodology - eleven discipline pages from a Georgetown Ap...,"module contract, data contract, proof artifact, runtime trace, or failure-handling rule","project may look impressive but under-supported, over-general, or untestable on this role"
analytical-methods,Structured Analytic Technique Studio,adversarial model,Critical Thinking Skills,route_pack_candidate,"Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure.",Structured-analytic technique replay: Structured Analytic Technique Studio,"attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","project may look impressive but under-supported, over-general, or untestable on this role"
analytical-methods,Structured Analytic Technique Studio,counter-source or limitation,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Structured-analytic technique replay: Structured Analytic Technique Studio,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
analytical-methods,Structured Analytic Technique Studio,evaluation standard,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Structured-analytic technique replay: Structured Analytic Technique Studio,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
analytical-methods,Structured Analytic Technique Studio,source-to-output bridge,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Structured-analytic technique replay: Structured Analytic Technique Studio,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
analytical-methods,Structured Analytic Technique Studio,technical mechanism,Deception: Counterdeception and Counterintelligence,route_pack_candidate,"Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible.",Structured-analytic technique replay: Structured Analytic Technique Studio,"module contract, data contract, proof artifact, runtime trace, or failure-handling rule","project may look impressive but under-supported, over-general, or untestable on this role"
applied-history,Applied History - lab for using historical case study to inform contemporary policy,evaluation standard,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Room instrument transition proof: Applied History - lab for using historical case study to inform conte...,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
applied-history,Applied History - lab for using historical case study to inform contemporary policy,method authority,The Oxford Handbook of Political Methodology,route_pack_candidate,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.",Room instrument transition proof: Applied History - lab for using historical case study to inform conte...,"method rule, stage design, instrument behavior, or analytic procedure","project may look impressive but under-supported, over-general, or untestable on this role"
applied-history,Applied History - lab for using historical case study to inform contemporary policy,source-to-output bridge,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.",Room instrument transition proof: Applied History - lab for using historical case study to inform conte...,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact","project may look impressive but under-supported, over-general, or untestable on this role"
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,adversarial model,Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis,route_pack_candidate,"Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure.",Packet promotion decision proof: Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,"attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","project may look impressive but under-supported, over-general, or untestable on this role"
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,close-read requirement,Deception: Counterdeception and Counterintelligence,route_pack_candidate,"Identify which passages, pages, or concepts must be read before quotation, citation, or stronger literature-positioning is allowed.",Packet promotion decision proof: Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,"close-read note, citation record, passage ledger, or blocked-claim release condition","project may look impressive but under-supported, over-general, or untestable on this role"
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,counter-source or limitation,A Military Atlas of the First World War Arthur S. Banks et al,repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.",Packet promotion decision proof: Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement","project may look impressive but under-supported, over-general, or untestable on this role"
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,evaluation standard,A Military Atlas of the First World War Arthur S. Banks et al,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.",Packet promotion decision proof: Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,"test suite, acceptance criteria, scorecard, confidence rule, or release decision","project may look impressive but under-supported, over-general, or untestable on this role"
