record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,wargaming,Wargaming — theater-level alliance-crisis wargame workbench Artifact Identity Register,Demonstrate that Wargaming — theater-level alliance-crisis wargame workbench Artifact Identity Register converts a visible input into the named output without exceeding the claim ceiling.,simulation method + operational domain source + after-action review standard,"Strategic Planning for Dummies Erica Olsen | strategic planning for dummies PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936–1991 Willard C. Matthias","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (packet name, source files, version signal, scope...) produces output (what the packet is and what decision it can still...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,wargaming,Wargaming — theater-level alliance-crisis wargame workbench Extraction And Manifest Layer,Demonstrate that Wargaming — theater-level alliance-crisis wargame workbench Extraction And Manifest Layer converts a visible input into the named output without exceeding the claim ceiling.,simulation method + operational domain source + after-action review standard,"Strategic Planning for Dummies Erica Olsen | strategic planning for dummies PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936–1991 Willard C. Matthias","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (files, tables, text, screenshots, source notes...) produces output (what can be safely mined from the packet...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,wargaming,Wargaming — theater-level alliance-crisis wargame workbench Mechanism Or Claim Distillation,Demonstrate that Wargaming — theater-level alliance-crisis wargame workbench Mechanism Or Claim Distillation converts a visible input into the named output without exceeding the claim ceiling.,simulation method + operational domain source + after-action review standard,"Strategic Planning for Dummies Erica Olsen | strategic planning for dummies PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936–1991 Willard C. Matthias","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (the packet's central method, model, concept, or design...) produces output (the distinctive idea that should not disappear in...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,wargaming,Wargaming — theater-level alliance-crisis wargame workbench Proof Boundary,Demonstrate that Wargaming — theater-level alliance-crisis wargame workbench Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,simulation method + operational domain source + after-action review standard,"Strategic Planning for Dummies Erica Olsen | strategic planning for dummies PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936–1991 Willard C. Matthias","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (built assets, partial assets, archive-only assets...) produces output (what the packet proves now as a reviewable artifact) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,wargaming,Wargaming — theater-level alliance-crisis wargame workbench Promotion Route,Demonstrate that Wargaming — theater-level alliance-crisis wargame workbench Promotion Route converts a visible input into the named output without exceeding the claim ceiling.,simulation method + operational domain source + after-action review standard,"Strategic Planning for Dummies Erica Olsen | strategic planning for dummies PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936–1991 Willard C. Matthias","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (website room, MuranoOS room, Nexus task, paper, source...) produces output (where the packet should go next as a reviewable...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,wargaming,Wargaming — theater-level alliance-crisis wargame workbench Current Authority State,Demonstrate that Wargaming — theater-level alliance-crisis wargame workbench Current Authority State converts a visible input into the named output without exceeding the claim ceiling.,simulation method + operational domain source + after-action review standard,"Strategic Planning for Dummies Erica Olsen | strategic planning for dummies PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936–1991 Willard C. Matthias","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (canonical, superseded, derivative, draft...) produces output (how strongly the packet may govern a public page) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,wargaming,Wargaming — theater-level alliance-crisis wargame workbench Gap And Reconciliation Queue,Demonstrate that Wargaming — theater-level alliance-crisis wargame workbench Gap And Reconciliation Queue converts a visible input into the named output without exceeding the claim ceiling.,simulation method + operational domain source + after-action review standard,"Strategic Planning for Dummies Erica Olsen | strategic planning for dummies PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936–1991 Willard C. Matthias","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (missing source reads, duplicate resolution, version...) produces output (next step before stronger public use as a reviewable...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,wargaming,Wargaming — theater-level alliance-crisis wargame workbench / Alliance Crisis Wargame,Demonstrate that Wargaming — theater-level alliance-crisis wargame workbench / Alliance Crisis Wargame converts a visible input into the named output without exceeding the claim ceiling.,simulation method + operational domain source + after-action review standard,"Strategic Planning for Dummies Erica Olsen | strategic planning for dummies PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936–1991 Willard C. Matthias","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Alliance Crisis Wargame` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,wargaming,Wargaming — theater-level alliance-crisis wargame workbench / Ambiguity Trap,Demonstrate that Wargaming — theater-level alliance-crisis wargame workbench / Ambiguity Trap converts a visible input into the named output without exceeding the claim ceiling.,simulation method + operational domain source + after-action review standard,"Strategic Planning for Dummies Erica Olsen | strategic planning for dummies PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936–1991 Willard C. Matthias","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Ambiguity Trap` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,wargaming,Wargaming — theater-level alliance-crisis wargame workbench / Distraction Window,Demonstrate that Wargaming — theater-level alliance-crisis wargame workbench / Distraction Window converts a visible input into the named output without exceeding the claim ceiling.,simulation method + operational domain source + after-action review standard,"Strategic Planning for Dummies Erica Olsen | strategic planning for dummies PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936–1991 Willard C. Matthias","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Distraction Window` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,wargaming,Wargaming — theater-level alliance-crisis wargame workbench / Slow Fade,Demonstrate that Wargaming — theater-level alliance-crisis wargame workbench / Slow Fade converts a visible input into the named output without exceeding the claim ceiling.,simulation method + operational domain source + after-action review standard,"Strategic Planning for Dummies Erica Olsen | strategic planning for dummies PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936–1991 Willard C. Matthias","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Slow Fade` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,wargaming,Wargaming — theater-level alliance-crisis wargame workbench / Blue Cell,Demonstrate that Wargaming — theater-level alliance-crisis wargame workbench / Blue Cell converts a visible input into the named output without exceeding the claim ceiling.,simulation method + operational domain source + after-action review standard,"Strategic Planning for Dummies Erica Olsen | strategic planning for dummies PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936–1991 Willard C. Matthias","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Blue Cell` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,wargaming,Wargaming — theater-level alliance-crisis wargame workbench / Red Cell,Demonstrate that Wargaming — theater-level alliance-crisis wargame workbench / Red Cell converts a visible input into the named output without exceeding the claim ceiling.,simulation method + operational domain source + after-action review standard,"Strategic Planning for Dummies Erica Olsen | strategic planning for dummies PDOC | America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936–1991 Willard C. Matthias","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Red Cell` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
