project_id,product_name,contract_count,candidate_files_found,unlocated_sources,proof_capsules_touched,high_priority_count,highest_priority_next_action
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),5,5,0,3,0,"After close reading, update operation_to_run and source_bound_test for 3-page Russia integrated-strategy assessment (V1-V4 convergence) and attach the passage note to the listed proof capsule(s)."
row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,5,5,0,3,0,"After close reading, update operation_to_run and source_bound_test for Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning and attach the passage note to the listed proof capsule(s)."
applied-history,Applied History - lab for using historical case study to inform contemporary policy,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Applied History - lab for using historical case study to inform contemporary policy and attach the passage note to the listed proof capsule(s)."
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Critical Functions Observatory - defensive UAS / critical-infrastructure research lab and attach the passage note to the listed proof capsule(s)."
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal and attach the passage note to the listed proof capsule(s)."
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for AR-SAT Room and attach the passage note to the listed proof capsule(s)."
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for 500-role ranked search universe (250 federal + 250 private) and attach the passage note to the listed proof capsule(s)."
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,4,4,0,3,0,"After close reading, update operation_to_run and source_bound_test for Credential stack + 90-day plan + Competency Tracker CSV and attach the passage note to the listed proof capsule(s)."
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Cognitive Firewalls Foundry and attach the passage note to the listed proof capsule(s)."
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Counter-Idiom Lab and attach the passage note to the listed proof capsule(s)."
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Dialectic Engine and attach the passage note to the listed proof capsule(s)."
