project_id,product_name,role,role_plain_name,role_status,source_candidate_to_apply,source_assignment_status,application_rule,project_specific_application,output_it_must_change,test_or_check_it_must_govern,claim_ceiling,next_artifact_to_create,public_claim_allowed_now
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,method authority,Method authority,observed,Pherso Counterintelligence Structured Analytic Techniques,observed_project_binding,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.","Use Pherso Counterintelligence Structured Analytic Techniques as method authority for Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is structured review.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,adversarial model,Adversarial model,missing - assigned as next application need,Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis,route_pack_candidate,"Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure.","Use Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis as adversarial model for Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis: Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure. The immediate application target is Active-measures-to-data-poisoning case bridge.","attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","The proof can show what the adversary does and where the system detects, absorbs, narrows, or blocks it.",Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,evaluation standard,Evaluation standard,missing - assigned as next application need,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.","Use Pherso Counterintelligence Structured Analytic Techniques as evaluation standard for Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis: Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate. The immediate application target is Active-measures-to-data-poisoning case bridge.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,counter-source or limitation,Counter-source or limitation,missing - assigned as next application need,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.","Use Pherso Counterintelligence Structured Analytic Techniques as counter-source or limitation for Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis: Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims. The immediate application target is Active-measures-to-data-poisoning case bridge.","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,source-to-output bridge,Source-to-output bridge,missing - assigned as next application need,Pherso Counterintelligence Structured Analytic Techniques,repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.","Use Pherso Counterintelligence Structured Analytic Techniques as source-to-output bridge for Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis: State exactly which page, chapter, module, output, decision, or sentence the source changes. The immediate application target is Active-measures-to-data-poisoning case bridge.","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",method authority,Method authority,observed,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",observed_project_binding,"Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule.","Use AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University as method authority for Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is state model.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",technical mechanism,Technical mechanism,missing - assigned as next application need,Civilization and Its Discontents,route_pack_candidate,"Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible.","Use Civilization and Its Discontents as technical mechanism for Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface: Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible. The immediate application target is Structured-analytic technique replay: Analytical Methodology - eleven discipline pages from a Georgetown Ap....","module contract, data contract, proof artifact, runtime trace, or failure-handling rule","The component shows how the mechanism works, not only what it is called.",Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",evaluation standard,Evaluation standard,missing - assigned as next application need,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",repurposed_existing_project_source,"Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate.","Use AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University as evaluation standard for Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface: Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate. The immediate application target is Structured-analytic technique replay: Analytical Methodology - eleven discipline pages from a Georgetown Ap....","test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",counter-source or limitation,Counter-source or limitation,missing - assigned as next application need,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",repurposed_existing_project_source,"Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims.","Use AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University as counter-source or limitation for Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface: Extract dissent, uncertainty, scope condition, failure mode, or rival interpretation; then narrow public claims. The immediate application target is Structured-analytic technique replay: Analytical Methodology - eleven discipline pages from a Georgetown Ap....","claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",source-to-output bridge,Source-to-output bridge,missing - assigned as next application need,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",repurposed_existing_project_source,"State exactly which page, chapter, module, output, decision, or sentence the source changes.","Use AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University as source-to-output bridge for Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface: State exactly which page, chapter, module, output, decision, or sentence the source changes. The immediate application target is Structured-analytic technique replay: Analytical Methodology - eleven discipline pages from a Georgetown Ap....","visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,Routing-level source application only until passage-level close reading verifies support.,one close-read note plus one before/after output or proof-rule change,May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
