project_id,product_name,component_runs,package_verifiable_runs,instrumented_runs_needing_capture,source_or_passage_gated_runs,strongest_next_proof_action
row7,Nexus Research Pipeline,101,101,0,0,Capture a live Nexus walkthrough showing both halves of the system: cross-field mechanism discovery and upstream/downstream academic-pipeline dependency control.
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,17,17,0,0,Make the public-safe bridge from tradecraft to data poisoning explicit enough that the study's distinctive mechanism is visible.
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",17,17,0,0,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
applied-history,Applied History - lab for using historical case study to inform contemporary policy,17,17,0,3,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,17,17,0,0,"Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation."
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,17,17,0,0,"Add method-result boundary, validity threats, what the study can and cannot generalize, and a practitioner-facing implication."
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,17,17,0,3,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
master-bundle-atlas,Master Bundle Packet Promotion Atlas,17,17,0,0,Demonstrate packet promotion from raw bundle item to project-specific build decision.
mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,17,17,0,0,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,17,17,0,3,Complete the linked source passage update and revise inspection_protocol and acceptance_test.
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,17,17,0,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,17,17,0,0,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-murano-mashup-room-handoff-v1,Mashup Intelligence Room,17,17,0,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-muranoos-culinary-atelier-handoff-package-2026-04-15,Culinary Atelier,17,17,0,0,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,17,17,0,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),17,17,0,3,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record."
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C × core/extended,17,17,0,3,Complete the linked source passage update and revise input_fixture and observable_output.
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,17,17,0,3,Complete the linked source passage update and revise inspection_protocol and acceptance_test.
native-africa,Colonial Encounter in Africa,17,17,0,3,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
native-aifailure-tax,AI Failure Taxonomy,17,17,0,0,"Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation."
native-aigov-nav,AI Governance Navigator,17,17,0,3,"Add one routing demonstration: user problem, chosen path, rejected path, governing criterion, output, and next review gate."
native-aiintel-cycle,AI Intelligence Cycle,17,17,0,3,Complete the linked source passage update and revise inspection_protocol and acceptance_test.
native-aiknowledge-prod,AI Knowledge Production,17,17,0,3,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-aimodel-assess,AI Model Assessment,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-aiosintnarr,AI OSINT Narrative Analysis,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-aiprompt-eng,AI Prompt Engineering,17,17,0,3,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-aisatvis,AI Structured Analysis Visualization,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-aishared-instruments,AI Shared Instruments,17,17,0,3,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-amfp,Washington-Jefferson Era Foreign Policy,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-atanalysis,Analysis Tradecraft,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-berlin,Berlin Occupation Zones and Refugee Crisis,17,17,0,3,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted."
native-capstone-defense,Cognitive Firewalls Capstone Defense,17,17,0,0,Capture a concrete run trace or exported proof artifact for this project type; the project is currently more specified than demonstrated.
native-capstone-defense-noland,Cognitive Firewalls Defense Room,17,17,0,0,"Add method-result boundary, validity threats, what the study can and cannot generalize, and a practitioner-facing implication."
native-capstone-quantitative,Quantitative Capstone Workbench,17,17,0,0,"Separate proposed conditions, scoring variables, reliability checks, and disconfirmation rules from any result claims; then add one simulated run artifact."
native-cianalysis,Counterintelligence Analysis,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-cicc,ICC Complementarity Case Room,17,17,0,3,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-cmanalysis,Collection Management Analysis,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-coanalysis,Counterintelligence Operations Analysis,17,17,0,0,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
native-crusades,Crusades and Mediterranean Order,17,17,0,3,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use."
