runtime_slice_id,project_id,product_name,instrument_name,runtime_href,state_model,input_model,operation_model,output_model,acceptance_standard,runtime_claim_status,not_full_operational_reason
RTS-C141FFA966EE,applied-history,Applied History - lab for using historical case study to inform contemporary policy,Case-to-policy transfer workbench,apps/applied-history/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,Historical case and present policy problem,Transfer mechanism,Policy-use transfer note,"The output must distinguish historical analogy, mechanism, disanalogy, and policy implication.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-B1001CDD2F39,native-aiprompt-eng,AI Prompt Engineering,Prompt behavior audit workbench,apps/native-aiprompt-eng/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,"Prompt, intended behavior, and failure risk",Prompt audit operation,Prompt revision and risk note,"The output must identify intended behavior, likely failure, revised instruction, and evaluation check.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-3B1FEAEC9667,native-analyst-assurance-desk,Analyst Assurance Desk,Human-AI analysis assurance desk,apps/native-analyst-assurance-desk/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,AI output and analyst concern,Assurance check,Human-AI delta record,"The output must state what the human analyst changed, constrained, rejected, or preserved.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-304F03A7E7B8,native-berlin,Berlin Occupation Zones and Refugee Crisis,Regional case-analysis workbench,apps/native-berlin/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,"Region, case, and analytical question",Regional analysis operation,Regional analytical note,"The output must connect place, historical mechanism, evidence limit, and comparative implication.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-F9401FB20C29,native-russia,Russia,Russia source-to-judgment workbench,apps/native-russia/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,"Russia-related claim, source, or case",Source-to-judgment operation,Bounded Russia judgment,"The output must separate source signal, interpretive claim, uncertainty, and next evidence need.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-63DE7BF6FB7C,native-russia-history-room,Russia Historical Context Room,Russia source-to-judgment workbench,apps/native-russia-history-room/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,"Russia-related claim, source, or case",Source-to-judgment operation,Bounded Russia judgment,"The output must separate source signal, interpretive claim, uncertainty, and next evidence need.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-EB0544B38798,row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,Scholarly retrieval warrant workbench,apps/row6/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,"Claim, source family, or literature-search need",Retrieval warrant operation,Claim-to-source warrant note,"The output must distinguish retrieval hit, source role, warrant strength, and abstention condition.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-F73721AFCCF8,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",Cognitive-warfare instrument workbench,apps/cognitive-warfare/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,Influence mechanism or cognitive-security problem,Cognitive-warfare operation,Instrumented cognitive-security note,"The output must identify mechanism, target vulnerability, defensive instrument, and measurement check.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-C8BAFF3A3DF6,historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",Historical-study case router,apps/historical-studies/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,Historical case and research purpose,Historical-study operation,Routed case-study packet,"The output must route the case to argument, evidence, comparison, or public teaching use.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
RTS-0B63DB480151,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,IR term-forging and stress-test workbench,apps/ir-lexicon/index.html,localStorage latest-run record and twenty-run history plus exportable JSON trace,Candidate term and strategic problem,Lexicon operation,Term definition and use test,"The output must define the term, use it in context, identify misuse risk, and state whether it should be retained.",minimum_operational_runtime_slice_built,"This is a local single-user runtime slice. Full operational standing still requires repeated run evidence, screenshot/browser QA, source verification where relevant, and external or reviewer validation."
