record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,native-mideast,Ottoman Palestine and Early Zionism Runtime Or Interface Surface,Demonstrate that Ottoman Palestine and Early Zionism Runtime Or Interface Surface converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Open or inspect the local runtime path for Ottoman Palestine and Early Zionism Runtime Or Interface Surface; confirm a room, action, or state record traces to the governing contract.",GREEN - proof packet ready for live capture
claim_crosswalk,native-mideast,Ottoman Palestine and Early Zionism Data And State Model,Demonstrate that Ottoman Palestine and Early Zionism Data And State Model converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (records, files, indexes, tables, project state, source...) produces output (state model that explains what the tool remembers...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-mideast,Ottoman Palestine and Early Zionism Core Instrument Panel,Demonstrate that Ottoman Palestine and Early Zionism Core Instrument Panel converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (tool buttons, rooms, workflow steps, analytical...) produces output (named instruments that perform the useful work rather...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-mideast,Ottoman Palestine and Early Zionism Workflow Orchestration,Demonstrate that Ottoman Palestine and Early Zionism Workflow Orchestration converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (upstream inputs, intermediate decisions, downstream...) produces output (pipeline path showing how work moves and when earlier...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-mideast,Ottoman Palestine and Early Zionism Review And Governance Gate,Demonstrate that Ottoman Palestine and Early Zionism Review And Governance Gate converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (quality rules, source checks, claim ceilings, reviewer...) produces output (decision gate that makes the output inspectable before...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-mideast,Ottoman Palestine and Early Zionism Export Or Integration Surface,Demonstrate that Ottoman Palestine and Early Zionism Export Or Integration Surface converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (brief, paper, room, dataset, packet, rendered page...) produces output (usable output that another project, professor...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-mideast,Ottoman Palestine and Early Zionism Build Verification Queue,Demonstrate that Ottoman Palestine and Early Zionism Build Verification Queue converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (unbuilt modules, missing walkthroughs, test cases...) produces output (next proof needed before broader claims about the tool...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-mideast,Ottoman Palestine and Early Zionism / The Establishment In Palestine Of A National Home For The Jewish People,Demonstrate that Ottoman Palestine and Early Zionism / The Establishment In Palestine Of A National Home For The Jewish People converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `The Establishment In Palestine Of A National Home For The Jewish People` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-mideast,Ottoman Palestine and Early Zionism / British Foreign Secretary Arthur Balfour to Lord Walter,Demonstrate that Ottoman Palestine and Early Zionism / British Foreign Secretary Arthur Balfour to Lord Walter converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `British Foreign Secretary Arthur Balfour to Lord Walter` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-mideast,Ottoman Palestine and Early Zionism / Palestine of,Demonstrate that Ottoman Palestine and Early Zionism / Palestine of converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Palestine of` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
