record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,native-africa,Colonial Encounter in Africa Runtime Or Interface Surface,Demonstrate that Colonial Encounter in Africa Runtime Or Interface Surface converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | American Cancer Research Food Nutrition Physical Activity,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Open or inspect the local runtime path for Colonial Encounter in Africa Runtime Or Interface Surface; confirm a room, action, or state record traces to the governing contract.",GREEN - proof packet ready for live capture
claim_crosswalk,native-africa,Colonial Encounter in Africa Data And State Model,Demonstrate that Colonial Encounter in Africa Data And State Model converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | American Cancer Research Food Nutrition Physical Activity,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (records, files, indexes, tables, project state, source...) produces output (state model that explains what the tool remembers...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-africa,Colonial Encounter in Africa Core Instrument Panel,Demonstrate that Colonial Encounter in Africa Core Instrument Panel converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | American Cancer Research Food Nutrition Physical Activity,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (tool buttons, rooms, workflow steps, analytical...) produces output (named instruments that perform the useful work rather...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-africa,Colonial Encounter in Africa Workflow Orchestration,Demonstrate that Colonial Encounter in Africa Workflow Orchestration converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | American Cancer Research Food Nutrition Physical Activity,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (upstream inputs, intermediate decisions, downstream...) produces output (pipeline path showing how work moves and when earlier...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-africa,Colonial Encounter in Africa Review And Governance Gate,Demonstrate that Colonial Encounter in Africa Review And Governance Gate converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | American Cancer Research Food Nutrition Physical Activity,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (quality rules, source checks, claim ceilings, reviewer...) produces output (decision gate that makes the output inspectable before...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-africa,Colonial Encounter in Africa Export Or Integration Surface,Demonstrate that Colonial Encounter in Africa Export Or Integration Surface converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | American Cancer Research Food Nutrition Physical Activity,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (brief, paper, room, dataset, packet, rendered page...) produces output (usable output that another project, professor...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-africa,Colonial Encounter in Africa Build Verification Queue,Demonstrate that Colonial Encounter in Africa Build Verification Queue converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | American Cancer Research Food Nutrition Physical Activity,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (unbuilt modules, missing walkthroughs, test cases...) produces output (next proof needed before broader claims about the tool...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-africa,Colonial Encounter in Africa / Colonial Encounter,Demonstrate that Colonial Encounter in Africa / Colonial Encounter converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | American Cancer Research Food Nutrition Physical Activity,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Colonial Encounter` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-africa,Colonial Encounter in Africa / Evidence Sections,Demonstrate that Colonial Encounter in Africa / Evidence Sections converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | American Cancer Research Food Nutrition Physical Activity,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Evidence Sections` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-africa,Colonial Encounter in Africa / Review Notes,Demonstrate that Colonial Encounter in Africa / Review Notes converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar | American Cancer Research Food Nutrition Physical Activity,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Review Notes` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
