project_id,project_title,title,extension,route_score,routing_basis
row7,Discovery Engine — eight-stage cross-disciplinary research-question discovery apparatus,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
row7,Discovery Engine — eight-stage cross-disciplinary research-question discovery apparatus,American Cancer Research Food Nutrition Physical Activity,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
row7,Discovery Engine — eight-stage cross-disciplinary research-question discovery apparatus,American Cancer Research Food Nutrition Physical Activity PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
row7,Discovery Engine — eight-stage cross-disciplinary research-question discovery apparatus,Creativity Research Nik Murano,.epub,4,metadata/title keyword routing; close reading required before citation or quotation
row7,Discovery Engine — eight-stage cross-disciplinary research-question discovery apparatus,Creativity Research Nik Murano (1),.epub,4,metadata/title keyword routing; close reading required before citation or quotation
row7,Discovery Engine — eight-stage cross-disciplinary research-question discovery apparatus,Creativity Research Nik Murano (2),.epub,4,metadata/title keyword routing; close reading required before citation or quotation
native-poison-rag,Retrieval Integrity and Poisoning Defense,Deception Counterdeception and Counterintelligence Robert M. Clark et al,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
native-poison-rag,Retrieval Integrity and Poisoning Defense,Deception Counterdeception and Counterintelligence Robert M. Clark et al (2),.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
native-poison-rag,Retrieval Integrity and Poisoning Defense,Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
native-poison-rag,Retrieval Integrity and Poisoning Defense,Intelligence and Information Policy for National Security Jan Goldman PDOC,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
native-poison-rag,Retrieval Integrity and Poisoning Defense,Intelligence and Information Policy for National Security Key Terms and Concepts Jan Goldman et al,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
native-poison-rag,Retrieval Integrity and Poisoning Defense,National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Pherso Counterintelligence Structured Analytic Techniques,.pdf,16,metadata/title keyword routing; close reading required before citation or quotation
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,A Tradecraft Primer Structured Analytic Techniques,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,A Tradecraft Primer Structured Analytic Techniques (2),.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,A Tradecraft Primer Structured Analytic Techniques PDOC,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,A Tradecraft Primer Structured Analytic Techniques PDOC,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,.pdf,10,metadata/title keyword routing; close reading required before citation or quotation
poison-rag-defense-annex,Adversarial Evidence Corruption and Poison-RAG Defense - advisor technical annex for LLM-supported analytic judgment,Deception Counterdeception and Counterintelligence Robert M. Clark et al,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
poison-rag-defense-annex,Adversarial Evidence Corruption and Poison-RAG Defense - advisor technical annex for LLM-supported analytic judgment,Deception Counterdeception and Counterintelligence Robert M. Clark et al (2),.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
poison-rag-defense-annex,Adversarial Evidence Corruption and Poison-RAG Defense - advisor technical annex for LLM-supported analytic judgment,Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
poison-rag-defense-annex,Adversarial Evidence Corruption and Poison-RAG Defense - advisor technical annex for LLM-supported analytic judgment,Intelligence and Information Policy for National Security Jan Goldman PDOC,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
poison-rag-defense-annex,Adversarial Evidence Corruption and Poison-RAG Defense - advisor technical annex for LLM-supported analytic judgment,Intelligence and Information Policy for National Security Key Terms and Concepts Jan Goldman et al,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
poison-rag-defense-annex,Adversarial Evidence Corruption and Poison-RAG Defense - advisor technical annex for LLM-supported analytic judgment,National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,.pdf,12,metadata/title keyword routing; close reading required before citation or quotation
native-magnum-opus,Magnum Opus,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-magnum-opus,Magnum Opus,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-magnum-opus,Magnum Opus,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-magnum-opus,Magnum Opus,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-magnum-opus,Magnum Opus,"Disinformation and Counternarratives in International Security Cognitive Competition Gustavo Díaz Matey, Pablo Moral",.epub,4,metadata/title keyword routing; close reading required before citation or quotation
native-magnum-opus,Magnum Opus,"God, Time, and Knowledge William Hasker",.pdf,4,metadata/title keyword routing; close reading required before citation or quotation
native-aifailure-tax,AI Failure Taxonomy,A Military Atlas of the First World War Arthur S. Banks et al,.pdf,2,metadata/title keyword routing; close reading required before citation or quotation
native-aifailure-tax,AI Failure Taxonomy,Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,.pdf,2,metadata/title keyword routing; close reading required before citation or quotation
native-aifailure-tax,AI Failure Taxonomy,Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,.pdf,2,metadata/title keyword routing; close reading required before citation or quotation
