project_id,product_name,instrument_name,operation_under_test,acceptance_decision,trace_hash,trace_href,claim_boundary
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",Methodology room router,Method selection,PASS,1551cf42,traces/analytical-methodology/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
applied-history,Applied History - lab for using historical case study to inform contemporary policy,Case-to-policy transfer workbench,Mechanism extraction,PASS,f8d5adaf,traces/applied-history/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",Cognitive-warfare instrument workbench,Mechanism mapping,PASS,9c6f7d62,traces/cognitive-warfare/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,Decision-advantage architecture workbench,Decision framing,PASS,77f2c787,traces/decision-advantage-system/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",Historical-study case router,Case inventory,PASS,79a0aeb2,traces/historical-studies/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,IR term-forging and stress-test workbench,Definition forge,PASS,2dd95f1d,traces/ir-lexicon/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,Dialectic movement workbench,Claim framing,PASS,5becea02,traces/mb-dialectic-engine-room-pass1-handoff/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
mb-infragard-handoff,InfraGard preparatory note (minimal),Public-private security preparation workbench,Stakeholder map,PASS,a024aefc,traces/mb-infragard-handoff/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
mb-insinuationengineroom-handoff-done,Insinuation Engine,Insinuation-pattern analysis workbench,Literal parse,PASS,3d19c541,traces/mb-insinuationengineroom-handoff-done/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
native-africa,Colonial Encounter in Africa,Regional case-analysis workbench,Case framing,PASS,653c0f32,traces/native-africa/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
native-aiprompt-eng,AI Prompt Engineering,Prompt behavior audit workbench,Instruction clarity check,PASS,d1347ea0,traces/native-aiprompt-eng/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
native-analyst-assurance-desk,Analyst Assurance Desk,Human-AI analysis assurance desk,Claim audit,PASS,440759d3,traces/native-analyst-assurance-desk/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
native-berlin,Berlin Occupation Zones and Refugee Crisis,Regional case-analysis workbench,Case framing,PASS,8605f85f,traces/native-berlin/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
native-east-asia,East Asian War and Strategic Tradition,Regional case-analysis workbench,Case framing,PASS,1026553f,traces/native-east-asia/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
native-mideast,Ottoman Palestine and Early Zionism,Regional case-analysis workbench,Case framing,PASS,29bc3d1b,traces/native-mideast/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
native-mongol,Mongol Empire Military Systems,Regional case-analysis workbench,Case framing,PASS,2fa11bde,traces/native-mongol/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
native-russia,Russia,Russia source-to-judgment workbench,Source classification,PASS,80a84450,traces/native-russia/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
native-russia-history-room,Russia Historical Context Room,Russia source-to-judgment workbench,Source classification,PASS,1136ff98,traces/native-russia-history-room/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
native-russia-security-desk,Russia Security Desk,Russia source-to-judgment workbench,Source classification,PASS,7e7e862a,traces/native-russia-security-desk/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
native-western,Western Political Thought and the Ideal State,Regional case-analysis workbench,Case framing,PASS,491f01c1,traces/native-western/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",Russia source-to-judgment workbench,Source classification,PASS,a84a045b,traces/regional-studies/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,Scholarly retrieval warrant workbench,Source-role routing,PASS,c00b598c,traces/row6/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
russia-desk,Russia Source-To-Judgment Desk,Russia source-to-judgment workbench,Source classification,PASS,ba0fb11d,traces/russia-desk/index.html,"Executed sample trace for a local runtime slice; not multi-user deployment, external validation, or full project completion."
