project_id,product_name,build_tranche,binding_count,source_count,source_roles,modules_strengthened,source_strategy,source_utilization_gap,next_source_build_step
row7,Nexus Research Pipeline,T0 reusable platform kernel,101,12,method authority,Bridge mechanism-transfer mapper,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-handoff-pack-v3-1,* META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff,T2 platform module,17,1,technical mechanism,state model,"Use sources to make the operating environment professionally legible: rooms, instruments, records, agents, review gates, and export limits should map to recognized research, organizational, or human-computer workflow principles.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C x core/extended,T3 governed content system,17,3,domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,T4 portfolio-backed research surface,17,1,method authority,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT)",T3 governed content system,17,4,close-read requirement | counter-source or limitation | domain grounding | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),T3 governed content system,17,5,adversarial model | counter-source or limitation | domain grounding | evaluation standard | technical mechanism,item registry,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,T3 governed content system,17,3,domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,T3 governed content system,17,3,adversarial model | domain grounding | technical mechanism,item registry,"Use sources to convert regional knowledge into bounded analytic variables: actor interests, institutional constraints, strategic culture, deception patterns, force posture, and uncertainty limits.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
row3,"AI Extraction Defense - five-layer architecture protecting proprietary AI models from being extracted, copied, or distilled by adversaries",T3 governed content system,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-aifailure-tax,AI Failure Taxonomy,T4 portfolio-backed research surface,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-aigov-nav,AI Governance Navigator,T3 governed content system,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-aiintel-cycle,AI Intelligence Cycle,T3 governed content system,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-aiknowledge-prod,AI Knowledge Production,T3 governed content system,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-aimodel-assess,AI Model Assessment,T3 governed content system,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-aiosintnarr,AI OSINT Narrative Analysis,T3 governed content system,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-aiprompt-eng,AI Prompt Engineering,T3 governed content system,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,T4 portfolio-backed research surface,17,1,method authority,review gate,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-aishared-instruments,AI Shared Instruments,T3 governed content system,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-aisatvis,AI Structured Analysis Visualization,T3 governed content system,17,1,method authority,source registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-tranche-alpha-handoff-2026-04-14,Actual code patch: 170 KB unified diff + changed files,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-handoff-execution-archive-2026-04-15,Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-muranoos-red-team-handoff-hardened-2026-04-15,"Adds Signature Room Architecture (7 zones) + UI/UX Spec (9 objects, 7 engines)",T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,T3 governed content system,17,4,close-read requirement | domain grounding | method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,T1 flagship operational demonstrator,17,1,method authority,structured review,"Use sources to connect counterintelligence tradecraft, active measures, data poisoning, analytic deception, and human-AI review burden. The proof must show actor objective, poisoned evidence pathway, analytic uptake or rejection, and bounded warning.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-wargaming,Alliance Crisis Wargaming,T4 portfolio-backed research surface,17,1,method authority,review gate,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-atanalysis,Analysis Tradecraft,T4 portfolio-backed research surface,17,1,method authority,structured review,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",T2 platform module,17,1,method authority,state model,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,T2 platform module,17,2,method authority | technical mechanism,state model,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
applied-history,Applied History - lab for using historical case study to inform contemporary policy,T2 platform module,17,4,close-read requirement | counter-source or limitation | domain grounding | technical mechanism,state model,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
native-applied-history-lab,Applied History Lab,T3 governed content system,17,2,method authority | technical mechanism,item registry,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",close-read and bibliographic verification required before turning candidates into formal citations,"complete one source note that changes a module rule, test gate, or claim ceiling"
