record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique Handoff Identity,Demonstrate that CARE framework gray-zone counter-strategy + red-team critique Handoff Identity converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through CARE framework gray-zone counter-strategy + red-team critique Handoff Identity; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique Room Task Model,Demonstrate that CARE framework gray-zone counter-strategy + red-team critique Room Task Model converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through CARE framework gray-zone counter-strategy + red-team critique Room Task Model; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique Data Schema And Persistence Plan,Demonstrate that CARE framework gray-zone counter-strategy + red-team critique Data Schema And Persistence Plan converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through CARE framework gray-zone counter-strategy + red-team critique Data Schema And Persistence Plan; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique Interface And Instrument Plane,Demonstrate that CARE framework gray-zone counter-strategy + red-team critique Interface And Instrument Plane converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through CARE framework gray-zone counter-strategy + red-team critique Interface And Instrument Plane; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique Integration Path,Demonstrate that CARE framework gray-zone counter-strategy + red-team critique Integration Path converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through CARE framework gray-zone counter-strategy + red-team critique Integration Path; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique Proof Boundary,Demonstrate that CARE framework gray-zone counter-strategy + red-team critique Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through CARE framework gray-zone counter-strategy + red-team critique Proof Boundary; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique Next Build Test,Demonstrate that CARE framework gray-zone counter-strategy + red-team critique Next Build Test converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through CARE framework gray-zone counter-strategy + red-team critique Next Build Test; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique / 02_framework_summary_one_page.md,Demonstrate that CARE framework gray-zone counter-strategy + red-team critique / 02_framework_summary_one_page.md converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `02_framework_summary_one_page.md` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique / 01_final_essay.md,Demonstrate that CARE framework gray-zone counter-strategy + red-team critique / 01_final_essay.md converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `01_final_essay.md` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique / 04_red_team_critique.md,Demonstrate that CARE framework gray-zone counter-strategy + red-team critique / 04_red_team_critique.md converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `04_red_team_critique.md` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique / Counter-Ambiguity and Reflexive Erosion,Demonstrate that CARE framework gray-zone counter-strategy + red-team critique / Counter-Ambiguity and Reflexive Erosion converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Counter-Ambiguity and Reflexive Erosion` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique / Reverse the,Demonstrate that CARE framework gray-zone counter-strategy + red-team critique / Reverse the converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Reverse the` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique / Erode the,Demonstrate that CARE framework gray-zone counter-strategy + red-team critique / Erode the converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Erode the` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique / Close-read Book I,Demonstrate that CARE framework gray-zone counter-strategy + red-team critique / Close-read Book I converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Close-read Book I` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
