source_depth_id,project_id,product_name,source_role,source_candidate,source_note_id,quote_candidate_id,utilization_depth_level,utilization_depth_score,depth_status_plain,locator_status,extraction_status,scan_scope,concept_family,concept_detail_cues,quote_candidate_status,artifact_to_change,test_to_update,not_maxed_out_because,next_close_read_action,public_claim_allowed_now
SUD-66F789C11E7A,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,method authority,Pherso Counterintelligence Structured Analytic Techniques,SCN-BA52469959AF,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,intelligence-analysis method and warning,"radio marti, inhalation anthrax, structured techniques, karinna moskalenko, structured critique, assumptions check",candidate_short_excerpt_selected,"method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-C784C15E5C9F,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,adversarial model,Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis,SCN-87F1F384520E,QCN-87F1F384520E,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,full_document_scan,intelligence-analysis method and warning,"united states, moral courage, studies intelligence, former ombudsperson, ombudsperson perspective, perspective studies",candidate_short_excerpt_selected,"attack fixture, red-team lane, defensive gate, warning condition, or replay scenario","The proof can show what the adversary does and where the system detects, absorbs, narrows, or blocks it.",human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-D8BE2D0F357E,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,evaluation standard,Pherso Counterintelligence Structured Analytic Techniques,SCN-BA52469959AF,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,intelligence-analysis method and warning,"radio marti, inhalation anthrax, structured techniques, karinna moskalenko, structured critique, assumptions check",candidate_short_excerpt_selected,"test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-5DC82D231CC5,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,counter-source or limitation,Pherso Counterintelligence Structured Analytic Techniques,SCN-BA52469959AF,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,intelligence-analysis method and warning,"radio marti, inhalation anthrax, structured techniques, karinna moskalenko, structured critique, assumptions check",candidate_short_excerpt_selected,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-7D6C3B122122,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,source-to-output bridge,Pherso Counterintelligence Structured Analytic Techniques,SCN-BA52469959AF,QCN-BA52469959AF,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,capped_first_120_pages,intelligence-analysis method and warning,"radio marti, inhalation anthrax, structured techniques, karinna moskalenko, structured critique, assumptions check",candidate_short_excerpt_selected,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-9ABECC0ADF35,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",method authority,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",SCN-F1A84FB521AC,QCN-F1A84FB521AC,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,full_document_scan,intelligence-analysis method and warning,"artificial intelligence, generative resources, copyright artificial, intelligence generative, authorship copyright, georgetown university",candidate_short_excerpt_selected,"method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-F83966430E5D,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",technical mechanism,Civilization and Its Discontents,SCN-C9CF078562AC,QCN-C9CF078562AC,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,full_document_scan,general source strengthening,"sense guilt, outer world, external world, human beings, feelings guilt, pleasure principle",candidate_short_excerpt_selected,"module contract, data contract, proof artifact, runtime trace, or failure-handling rule","The component shows how the mechanism works, not only what it is called.",human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-5D4E24F0CCA8,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",evaluation standard,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",SCN-F1A84FB521AC,QCN-F1A84FB521AC,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,full_document_scan,intelligence-analysis method and warning,"artificial intelligence, generative resources, copyright artificial, intelligence generative, authorship copyright, georgetown university",candidate_short_excerpt_selected,"test suite, acceptance criteria, scorecard, confidence rule, or release decision",A reviewer can determine whether the component passed or failed without relying on impressionistic language.,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-546FD1F38AEB,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",counter-source or limitation,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",SCN-F1A84FB521AC,QCN-F1A84FB521AC,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,full_document_scan,intelligence-analysis method and warning,"artificial intelligence, generative resources, copyright artificial, intelligence generative, authorship copyright, georgetown university",candidate_short_excerpt_selected,"claim ceiling, caveat, blocked claim, rival interpretation, or uncertainty statement",The public claim becomes more disciplined because this source was applied.,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
SUD-1C753CC8C10A,analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",source-to-output bridge,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University",SCN-F1A84FB521AC,QCN-F1A84FB521AC,L5_source_level_machine_quote_candidate,5,"A source-level short candidate excerpt exists, but project-specific claim fit, exact quotation, page/location, and context still require human verification.",candidate_file_found,extracted,full_document_scan,intelligence-analysis method and warning,"artificial intelligence, generative resources, copyright artificial, intelligence generative, authorship copyright, georgetown university",candidate_short_excerpt_selected,"visible public copy, proof engine behavior, chapter decision, module field, or exported artifact",A before/after or trace record shows source material changing a concrete output.,human verification of exact wording and context; page/location-specific citation; artifact-level integration and before/after proof,Verify the candidate passage or select a better one; record exact page/location; revise the named output and its acceptance test.,May claim source-routed or source-cued design support. May not claim quote-level or page-specific evidentiary support until human verified.
