record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,native-analyst-assurance-desk,Task And Method Assignment,Demonstrate that Task And Method Assignment converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC | Security Assurances and Nuclear Nonproliferation Jeffrey W. Knopf | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Task And Method Assignment; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-analyst-assurance-desk,Evidence And Assumption Intake,Demonstrate that Evidence And Assumption Intake converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC | Security Assurances and Nuclear Nonproliferation Jeffrey W. Knopf | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Evidence And Assumption Intake; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-analyst-assurance-desk,ACH / Alternatives Matrix,Demonstrate that ACH / Alternatives Matrix converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC | Security Assurances and Nuclear Nonproliferation Jeffrey W. Knopf | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through ACH / Alternatives Matrix; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-analyst-assurance-desk,Red-Team / Devil's Advocate Pass,Demonstrate that Red-Team / Devil's Advocate Pass converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC | Security Assurances and Nuclear Nonproliferation Jeffrey W. Knopf | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Red-Team / Devil's Advocate Pass; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-analyst-assurance-desk,Uncertainty And Confidence Gate,Demonstrate that Uncertainty And Confidence Gate converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC | Security Assurances and Nuclear Nonproliferation Jeffrey W. Knopf | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Uncertainty And Confidence Gate; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-analyst-assurance-desk,Human-AI Delta Review,Demonstrate that Human-AI Delta Review converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC | Security Assurances and Nuclear Nonproliferation Jeffrey W. Knopf | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Human-AI Delta Review; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-analyst-assurance-desk,Technique Combination Studio,Demonstrate that Technique Combination Studio converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC | Security Assurances and Nuclear Nonproliferation Jeffrey W. Knopf | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Technique Combination Studio; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-analyst-assurance-desk,Release And Learning Ledger,Demonstrate that Release And Learning Ledger converts a visible input into the named output without exceeding the claim ceiling.,structured analytic method + judgment/bias literature + AI assurance standard,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC | Security Assurances and Nuclear Nonproliferation Jeffrey W. Knopf | Advanced Criminal Investigations and Intelligence Operations Tradecraft Methods Practices Tactics and Techniques ( PDFDrive ) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Release And Learning Ledger; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
source_binding,native-analyst-assurance-desk,Task And Method Assignment,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Task And Method Assignment.",method authority,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-analyst-assurance-desk,Evidence And Assumption Intake,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Evidence And Assumption Intake.",method authority,OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
