task_id,priority,project_id,project_title,source_role,source_title,close_read_question,passage_target_needed,proof_component_to_strengthen,expected_output,claim_unlocked_if_completed
CR-0001,P0,row7,Discovery Engine - eight-stage cross-disciplinary research-question discovery apparatus,technical mechanism,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0002,P0,row7,Discovery Engine - eight-stage cross-disciplinary research-question discovery apparatus,domain grounding,American Cancer Research Food Nutrition Physical Activity,"What domain fact, case pattern, actor logic, or historical constraint should shape the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0003,P0,row7,Discovery Engine - eight-stage cross-disciplinary research-question discovery apparatus,method authority,American Cancer Research Food Nutrition Physical Activity PDOC,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0004,P0,native-poison-rag,Retrieval Integrity and Poisoning Defense,technical mechanism,Deception Counterdeception and Counterintelligence Robert M. Clark et al,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0005,P0,native-poison-rag,Retrieval Integrity and Poisoning Defense,adversarial model,Deception Counterdeception and Counterintelligence Robert M. Clark et al (2),What adversary behavior or failure mode should the proof test?,"Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0006,P0,native-poison-rag,Retrieval Integrity and Poisoning Defense,evaluation standard,Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al,What observable pass/fail condition does this source justify?,"Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0007,P0,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,method authority,Pherso Counterintelligence Structured Analytic Techniques,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0008,P0,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,technical mechanism,A Tradecraft Primer Structured Analytic Techniques,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0009,P0,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,adversarial model,A Tradecraft Primer Structured Analytic Techniques (2),What adversary behavior or failure mode should the proof test?,"Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0010,P0,poison-rag-defense-annex,Adversarial Evidence Corruption and Poison-RAG Defense - advisor technical annex for LLM-supported analytic judgment,method authority,Deception Counterdeception and Counterintelligence Robert M. Clark et al,"What rule, procedure, or method constraint should this source impose on the component?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0011,P0,poison-rag-defense-annex,Adversarial Evidence Corruption and Poison-RAG Defense - advisor technical annex for LLM-supported analytic judgment,technical mechanism,Deception Counterdeception and Counterintelligence Robert M. Clark et al (2),"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0012,P0,poison-rag-defense-annex,Adversarial Evidence Corruption and Poison-RAG Defense - advisor technical annex for LLM-supported analytic judgment,adversarial model,Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al,What adversary behavior or failure mode should the proof test?,"Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
CR-0013,P0,native-magnum-opus,Magnum Opus,technical mechanism,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,"What mechanism, data flow, or technical constraint should become visible in the proof?","Identify chapter, page, section, or argument passage before citation or quotation.",Highest-value component in the project proof packet.,"One source note with claim supported, claim narrowed, instrument rule, and proof-gate implication.",The page may upgrade from metadata-routed source candidate to passage-level source support for the specific component only.
