source_candidate,locator_status,public_file_label,extension,collection_hint,match_score,matched_tokens,alternate_public_labels
(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),candidate_file_found,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris - Military Justice A Guide to the Issues - Praeger (2010).pdf,.pdf,Kindle/PDF source library candidate,216.0,"contemporary, guide, issues, justice, lawrence, military, morris, praeger, security, strategic",(Contemporary Military Strategic and Security Issues) Lawrence J. Morris - Military Justice A Guide to the Issues - Praeger (2010) PDOC.pdf | (Intelligence and the Quest for Security) Loch K. Johnson - Strategic Intelligence [Five Volumes]. vol 1 - 5 - Praeger (2006) (3).pdf
(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,candidate_file_found,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris - Military Justice A Guide to the Issues - Praeger (2010) PDOC.pdf,.pdf,Kindle/PDF source library candidate,226.0,"contemporary, guide, issues, justice, lawrence, military, morris, pdoc, praeger, security, strategic",(Contemporary Military Strategic and Security Issues) Lawrence J. Morris - Military Justice A Guide to the Issues - Praeger (2010).pdf | (Intelligence and the Quest for Security) Loch K. Johnson - Strategic Intelligence [Five Volumes]. vol 1 - 5 - Praeger (2006) PDOC.pdf
(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,candidate_file_found,(Handbooks of Sociology and Social Research) Giuseppe Caforio - Handbook of the Sociology of the Military - Springer (2006) PDOC.pdf,.pdf,Kindle/PDF source library candidate,186.0,"caforio, giuseppe, military, pdoc, social, sociology, springer",Handbook of the Sociology of the Military - Giuseppe Caforio.pdf | Social Psychology The Science of Everyday Life [2015] PDOC.pdf
(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006),candidate_file_found,(Intelligence and the Quest for Security) Loch K. Johnson - Strategic Intelligence [Five Volumes]. vol 1 - 5 - Praeger (2006) (3).pdf,.pdf,Kindle/PDF source library candidate,206.0,"five, intelligence, johnson, loch, praeger, quest, security, strategic, volumes",(Intelligence and the Quest for Security) Loch K. Johnson - Strategic Intelligence [Five Volumes]. vol 1 - 5 - Praeger (2006).pdf | (Intelligence and the Quest for Security) Loch K. Johnson - Strategic Intelligence [Five Volumes]. vol 1 - 5 - Praeger (2006) (4).pdf
(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) (3),candidate_file_found,(Intelligence and the Quest for Security) Loch K. Johnson - Strategic Intelligence [Five Volumes]. vol 1 - 5 - Praeger (2006) (3).pdf,.pdf,Kindle/PDF source library candidate,206.0,"five, intelligence, johnson, loch, praeger, quest, security, strategic, volumes",(Intelligence and the Quest for Security) Loch K. Johnson - Strategic Intelligence [Five Volumes]. vol 1 - 5 - Praeger (2006).pdf | (Intelligence and the Quest for Security) Loch K. Johnson - Strategic Intelligence [Five Volumes]. vol 1 - 5 - Praeger (2006) (4).pdf
(Military Profiles) Dennis Showalter William J. Astore Hindenburg Icon of German Militarism Potomac Books Inc. (2005) PDOC,candidate_file_found,(Military Profiles) Dennis Showalter William J. Astore - Hindenburg Icon of German Militarism - Potomac Books Inc. (2005) PDOC.pdf,.pdf,Kindle/PDF source library candidate,246.0,"astore, books, dennis, german, hindenburg, icon, militarism, military, pdoc, potomac, profiles, showalter","(Military Profiles) Dennis Showalter, William J. Astore - Hindenburg Icon of German Militarism - Potomac Books Inc. (2005) - Unknown.pdf | Russian Military Action PDOC.pdf"
(Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC,candidate_file_found,(Praeger Security International) Richard D. Fisher Jr. - China's Military Modernization Building for Regional and Global Reach - Praeger (2008) PDOC.pdf,.pdf,Kindle/PDF source library candidate,246.0,"building, china, fisher, global, international, military, modernization, pdoc, praeger, reach, regional, richard",China's Military Modernization Building for Regional and Global Reach - Richard D. Fisher Jr..pdf | Russia's Global Reach A Security and Statecraft Assessment 0 PDOC.pdf
043 Historical Documents Harvard Classics PDOC,candidate_file_found,043 Historical Documents Harvard Classics PDOC.pdf,.pdf,Kindle/PDF source library candidate,156.0,"classics, harvard, historical, pdoc",021 Manzoni Harvard Classics PDOC.pdf | 050 HYMNS and PSALMS Harvard Classics PDOC.pdf
2015.219.Russian Thinkers text,candidate_file_found,2015.219.Russian - Thinkers text.pdf,.pdf,Kindle/PDF source library candidate,146.0,"russian, text, thinkers",2015.219.Russian - Thinkers text PDOC.pdf | Russian Thinkers - Isaiah Berlin.pdf
2015.219.Russian Thinkers text PDOC,candidate_file_found,2015.219.Russian - Thinkers text PDOC.pdf,.pdf,Kindle/PDF source library candidate,156.0,"pdoc, russian, text, thinkers",2015.219.Russian - Thinkers text.pdf | Russian Military Action PDOC.pdf
