binding_id,project_id,product_name,assigned_source_candidate,bibliographic_status,bibliographic_note,required_action,claim_blocked_until_done
SB-3C3598750F3B,applied-history,Applied History - lab for using historical case study to inform contemporary policy,Russia's Global Reach A Security and Statecraft Assessment Graeme P. Herd,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation","Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-4F2660D61519,applied-history,Applied History - lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-C0DB2842E3EC,applied-history,Applied History - lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-0CF430F32F83,applied-history,Applied History - lab for using historical case study to inform contemporary policy,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-66C0560EE451,applied-history,Applied History - lab for using historical case study to inform contemporary policy,Russia's Global Reach A Security and Statecraft Assessment Graeme P. Herd,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation","Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-1181BC4DB618,applied-history,Applied History - lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-25A8E909585F,applied-history,Applied History - lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-81294787DE5F,applied-history,Applied History - lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-6257AB05D094,applied-history,Applied History - lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-4AE0033DE196,applied-history,Applied History - lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-2EED20C779F2,applied-history,Applied History - lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-4DBEB965DBF5,applied-history,Applied History - lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-FD2286BC33E0,applied-history,Applied History - lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-AA6AD5E169A7,applied-history,Applied History - lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-2CC036179C64,applied-history,Applied History - lab for using historical case study to inform contemporary policy,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-8733BA73FD6A,applied-history,Applied History - lab for using historical case study to inform contemporary policy,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-0733B2FAE2A7,applied-history,Applied History - lab for using historical case study to inform contemporary policy,Russia's Global Reach A Security and Statecraft Assessment Graeme P. Herd,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation","Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
SB-5C71D69CE591,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,"Verify author, title, edition, publication data, and passage/page before public citation.","quotation, page-specific citation, or strong literature-positioning claim"
