record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,trilogy,Canonical Chapter Identity,Demonstrate that Canonical Chapter Identity converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Intelligence and Information Policy for National Security Jan Goldman PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Canonical Chapter Identity to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,trilogy,ReaderEdition Rewrite Target,Demonstrate that ReaderEdition Rewrite Target converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Intelligence and Information Policy for National Security Jan Goldman PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply ReaderEdition Rewrite Target to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,trilogy,FinalProof Argument Backbone,Demonstrate that FinalProof Argument Backbone converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Intelligence and Information Policy for National Security Jan Goldman PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply FinalProof Argument Backbone to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,trilogy,ConstructionKit Shape Scaffold,Demonstrate that ConstructionKit Shape Scaffold converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Intelligence and Information Policy for National Security Jan Goldman PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply ConstructionKit Shape Scaffold to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,trilogy,PassageTargets Sentence-Pressure Reservoir,Demonstrate that PassageTargets Sentence-Pressure Reservoir converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Intelligence and Information Policy for National Security Jan Goldman PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply PassageTargets Sentence-Pressure Reservoir to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,trilogy,Democratic Dialectic Salvage Ledger,Demonstrate that Democratic Dialectic Salvage Ledger converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Intelligence and Information Policy for National Security Jan Goldman PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Democratic Dialectic Salvage Ledger to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,trilogy,Book I Security Register Gate,Demonstrate that Book I Security Register Gate converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Intelligence and Information Policy for National Security Jan Goldman PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Book I Security Register Gate to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,trilogy,Book II Dialectic Register Gate,Demonstrate that Book II Dialectic Register Gate converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Intelligence and Information Policy for National Security Jan Goldman PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Book II Dialectic Register Gate to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,trilogy,Book III Repair Register Gate,Demonstrate that Book III Repair Register Gate converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Intelligence and Information Policy for National Security Jan Goldman PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Book III Repair Register Gate to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,trilogy,Visual And Title Specificity Gate,Demonstrate that Visual And Title Specificity Gate converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Intelligence and Information Policy for National Security Jan Goldman PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Visual And Title Specificity Gate to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,trilogy,Chapter Dossier And Cross-Book Handoff,Demonstrate that Chapter Dossier And Cross-Book Handoff converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Intelligence and Information Policy for National Security Jan Goldman PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Chapter Dossier And Cross-Book Handoff to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
source_binding,trilogy,Canonical Chapter Identity,Use the source to identify what the component must not claim without further evidence. Component under review: Canonical Chapter Identity.,counter-source or limitation,Clausewitz in the Twenty-First Century,"The source may narrow claims before close reading, but strong objections or literature-positioning claims require passage-level confirmation.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,trilogy,ReaderEdition Rewrite Target,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: ReaderEdition Rewrite Target.",technical mechanism,The Guatemalan Military Project: A Violence Called Democracy,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,trilogy,FinalProof Argument Backbone,"Define the adversary move, timing surface, deception path, or failure pressure the component must test. Component under review: FinalProof Argument Backbone.",adversarial model,Divergent Memories: Opinion Leaders and the Asia-Pacific War,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,trilogy,ConstructionKit Shape Scaffold,Identify the real-world domain constraint that makes the component substantive rather than generic. Component under review: ConstructionKit Shape Scaffold.,domain grounding,The Guatemalan Military Project: A Violence Called Democracy,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,trilogy,PassageTargets Sentence-Pressure Reservoir,"Specify exactly which page, chapter, workflow panel, or analytic output the source should alter. Component under review: PassageTargets Sentence-Pressure Reservoir.",source-to-output bridge,"National, European and Human Security: From Co-Existence to Convergence","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
