record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence) Handoff Identity,Demonstrate that 3-page Russia integrated-strategy assessment (V1-V4 convergence) Handoff Identity converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through 3-page Russia integrated-strategy assessment (V1-V4 convergence) Handoff Identity; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence) Room Task Model,Demonstrate that 3-page Russia integrated-strategy assessment (V1-V4 convergence) Room Task Model converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through 3-page Russia integrated-strategy assessment (V1-V4 convergence) Room Task Model; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence) Data Schema And Persistence Plan,Demonstrate that 3-page Russia integrated-strategy assessment (V1-V4 convergence) Data Schema And Persistence Plan converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through 3-page Russia integrated-strategy assessment (V1-V4 convergence) Data Schema And Persistence Plan; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence) Interface And Instrument Plane,Demonstrate that 3-page Russia integrated-strategy assessment (V1-V4 convergence) Interface And Instrument Plane converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through 3-page Russia integrated-strategy assessment (V1-V4 convergence) Interface And Instrument Plane; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence) Integration Path,Demonstrate that 3-page Russia integrated-strategy assessment (V1-V4 convergence) Integration Path converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through 3-page Russia integrated-strategy assessment (V1-V4 convergence) Integration Path; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence) Proof Boundary,Demonstrate that 3-page Russia integrated-strategy assessment (V1-V4 convergence) Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through 3-page Russia integrated-strategy assessment (V1-V4 convergence) Proof Boundary; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence) Next Build Test,Demonstrate that 3-page Russia integrated-strategy assessment (V1-V4 convergence) Next Build Test converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through 3-page Russia integrated-strategy assessment (V1-V4 convergence) Next Build Test; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence) / PROJECT_CARD.md,Demonstrate that 3-page Russia integrated-strategy assessment (V1-V4 convergence) / PROJECT_CARD.md converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `PROJECT_CARD.md` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence) / FINAL_CIA_WRITING_SAMPLE.md,Demonstrate that 3-page Russia integrated-strategy assessment (V1-V4 convergence) / FINAL_CIA_WRITING_SAMPLE.md converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `FINAL_CIA_WRITING_SAMPLE.md` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence) / CLAIM_CALIBRATION_NOTES.md,Demonstrate that 3-page Russia integrated-strategy assessment (V1-V4 convergence) / CLAIM_CALIBRATION_NOTES.md converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,Russia's Global Reach A Security and Statecraft Assessment 0 PDOC | Russia’s Global Reach A Security and Statecraft Assessment Graeme P. Herd | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `CLAIM_CALIBRATION_NOTES.md` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
