project_id,surface_type,closure_lane,local_closure_possible,external_or_human_required,default_closure_status,packet_hash,remaining_gate
applied-history,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,e72684e69b048080,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-aiprompt-eng,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,5cfdcd46e751f4f0,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-analyst-assurance-desk,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,d6a0c64e8ccebc29,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-berlin,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,725f59d67346b7d8,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-russia,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,d4da1fa83e17cb64,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-russia-history-room,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,5a7c7d389e915c48,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
row6,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,1074c5c8413b475b,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
cognitive-warfare,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,b413111e8c677b8f,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
historical-studies,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,b60db2d93fd6f0a4,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
ir-lexicon,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,d41f8c346d20e123,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-africa,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,e69379eb9f307a03,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-east-asia,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,72b0fd9036379d13,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
