project_id,product_name,source_applications,extracted_sources,roles_covered,concept_families,next_source_action
mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,8,8,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,"Russia/security-domain grounding | general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,8,8,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),8,8,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,Russia/security-domain grounding | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,8,8,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,8,8,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,intelligence-analysis method and warning,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,8,8,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,"Russia/security-domain grounding | intelligence-analysis method and warning | interpretive, narrative, or democratic-formation frame | security strategy and institutional constraint","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,"general source strengthening | interpretive, narrative, or democratic-formation frame","Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",7,7,close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | method/evaluation standard | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,7,7,adversarial model | close-read requirement | counter-source or limitation | domain grounding | evaluation standard | method authority | source-to-output bridge,Russia/security-domain grounding | general source strengthening | intelligence-analysis method and warning | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
master-bundle-atlas,Master Bundle Packet Promotion Atlas,7,7,adversarial model | close-read requirement | counter-source or limitation | evaluation standard | method authority | source-to-output bridge | technical mechanism,general source strengthening | intelligence-analysis method and warning | method/evaluation standard | security strategy and institutional constraint,"Convert the most load-bearing extracted concept into a human close-read note, then update the named proof artifact, acceptance test, and public claim boundary."
