record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,cognitive-firewall-instruments,Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Artifact Identity Register,Demonstrate that Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Artifact Identity Register converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Tradecraft Primer Structured Analytic Techniques","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Artifact Identity Register; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-firewall-instruments,Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Extraction And Manifest Layer,Demonstrate that Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Extraction And Manifest Layer converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Tradecraft Primer Structured Analytic Techniques","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Extraction And Manifest Layer; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-firewall-instruments,Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Mechanism Or Claim Distillation,Demonstrate that Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Mechanism Or Claim Distillation converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Tradecraft Primer Structured Analytic Techniques","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Mechanism Or Claim Distillation; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-firewall-instruments,Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Proof Boundary,Demonstrate that Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Tradecraft Primer Structured Analytic Techniques","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Proof Boundary; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-firewall-instruments,Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Promotion Route,Demonstrate that Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Promotion Route converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Tradecraft Primer Structured Analytic Techniques","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Promotion Route; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-firewall-instruments,Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Current Authority State,Demonstrate that Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Current Authority State converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Tradecraft Primer Structured Analytic Techniques","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Current Authority State; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-firewall-instruments,Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Gap And Reconciliation Queue,Demonstrate that Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Gap And Reconciliation Queue converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Tradecraft Primer Structured Analytic Techniques","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption Gap And Reconciliation Queue; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-firewall-instruments,Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption / Specification New,Demonstrate that Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption / Specification New converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Tradecraft Primer Structured Analytic Techniques","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Specification New` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-firewall-instruments,Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption / Construction Surface,Demonstrate that Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption / Construction Surface converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Tradecraft Primer Structured Analytic Techniques","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Construction Surface` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-firewall-instruments,Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption / The Capstone Methodology And The Research,Demonstrate that Cognitive Firewall Instruments — authoring defensive instruments against AI-mediated analytic corruption / The Capstone Methodology And The Research converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"The Routledge Handbook of Anti Corruption Research and Practice Joseph Pozsgai Alvarez, Roxana Bratu | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | A Tradecraft Primer Structured Analytic Techniques","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `The Capstone Methodology And The Research` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
