project_id,closure_lane,required_slot_count,validator_status,promotion_allowed,vault_href
applied-history,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/applied-history/index.html
native-aiprompt-eng,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-aiprompt-eng/index.html
native-analyst-assurance-desk,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-analyst-assurance-desk/index.html
native-berlin,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-berlin/index.html
native-russia,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-russia/index.html
native-russia-history-room,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-russia-history-room/index.html
row6,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/row6/index.html
cognitive-warfare,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/cognitive-warfare/index.html
historical-studies,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/historical-studies/index.html
ir-lexicon,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/ir-lexicon/index.html
native-africa,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-africa/index.html
native-east-asia,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-east-asia/index.html
native-mideast,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-mideast/index.html
native-mongol,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-mongol/index.html
native-western,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-western/index.html
russia-desk,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/russia-desk/index.html
analytical-methodology,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/analytical-methodology/index.html
regional-studies,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/regional-studies/index.html
decision-advantage-system,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/decision-advantage-system/index.html
mb-dialectic-engine-room-pass1-handoff,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/mb-dialectic-engine-room-pass1-handoff/index.html
native-russia-security-desk,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-russia-security-desk/index.html
mb-infragard-handoff,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/mb-infragard-handoff/index.html
mb-insinuationengineroom-handoff-done,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/mb-insinuationengineroom-handoff-done/index.html
mb-nik-handoff-v1,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-nik-handoff-v1/index.html
mb-russia-intelligence-analysis-final-handoff,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-russia-intelligence-analysis-final-handoff/index.html
mb-russian-reference-handoff-final,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-russian-reference-handoff-final/index.html
mb-visible-chat-handoff-package,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-visible-chat-handoff-package/index.html
native-aigov-nav,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-aigov-nav/index.html
native-aiintel-cycle,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-aiintel-cycle/index.html
native-aiknowledge-prod,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-aiknowledge-prod/index.html
native-aishared-instruments,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-aishared-instruments/index.html
native-cicc,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-cicc/index.html
native-crusades,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-crusades/index.html
native-peace,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-peace/index.html
native-war-theory,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-war-theory/index.html
cognitive-firewall-instruments,publication_readiness_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/cognitive-firewall-instruments/index.html
master-bundle-atlas,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/master-bundle-atlas/index.html
native-amfp,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-amfp/index.html
native-trilogy-showcase,manuscript_editorial_completion,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-trilogy-showcase/index.html
native-trilogy-showcase-atlas,manuscript_editorial_completion,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-trilogy-showcase-atlas/index.html
reflexive-control-chamber,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/reflexive-control-chamber/index.html
row2,publication_readiness_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/row2/index.html
