record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,historical-studies,"Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Runtime Or Interface Surface","Demonstrate that Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Runtime Or Interface Surface converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero | The Guatemalan Military Project A Violence Called Democracy Jennifer Schirmer,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Runtime Or Interface Surface to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,historical-studies,"Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Data And State Model","Demonstrate that Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Data And State Model converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero | The Guatemalan Military Project A Violence Called Democracy Jennifer Schirmer,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Data And State Model to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,historical-studies,"Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Core Instrument Panel","Demonstrate that Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Core Instrument Panel converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero | The Guatemalan Military Project A Violence Called Democracy Jennifer Schirmer,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Core Instrument Panel to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,historical-studies,"Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Workflow Orchestration","Demonstrate that Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Workflow Orchestration converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero | The Guatemalan Military Project A Violence Called Democracy Jennifer Schirmer,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Workflow Orchestration to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,historical-studies,"Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Review And Governance Gate","Demonstrate that Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Review And Governance Gate converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero | The Guatemalan Military Project A Violence Called Democracy Jennifer Schirmer,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Review And Governance Gate to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,historical-studies,"Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Export Or Integration Surface","Demonstrate that Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Export Or Integration Surface converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero | The Guatemalan Military Project A Violence Called Democracy Jennifer Schirmer,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Export Or Integration Surface to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,historical-studies,"Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Build Verification Queue","Demonstrate that Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Build Verification Queue converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero | The Guatemalan Military Project A Violence Called Democracy Jennifer Schirmer,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy Build Verification Queue to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,historical-studies,"Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy / War Theory","Demonstrate that Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy / War Theory converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero | The Guatemalan Military Project A Violence Called Democracy Jennifer Schirmer,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `War Theory` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,historical-studies,"Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy / Track II","Demonstrate that Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy / Track II converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero | The Guatemalan Military Project A Violence Called Democracy Jennifer Schirmer,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Track II` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,historical-studies,"Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy / Habitat for Humanity","Demonstrate that Historical Studies — eleven historical and operational case studies, including the manuscript Trilogy / Habitat for Humanity converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero | The Guatemalan Military Project A Violence Called Democracy Jennifer Schirmer,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Habitat for Humanity` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
