project_id,product_name,build_tranche,runtime_target,minimum_viable_operational_slice,module_contract,data_contract,source_bound_gate,interaction_contract,test_contract,definition_of_done,blocked_claims_until_done
row7,Nexus Research Pipeline,T0 reusable platform kernel,local-first web or desktop application with a graph-backed research-stage dependency model,Implement a live seed-question walkthrough with one cross-field transfer and one downstream stale-state propagation.,Observatory intake and problem decomposition | Scanner and source-field discovery | Bridge mechanism-transfer mapper | Cross-Pollination and XPol fit-pressure tester | Incubator research-object builder | Forge writing/export gate | stage-dependency stale-state engine,"Every run must persist input fixture, source role, operation, output artifact, review decision, claim ceiling, and timestamp.","Every generated research object must preserve seed question, source-field mechanism, fit-pressure test, rejected analogy, and downstream dependency status.",A reviewer must be able to follow the work from input to operation to output without relying on summary prose.,claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output | dependency test: upstream change marks downstream work stale,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths.","Do not claim production readiness, external validation, or general empirical findings until live runs, source close reads, and reviewer captures exist."
native-murano,MuranoOS Research Operating Environment,T0 reusable platform kernel,"desktop or local web application with room registry, instruments, state database, agents, handoffs, and export gates","Show one project moving through room selection, instrument execution, state update, department handoff, review gate, and export.",room registry | instrument registry | state database | agent or department handoff bus | review gate | export boundary | project workstation template system,"Every run must persist input fixture, source role, operation, output artifact, review decision, claim ceiling, and timestamp.","Every work product must preserve room, instrument, state change, review decision, and export boundary.",A reviewer must be able to follow the work from input to operation to output without relying on summary prose.,claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths.","Do not claim production readiness, external validation, or general empirical findings until live runs, source close reads, and reviewer captures exist."
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,T0 reusable platform kernel,"local corpus service with index, retrieval trace, scoring, negative-space, abstention, and citation/export layer","Build a public-safe retrieval trace with corpus boundary, retrieved passages, evidence score, negative-space finding, abstention, and claim ceiling.",corpus registry | index and retrieval service | passage trace viewer | evidence scoring | negative-space detector | abstention policy | citation/export boundary,"Every run must persist input fixture, source role, operation, output artifact, review decision, claim ceiling, and timestamp.","Every answer must retain corpus boundary, retrieved passage trace, contamination or negative-space status, and final claim boundary.",A reviewer must be able to follow the work from input to operation to output without relying on summary prose.,claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | retrieval replay test: clean and contaminated fixtures produce inspectable traces | state-transition test: visible input changes recorded state and output,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths.","Do not claim production readiness, external validation, or general empirical findings until live runs, source close reads, and reviewer captures exist."
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,T0 reusable platform kernel,"scenario replay harness with clean/poisoned fixtures, retrieval trace, answer deformation, reviewer burden, and defense gates","Build the mixed-speed Poison-RAG replay with slow poison, fast injection, authority wrapper, retrieval trace, and defense decision.",adversarial fixture registry | source-admission gate | indexing and retrieval trace | answer deformation comparator | reviewer-burden estimator | block/narrow/abstain decision gate | replay ledger,"Every run must persist input fixture, source role, operation, output artifact, review decision, claim ceiling, and timestamp.","Every answer must retain corpus boundary, retrieved passage trace, contamination or negative-space status, and final claim boundary.",A reviewer must be able to follow the work from input to operation to output without relying on summary prose.,claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | retrieval replay test: clean and contaminated fixtures produce inspectable traces,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths.","Do not claim production readiness, external validation, or general empirical findings until live runs, source close reads, and reviewer captures exist."
row10,Structured Human-AI Analyst Workstation,T0 reusable platform kernel,"interactive analysis application with SAT registry, baseline-vs-reviewed output, confidence delta, and release decision","Build one SAT comparison board: baseline AI answer, structured technique pass, human delta, confidence boundary, and release decision.",SAT method registry | baseline AI output intake | structured review board | human correction ledger | confidence delta tracker | release decision gate,"Every run must persist input fixture, source role, operation, output artifact, review decision, claim ceiling, and timestamp.","Every work product must preserve room, instrument, state change, review decision, and export boundary.",A reviewer must be able to follow the work from input to operation to output without relying on summary prose.,"claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | human-AI delta test: structured human review changes, narrows, blocks, or justifies output","One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths.","Do not claim production readiness, external validation, or general empirical findings until live runs, source close reads, and reviewer captures exist."
analytical-methods,Structured Analytic Technique Studio,T0 reusable platform kernel,"method studio for composing SATs, testing fit, comparing outputs, and recording human-AI sequencing effects",Build a two-technique comparison on one analytic task and record where each technique changed the output.,SAT taxonomy | method-composition builder | task-method fit checker | baseline/method comparison | sequencing experiment ledger | human-AI collaboration result board,"Every run must persist input fixture, source role, operation, output artifact, review decision, claim ceiling, and timestamp.","Every output must preserve source role, proof artifact, acceptance test, and claim ceiling.",A reviewer must be able to follow the work from input to operation to output without relying on summary prose.,claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths.","Do not claim production readiness, external validation, or general empirical findings until live runs, source close reads, and reviewer captures exist."
trilogy,Book Trilogy Manuscript Governance System,T1 flagship operational demonstrator,"chapter dossier system with argument, source, title, voice, visual, and handoff gates",Build one complete representative dossier per book and then scale the same fields across all 72 chapters.,chapter dossier registry | argument backbone field | source state and close-read queue | voice/register constitution | visual-title governance | cross-chapter handoff | revision status,"Every run must persist input fixture, source role, operation, output artifact, review decision, claim ceiling, and timestamp.","Every chapter update must preserve argument backbone, source state, voice/register rule, visual-title rationale, and handoff.",A reviewer must be able to follow the work from input to operation to output without relying on summary prose.,"claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output | chapter uniqueness test: title, visual, source, and argument are chapter-specific","One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths.","Do not claim production readiness, external validation, or general empirical findings until live runs, source close reads, and reviewer captures exist."
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,T1 flagship operational demonstrator,miniature evaluation harness derived from the advisor annex,Convert the advisor annex into one runnable evaluation capsule without representing it as completed empirical results.,annex scenario registry | adversarial evidence packet builder | human/LLM validation checkpoint | defensive gate | replay record | future-study claim boundary,"Every run must persist input fixture, source role, operation, output artifact, review decision, claim ceiling, and timestamp.","Every output must preserve source role, proof artifact, acceptance test, and claim ceiling.",A reviewer must be able to follow the work from input to operation to output without relying on summary prose.,claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths.","Do not claim production readiness, external validation, or general empirical findings until live runs, source close reads, and reviewer captures exist."
russia-desk,Russia Source-To-Judgment Desk,T1 flagship operational demonstrator,source-family to analytic-variable board with uncertainty and judgment gates,Run one source family into a visible source-to-variable-to-judgment chain.,source-family registry | actor interest model | institutional constraint model | strategic culture and deception pattern fields | force posture notes | uncertainty limits | judgment gate,"Every run must persist input fixture, source role, operation, output artifact, review decision, claim ceiling, and timestamp.","Every work product must preserve room, instrument, state change, review decision, and export boundary.",A reviewer must be able to follow the work from input to operation to output without relying on summary prose.,claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths.","Do not claim production readiness, external validation, or general empirical findings until live runs, source close reads, and reviewer captures exist."
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,T1 flagship operational demonstrator,structured public page plus project-specific data packet and proof runner,Make the public-safe bridge from tradecraft to data poisoning explicit enough that the study's distinctive mechanism is visible.,baseline answer | structured review | human delta | confidence gate,"Every run must persist input fixture, source role, operation, output artifact, review decision, claim ceiling, and timestamp.","Every output must preserve source role, proof artifact, acceptance test, and claim ceiling.",A reviewer must be able to follow the work from input to operation to output without relying on summary prose.,"claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | human-AI delta test: structured human review changes, narrows, blocks, or justifies output","One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths.","Do not claim production readiness, external validation, or general empirical findings until live runs, source close reads, and reviewer captures exist."
