receipt_id,project_id,project_title,component,receipt_grade,evidence_status,deploy_evidence_status,proof_tier,receipt_hash,next_strengthening_action
algorithmic-active-measures__receipt_0001,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Runtime Or Interface Surface,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,05966c8491ae883430185158,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0002,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Data And State Model,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,3f5b600c7717e657bf4d9018,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0003,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Core Instrument Panel,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,8e424658b1a8e0dcbc4115b9,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0004,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Workflow Orchestration,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,47f5e788b34d0365dcefdc47,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0005,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Review And Governance Gate,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,d93b28b3eb3b2adea10dfd60,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0006,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Export Or Integration Surface,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,2c192da38e550122ed94447c,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0007,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Build Verification Queue,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,2ae12177de01269a7e35d583,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0008,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / China and Russia,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,ad26ac56ce26bb25a040f4c6,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0009,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Algorithmic Active Measures,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,1a115cd5cca640726545841e,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0010,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Built materials include the full manuscript DOCX,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,c8608d0122a2c8b949cb93c8,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0011,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / An Abstract,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,4b7c20d16f118f31b95c0c90,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0012,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Methods Section,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,1e4c7051d947b396031de1c5,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0013,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / A 243,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,ccbe2ce17466bf8596e334ac,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0014,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Item Shared Intelligence Dataset Described In The Manuscript,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,cccfc165f66b8752cdfee03c,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0015,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / team/blue,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,39f1894663368818f0562160,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0016,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Team Role Architecture,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,7e4c4eb369fbfb5aa315fc4c,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
algorithmic-active-measures__receipt_0017,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / China and Russia target datasets,P: package artifact and component anchor verified; live execution trace still required,no_explicit_local_path,component_anchor_verified_in_deploy_artifacts,source-backed-proof-build,02f5b115c6f77c52bb441952,"Promote from package-verified receipt to live proof by attaching one run trace, screenshot packet, or executable replay."
