record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,reflexive-control-chamber,Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Artifact Identity Register,Demonstrate that Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Artifact Identity Register converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Russian Security and Air Power, 1992 2002 The development of Russian security thinking under Yeltsin and Putin and its consequences for the air forces Marcel de Haas | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Artifact Identity Register; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,reflexive-control-chamber,Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Extraction And Manifest Layer,Demonstrate that Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Extraction And Manifest Layer converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Russian Security and Air Power, 1992 2002 The development of Russian security thinking under Yeltsin and Putin and its consequences for the air forces Marcel de Haas | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Extraction And Manifest Layer; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,reflexive-control-chamber,Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Mechanism Or Claim Distillation,Demonstrate that Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Mechanism Or Claim Distillation converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Russian Security and Air Power, 1992 2002 The development of Russian security thinking under Yeltsin and Putin and its consequences for the air forces Marcel de Haas | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Mechanism Or Claim Distillation; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,reflexive-control-chamber,Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Proof Boundary,Demonstrate that Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Russian Security and Air Power, 1992 2002 The development of Russian security thinking under Yeltsin and Putin and its consequences for the air forces Marcel de Haas | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Proof Boundary; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,reflexive-control-chamber,Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Promotion Route,Demonstrate that Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Promotion Route converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Russian Security and Air Power, 1992 2002 The development of Russian security thinking under Yeltsin and Putin and its consequences for the air forces Marcel de Haas | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Promotion Route; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,reflexive-control-chamber,Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Current Authority State,Demonstrate that Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Current Authority State converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Russian Security and Air Power, 1992 2002 The development of Russian security thinking under Yeltsin and Putin and its consequences for the air forces Marcel de Haas | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Current Authority State; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,reflexive-control-chamber,Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Gap And Reconciliation Queue,Demonstrate that Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Gap And Reconciliation Queue converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Russian Security and Air Power, 1992 2002 The development of Russian security thinking under Yeltsin and Putin and its consequences for the air forces Marcel de Haas | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber Gap And Reconciliation Queue; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,reflexive-control-chamber,Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber / Crown Bar,Demonstrate that Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber / Crown Bar converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Russian Security and Air Power, 1992 2002 The development of Russian security thinking under Yeltsin and Putin and its consequences for the air forces Marcel de Haas | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Crown Bar` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,reflexive-control-chamber,Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber / Evidence Nave,Demonstrate that Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber / Evidence Nave converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Russian Security and Air Power, 1992 2002 The development of Russian security thinking under Yeltsin and Putin and its consequences for the air forces Marcel de Haas | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Evidence Nave` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,reflexive-control-chamber,Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber / Oculus of Judgment,Demonstrate that Reflexive Control Chamber — Russian reflexive-control & strategic-deception research chamber / Oculus of Judgment converts a visible input into the named output without exceeding the claim ceiling.,method source + domain source + counter-source + claim-boundary standard,"Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev | Russian Security and Air Power, 1992 2002 The development of Russian security thinking under Yeltsin and Putin and its consequences for the air forces Marcel de Haas | Soviet High Command a Military political History 1918 1941 A Military Political History 1918 1941 (Soviet Russian) Military Experience Series ( PDFDrive ) PDOC","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Oculus of Judgment` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
