record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,mb-internal-operating-support-008,Internal Operating Support Packet 008 Public Abstraction Boundary,Demonstrate that Internal Operating Support Packet 008 Public Abstraction Boundary converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (private page inventory, public audience, and excluded...) produces output (states the professional support function without...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-internal-operating-support-008,Internal Operating Support Packet 008 Continuity Function,Demonstrate that Internal Operating Support Packet 008 Continuity Function converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (schedule, capacity, recovery, repetition, attention...) produces output (explains how the support layer protects sustained...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-internal-operating-support-008,Internal Operating Support Packet 008 Project Linkage,Demonstrate that Internal Operating Support Packet 008 Project Linkage converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (upstream work readiness, downstream project delivery...) produces output (shows how the support function helps research...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-internal-operating-support-008,Internal Operating Support Packet 008 Privacy And Appropriateness Gate,Demonstrate that Internal Operating Support Packet 008 Privacy And Appropriateness Gate converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (private details, public wording, naming rules...) produces output (keeps the public page professional by abstracting...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-internal-operating-support-008,Internal Operating Support Packet 008 Evidence Surface,Demonstrate that Internal Operating Support Packet 008 Evidence Surface converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (folder record, support packet, room note, status file...) produces output (shows whether the support layer exists without...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-internal-operating-support-008,Internal Operating Support Packet 008 Current Claim Boundary,Demonstrate that Internal Operating Support Packet 008 Current Claim Boundary converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (built, partial, private-only, public-abstraction...) produces output (prevents private support material from being oversold...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-internal-operating-support-008,Internal Operating Support Packet 008 Review Queue,Demonstrate that Internal Operating Support Packet 008 Review Queue converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (rename, abstract, archive, suppress, or connect...) produces output (next editorial decision before public use...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
source_binding,mb-internal-operating-support-008,Internal Operating Support Packet 008 Public Abstraction Boundary,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 008 Public Abstraction Boundary.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-internal-operating-support-008,Internal Operating Support Packet 008 Continuity Function,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 008 Continuity Function.",method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-internal-operating-support-008,Internal Operating Support Packet 008 Project Linkage,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 008 Project Linkage.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-internal-operating-support-008,Internal Operating Support Packet 008 Privacy And Appropriateness Gate,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 008 Privacy And Appropriateness Gate.",method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-internal-operating-support-008,Internal Operating Support Packet 008 Evidence Surface,"Perform passage-level review before turning this source into a citation, quotation, or strong public claim. Component under review: Internal Operating Support Packet 008 Evidence Surface.",close-read requirement,"God, Time, and Knowledge William Hasker","Metadata can justify routing and a close-read task only; it cannot support quotation, page-specific claims, or asserted findings.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-internal-operating-support-008,Internal Operating Support Packet 008 Current Claim Boundary,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Internal Operating Support Packet 008 Current Claim Boundary.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-internal-operating-support-008,Internal Operating Support Packet 008 Review Queue,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Internal Operating Support Packet 008 Review Queue.",method authority,Documents on the Rape of Nanking Timothy Brook PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
