record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,native-applied-history-lab,Applied History Lab Artifact Identity Register,Demonstrate that Applied History Lab Artifact Identity Register converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (packet name, source files, version signal, scope...) produces output (what the packet is and what decision it can still...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-applied-history-lab,Applied History Lab Extraction And Manifest Layer,Demonstrate that Applied History Lab Extraction And Manifest Layer converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (files, tables, text, screenshots, source notes...) produces output (what can be safely mined from the packet...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-applied-history-lab,Applied History Lab Mechanism Or Claim Distillation,Demonstrate that Applied History Lab Mechanism Or Claim Distillation converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (the packet's central method, model, concept, or design...) produces output (the distinctive idea that should not disappear in...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-applied-history-lab,Applied History Lab Proof Boundary,Demonstrate that Applied History Lab Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (built assets, partial assets, archive-only assets...) produces output (what the packet proves now as a reviewable artifact) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-applied-history-lab,Applied History Lab Promotion Route,Demonstrate that Applied History Lab Promotion Route converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (website room, MuranoOS room, Nexus task, paper, source...) produces output (where the packet should go next as a reviewable...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-applied-history-lab,Applied History Lab Current Authority State,Demonstrate that Applied History Lab Current Authority State converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (canonical, superseded, derivative, draft...) produces output (how strongly the packet may govern a public page) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-applied-history-lab,Applied History Lab Gap And Reconciliation Queue,Demonstrate that Applied History Lab Gap And Reconciliation Queue converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (missing source reads, duplicate resolution, version...) produces output (next step before stronger public use as a reviewable...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-applied-history-lab,Applied History Lab / Evidence Sections,Demonstrate that Applied History Lab / Evidence Sections converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Evidence Sections` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-applied-history-lab,Applied History Lab / Review Notes,Demonstrate that Applied History Lab / Review Notes converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Review Notes` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-applied-history-lab,Applied History Lab / Native Navigation,Demonstrate that Applied History Lab / Native Navigation converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Children in the Holocaust and Its Aftermath Historical and Psychological Studies of the Kestenberg Archive Sharon Kangisser Cohen et al | Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ),"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Native Navigation` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
