project_id,product_name,module,source_roles,source_candidates,source_bound_gate,design_rule_to_extract,test_governed,definition_of_done
row7,Nexus Research Pipeline,Bridge mechanism-transfer mapper,method authority,"Analyzing Intelligence: Origins, Obstacles, and Innovations | Challenges in Intelligence Analysis: Lessons From 1300 BCE to the Present | Critical Thinking Skills | Intelligence Analysis: A Target-Centric Approach | Libraries of the Mind","Every generated research object must preserve seed question, source-field mechanism, fit-pressure test, rejected analogy, and downstream dependency status.",Use the source to define the method rule that governs Bridge mechanism-transfer mapper.,claim ceiling test: public claims cannot exceed built evidence,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
native-murano,MuranoOS Research Operating Environment,state database,technical mechanism,"Artificial Intelligence, Management and Trust | Corporate Security Management: Challenges, Risks, and Strategies | Historical Dictionary of Signals Intelligence | Routledge Handbook of International Organization | The Handbook of Communication Skills","Every work product must preserve room, instrument, state change, review decision, and export boundary.","Use the source to specify the mechanism, data flow, or failure behavior inside state database.",state-transition test: visible input changes recorded state and output,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,corpus registry,domain grounding,Bridging the Gap between Collection and Analysis: Intelligence Information Processing and Data Governance | Computational Techniques for Intelligence Analysis: A Cognitive Approach,"Every answer must retain corpus boundary, retrieved passage trace, contamination or negative-space status, and final claim boundary.",Use the source to make corpus registry reflect a real domain constraint rather than generic workflow language.,source test: metadata-routed sources require close reading before citation or quotation,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,index and retrieval service,adversarial model | technical mechanism,"Artificial Intelligence for Business Creativity | Artificial Intelligence, Management and Trust | Intelligence and Information Policy for National Security: Key Terms and Concepts","Every answer must retain corpus boundary, retrieved passage trace, contamination or negative-space status, and final claim boundary.","Use the source to define the adversary move, timing surface, deception pathway, or failure pressure tested by index and retrieval service.",retrieval replay test: clean and contaminated fixtures produce inspectable traces,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,evidence scoring,evaluation standard,Intelligence and Information Policy for National Security: Key Terms and Concepts | The Oxford Companion to Classical Civilization,"Every answer must retain corpus boundary, retrieved passage trace, contamination or negative-space status, and final claim boundary.","Use the source to turn evidence scoring into an observable pass/fail, scoring, reliability, or release gate.",claim ceiling test: public claims cannot exceed built evidence,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,citation/export boundary,counter-source or limitation,The Oxford Companion to Classical Civilization | The SAGE Handbook of Research Methods in Political Science and International Relations,"Every answer must retain corpus boundary, retrieved passage trace, contamination or negative-space status, and final claim boundary.",Use the source to narrow what citation/export boundary is allowed to claim and to expose failure modes.,claim ceiling test: public claims cannot exceed built evidence,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,source-admission gate,close-read requirement | domain grounding | evaluation standard,By Way of Deception | The Oxford Handbook of AI Governance | The Oxford Handbook of Ethics of AI | The Oxford Handbook of Propaganda Studies | The Palgrave Handbook of Malicious Use of AI and Psychological Security,"Every answer must retain corpus boundary, retrieved passage trace, contamination or negative-space status, and final claim boundary.","Use the source to turn source-admission gate into an observable pass/fail, scoring, reliability, or release gate.",claim ceiling test: public claims cannot exceed built evidence,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,indexing and retrieval trace,technical mechanism,"Artificial Intelligence, Management and Trust | Intelligence and Information Policy for National Security: Key Terms and Concepts","Every answer must retain corpus boundary, retrieved passage trace, contamination or negative-space status, and final claim boundary.","Use the source to specify the mechanism, data flow, or failure behavior inside indexing and retrieval trace.",retrieval replay test: clean and contaminated fixtures produce inspectable traces,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,adversarial fixture registry,adversarial model,The Oxford Handbook of Ethics of AI,"Every answer must retain corpus boundary, retrieved passage trace, contamination or negative-space status, and final claim boundary.","Use the source to define the adversary move, timing surface, deception pathway, or failure pressure tested by adversarial fixture registry.",retrieval replay test: clean and contaminated fixtures produce inspectable traces,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
row10,Structured Human-AI Analyst Workstation,SAT method registry,method authority,A Tradecraft Primer Structured Analytic Techniques | Article - Zulauf - SafeguardingObjectivityInIntelligenceAnalysis | Critical Thinking Skills | Deception: Counterdeception and Counterintelligence,"Every work product must preserve room, instrument, state change, review decision, and export boundary.",Use the source to define the method rule that governs SAT method registry.,claim ceiling test: public claims cannot exceed built evidence,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
analytical-methods,Structured Analytic Technique Studio,method-composition builder,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Every output must preserve source role, proof artifact, acceptance test, and claim ceiling.",Use the source to define the method rule that governs method-composition builder.,claim ceiling test: public claims cannot exceed built evidence,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
trilogy,Book Trilogy Manuscript Governance System,chapter dossier registry,adversarial model | counter-source or limitation,Carl von Clausewitz's On War | Clausewitz in the Twenty-First Century | Divergent Memories: Opinion Leaders and the Asia-Pacific War | The Routledge Handbook of Gender and Security,"Every chapter update must preserve argument backbone, source state, voice/register rule, visual-title rationale, and handoff.",Use the source to narrow what chapter dossier registry is allowed to claim and to expose failure modes.,claim ceiling test: public claims cannot exceed built evidence,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
trilogy,Book Trilogy Manuscript Governance System,source state and close-read queue,domain grounding | source-to-output bridge | technical mechanism,"National, European and Human Security: From Co-Existence to Convergence | Return to the Motherland: Displaced Soviets in WWII and the Cold War | The Guatemalan Military Project: A Violence Called Democracy | The Routledge Handbook of Gender and Security","Every chapter update must preserve argument backbone, source state, voice/register rule, visual-title rationale, and handoff.","Use the source to specify the mechanism, data flow, or failure behavior inside source state and close-read queue.",state-transition test: visible input changes recorded state and output,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,annex scenario registry,method authority,"Artificial Intelligence, Management and Trust | Computational Techniques for Intelligence Analysis: A Cognitive Approach | Deception: Counterdeception and Counterintelligence | Field Evaluation in the Intelligence and Counterintelligence Context | Intelligence and Intelligence Analysis","Every output must preserve source role, proof artifact, acceptance test, and claim ceiling.",Use the source to define the method rule that governs annex scenario registry.,claim ceiling test: public claims cannot exceed built evidence,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
russia-desk,Russia Source-To-Judgment Desk,source-family registry,method authority,1601017 Conley KremlinPlaybook Web | Armies of Russia's War in Ukraine | Killer in the Kremlin | Propaganda - Made - to - Measure - How - Our - Vulnerabilities - Facilitate - Russian - Influence | Putin Takes Crimea 2014: Grey-Zone Warfare Opens the Russia-Ukraine Conflict,"Every work product must preserve room, instrument, state change, review decision, and export boundary.",Use the source to define the method rule that governs source-family registry.,claim ceiling test: public claims cannot exceed built evidence,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,structured review,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Every output must preserve source role, proof artifact, acceptance test, and claim ceiling.",Use the source to define the method rule that governs structured review.,claim ceiling test: public claims cannot exceed built evidence,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
master-bundle-atlas,Master Bundle Packet Promotion Atlas,packet registry,close-read requirement | method authority | technical mechanism,Bridging the Gap between Collection and Analysis: Intelligence Information Processing and Data Governance | Critical Thinking Skills | Encyclopedia of GIS | Encyclopedia of World History | Hybrid Intelligence for Image Analysis and Understanding,"Every promoted item must preserve identity, extraction status, authority, duplicate risk, project route, and next action.",Close-read the source before packet registry uses it as public warrant.,source test: metadata-routed sources require close reading before citation or quotation,"One end-to-end fixture runs through the named modules, emits a durable artifact, passes source and claim-ceiling gates, and can be inspected without private paths."
