project_id,product_name,closure_lane,required_review_file,residual_missing_files,blocking_gates,packet_href,vault_href
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/analytical-methodology/index.html,../non_overlap_residual_evidence_vaults/vaults/analytical-methodology/index.html
applied-history,Applied History - lab for using historical case study to inform contemporary policy,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/applied-history/index.html,../non_overlap_residual_evidence_vaults/vaults/applied-history/index.html
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/cognitive-warfare/index.html,../non_overlap_residual_evidence_vaults/vaults/cognitive-warfare/index.html
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/decision-advantage-system/index.html,../non_overlap_residual_evidence_vaults/vaults/decision-advantage-system/index.html
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/historical-studies/index.html,../non_overlap_residual_evidence_vaults/vaults/historical-studies/index.html
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/ir-lexicon/index.html,../non_overlap_residual_evidence_vaults/vaults/ir-lexicon/index.html
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/mb-dialectic-engine-room-pass1-handoff/index.html,../non_overlap_residual_evidence_vaults/vaults/mb-dialectic-engine-room-pass1-handoff/index.html
mb-infragard-handoff,InfraGard preparatory note (minimal),runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/mb-infragard-handoff/index.html,../non_overlap_residual_evidence_vaults/vaults/mb-infragard-handoff/index.html
mb-insinuationengineroom-handoff-done,Insinuation Engine,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/mb-insinuationengineroom-handoff-done/index.html,../non_overlap_residual_evidence_vaults/vaults/mb-insinuationengineroom-handoff-done/index.html
native-africa,Colonial Encounter in Africa,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/native-africa/index.html,../non_overlap_residual_evidence_vaults/vaults/native-africa/index.html
native-aiprompt-eng,AI Prompt Engineering,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/native-aiprompt-eng/index.html,../non_overlap_residual_evidence_vaults/vaults/native-aiprompt-eng/index.html
native-analyst-assurance-desk,Analyst Assurance Desk,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/native-analyst-assurance-desk/index.html,../non_overlap_residual_evidence_vaults/vaults/native-analyst-assurance-desk/index.html
native-berlin,Berlin Occupation Zones and Refugee Crisis,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/native-berlin/index.html,../non_overlap_residual_evidence_vaults/vaults/native-berlin/index.html
native-east-asia,East Asian War and Strategic Tradition,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/native-east-asia/index.html,../non_overlap_residual_evidence_vaults/vaults/native-east-asia/index.html
native-mideast,Ottoman Palestine and Early Zionism,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/native-mideast/index.html,../non_overlap_residual_evidence_vaults/vaults/native-mideast/index.html
native-mongol,Mongol Empire Military Systems,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/native-mongol/index.html,../non_overlap_residual_evidence_vaults/vaults/native-mongol/index.html
native-russia,Russia,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/native-russia/index.html,../non_overlap_residual_evidence_vaults/vaults/native-russia/index.html
native-russia-history-room,Russia Historical Context Room,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/native-russia-history-room/index.html,../non_overlap_residual_evidence_vaults/vaults/native-russia-history-room/index.html
native-russia-security-desk,Russia Security Desk,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/native-russia-security-desk/index.html,../non_overlap_residual_evidence_vaults/vaults/native-russia-security-desk/index.html
native-western,Western Political Thought and the Ideal State,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/native-western/index.html,../non_overlap_residual_evidence_vaults/vaults/native-western/index.html
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/regional-studies/index.html,../non_overlap_residual_evidence_vaults/vaults/regional-studies/index.html
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/row6/index.html,../non_overlap_residual_evidence_vaults/vaults/row6/index.html
russia-desk,Russia Source-To-Judgment Desk,runtime_deployment_validation,reviewer_validation_note.md,hosted_deployment_smoke.json,G8; G10,review_packets/russia-desk/index.html,../non_overlap_residual_evidence_vaults/vaults/russia-desk/index.html
