project_id,short_name,distinctive_mechanism,fixture,observable_output,stage_count,lab_href
row7,Nexus Research Pipeline,Cross-field mechanism transfer plus upstream/downstream stale-state control across the research pipeline.,Seed question: how can human analysts detect when AI-assisted structured analysis is being distorted by contaminated evidence?,"transfer route, rejected false analogy, research-object draft, stale-stage flags, and downstream task updates",7,row7.html
native-murano,MuranoOS,"A local research operating environment where rooms, instruments, agents, memory, review gates, and exports work as one project bureaucracy.",Create a new research project room and move one task from discovery through review and export.,"room state, instrument list, decision trace, review result, and export-ready artifact boundary",6,native-murano.html
native-magnum-opus,Magnum Opus,"A local scholarly retrieval and warrant system that searches a personal corpus, scores evidence strength, and abstains when the corpus cannot support a claim.",Ask a research question requiring literature support and demand evidence rather than a generic answer.,"candidate evidence, support score, negative-space note, abstention status, and source-use boundary",6,native-magnum-opus.html
native-poison-rag,Retrieval Integrity / Poison-RAG,"A retrieval-security harness that compares clean retrieval with slow poison, fast injection, and authority-wrapper attacks.",Run the same analytic question through clean and poisoned retrieval fixtures.,"retrieval trace, contamination window, detector burden, quarantined source, and answer deformation record",7,native-poison-rag.html
poison-rag-defense-annex,Adversarial Evidence Corruption Annex,"A technical extension for adversarial evidence corruption, Poison-RAG replay, human/LLM validation, and claim governance.","Take one corrupted evidence packet and decide whether it can be trusted, quarantined, or used only with warnings.","attack pathway, replay trace, validation split, claim ceiling, and mitigation pattern",6,poison-rag-defense-annex.html
row10,Structured Human-AI Analyst Workstation,A human-in-the-loop analysis workstation for checking AI output during structured analytic technique execution.,Compare a baseline model answer with a structured analyst-supported answer under adversarial evidence pressure.,"baseline answer, structured answer, human correction, delta explanation, and confidence boundary",6,row10.html
analytical-methods,Structured Analytic Technique Studio,"A studio for updating, combining, sequencing, and testing structured analytic techniques for human, AI, and human-AI workflows.",Select an analytic task and design the SAT sequence best suited to the task.,"technique sequence, role split, failure warning, reliability check, and revised method note",6,analytical-methods.html
algorithmic-active-measures,Algorithmic Active Measures,A research and instrument surface for treating data poisoning and algorithmic manipulation as active-measures tradecraft.,Model how a poisoned evidence stream changes an AI-mediated intelligence judgment.,"influence chain, poisoned channel, amplification path, analyst exposure point, and defensive response",6,algorithmic-active-measures.html
trilogy,Book Trilogy Manuscript Governance,"A 72-chapter manuscript governance system that separates book voice, chapter structure, source use, passage targets, and public presentation.",Take one chapter and decide how it should be revised without collapsing the three books into one prose regime.,"chapter upgrade dossier, book-register decision, source/passages used, public title, and release status",6,trilogy.html
russia-desk,Russia Source-To-Judgment Desk,"A source-to-judgment intelligence desk that connects Russian security sources, assumptions, alternatives, indicators, and confidence language.",Assess one Russia security question from source evidence through analytic judgment.,"source chain, assumptions, alternatives, indicators, confidence statement, and update trigger",6,russia-desk.html
master-bundle-atlas,Master Bundle Packet Promotion Atlas,A packet-promotion system for turning a large archive into governed project inputs instead of an unstructured pile.,"Select one packet from the 152-bundle archive and decide whether it should become a public project, source input, proof artifact, or archive-only item.","packet identity, authority state, route, claim ceiling, promotion decision, and next action",6,master-bundle-atlas.html
native-capstone-quantitative,Quantitative Capstone Future Branch,"A future experimental branch for testing condition effects, retrieval modes, structured analytic supports, scoring, and reliability gates.",Convert the qualitative capstone program into a future quantitative design without claiming completed inferential findings.,"condition matrix, scoring rule, reliability plan, disconfirmation condition, and future-work boundary",6,native-capstone-quantitative.html
