record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000) Handoff Identity","Demonstrate that 50-entry curated arsenal (of planned 1,000) Handoff Identity converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (source packet, code-ready room description, scope...) produces output (bounded definition of what the handoff asks a builder...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000) Room Task Model","Demonstrate that 50-entry curated arsenal (of planned 1,000) Room Task Model converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (user roles, task sequence, room state, and domain...) produces output (room logic that turns the concept into a repeatable...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000) Data Schema And Persistence Plan","Demonstrate that 50-entry curated arsenal (of planned 1,000) Data Schema And Persistence Plan converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (entities, records, IDs, tables, JSON structures...) produces output (data model that lets the room preserve work instead...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000) Interface And Instrument Plane","Demonstrate that 50-entry curated arsenal (of planned 1,000) Interface And Instrument Plane converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (panels, command palette, drawers, matrices...) produces output (named interface instruments that make the room useful...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000) Integration Path","Demonstrate that 50-entry curated arsenal (of planned 1,000) Integration Path converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (frontend, backend, storage, retrieval, auth, export...) produces output (build sequence for turning the handoff into working...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000) Proof Boundary","Demonstrate that 50-entry curated arsenal (of planned 1,000) Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (completed packet, code readiness, unimplemented...) produces output (honest current claim ceiling for the handoff...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000) Next Build Test","Demonstrate that 50-entry curated arsenal (of planned 1,000) Next Build Test converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (minimal executable path, seeded fixture, UI...) produces output (specific test that would show the handoff has become...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000) / Generic Idioms","Demonstrate that 50-entry curated arsenal (of planned 1,000) / Generic Idioms converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Generic Idioms` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000) / CSV and MD","Demonstrate that 50-entry curated arsenal (of planned 1,000) / CSV and MD converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `CSV and MD` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000) / NOT DONE","Demonstrate that 50-entry curated arsenal (of planned 1,000) / NOT DONE converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `NOT DONE` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000) / CSV or MD","Demonstrate that 50-entry curated arsenal (of planned 1,000) / CSV or MD converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `CSV or MD` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000) / Pass A","Demonstrate that 50-entry curated arsenal (of planned 1,000) / Pass A converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Pass A` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000) / Pass B. The","Demonstrate that 50-entry curated arsenal (of planned 1,000) / Pass B. The converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Pass B. The` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
