source_note_id,source_candidate,locator_status,public_file_label,extension,collection_hint,match_score,matched_tokens,extraction_status,pages_total,pages_scanned,scan_scope,extractor,top_terms,candidate_phrase_cues,concept_family,passage_contract_count,claim_boundary
SCN-8FCC5F65DFC6,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),candidate_file_found,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris - Military Justice A Guide to the Issues - Praeger (2010).pdf,.pdf,Kindle/PDF source library candidate,216.0,"contemporary, guide, issues, justice, lawrence, military, morris, praeger, security, strategic",extracted,225,120,capped_first_120_pages,PyMuPDF,"military, martial, court, justice, courts, general, soldiers, authority, discipline, judge","military justice, court martial, courts martial, judge advocate, summary court, united states",security strategy and institutional constraint,9,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-6CB2529BF5F6,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,candidate_file_found,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris - Military Justice A Guide to the Issues - Praeger (2010) PDOC.pdf,.pdf,Kindle/PDF source library candidate,226.0,"contemporary, guide, issues, justice, lawrence, military, morris, pdoc, praeger, security, strategic",extracted,225,120,capped_first_120_pages,PyMuPDF,"military, martial, court, justice, courts, general, soldiers, authority, discipline, judge","military justice, court martial, courts martial, judge advocate, summary court, united states",security strategy and institutional constraint,6,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-B24D46420432,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,candidate_file_found,(Handbooks of Sociology and Social Research) Giuseppe Caforio - Handbook of the Sociology of the Military - Springer (2006) PDOC.pdf,.pdf,Kindle/PDF source library candidate,186.0,"caforio, giuseppe, military, pdoc, social, sociology, springer",extracted,488,120,capped_first_120_pages,PyMuPDF,"military, sociology, social, countries, united, control, group, where, forces, society","armed forces, united states, giuseppe caforio, sociology military, united kingdom, military sociology",security strategy and institutional constraint,9,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-835AC475F307,(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006),candidate_file_found,(Intelligence and the Quest for Security) Loch K. Johnson - Strategic Intelligence [Five Volumes]. vol 1 - 5 - Praeger (2006) (3).pdf,.pdf,Kindle/PDF source library candidate,206.0,"five, intelligence, johnson, loch, praeger, quest, security, strategic, volumes",extracted,1807,120,capped_first_120_pages,PyMuPDF,"intelligence, security, agencies, secret, policy, government, british, united, university, world","united states, intelligence community, covert action, national security, intelligence agencies, british intelligence",intelligence-analysis method and warning,2,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-1C2F85CADA9D,(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) (3),candidate_file_found,(Intelligence and the Quest for Security) Loch K. Johnson - Strategic Intelligence [Five Volumes]. vol 1 - 5 - Praeger (2006) (3).pdf,.pdf,Kindle/PDF source library candidate,206.0,"five, intelligence, johnson, loch, praeger, quest, security, strategic, volumes",extracted,1807,120,capped_first_120_pages,PyMuPDF,"intelligence, security, agencies, secret, policy, government, british, united, university, world","united states, intelligence community, covert action, national security, intelligence agencies, british intelligence",intelligence-analysis method and warning,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-AD6DD0F68C4E,(Military Profiles) Dennis Showalter William J. Astore Hindenburg Icon of German Militarism Potomac Books Inc. (2005) PDOC,candidate_file_found,(Military Profiles) Dennis Showalter William J. Astore - Hindenburg Icon of German Militarism - Potomac Books Inc. (2005) PDOC.pdf,.pdf,Kindle/PDF source library candidate,246.0,"astore, books, dennis, german, hindenburg, icon, militarism, military, pdoc, potomac, profiles, showalter",extracted,168,120,capped_first_120_pages,PyMuPDF,"hindenburg, german, ludendorff, germany, kaiser, military, forces, entente, general, soldiers","hindenburg ludendorff, german forces, general staff, united states, austria hungary, luden dorff",security strategy and institutional constraint,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-9BA4C864525F,(Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC,candidate_file_found,China's Military Modernization Building for Regional and Global Reach - Richard D. Fisher Jr..pdf,.pdf,Kindle/PDF source library candidate,110.692,"building, china, fisher, global, military, modernization, reach, regional, richard",extracted,344,120,capped_first_120_pages,PyMuPDF,"china, military, chinese, taiwan, party, states, united, government, power, political","united states, china military, military modernization, communist party, chinese government, chinese military",security strategy and institutional constraint,6,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-E8DB6F8BBA8E,1601017 Conley KremlinPlaybook Web,candidate_file_found,1601017 Conley KremlinPlaybook Web.pdf,.pdf,Kindle/PDF source library candidate,136.0,"conley, kremlinplaybook",extracted,90,90,full_document_scan,PyMuPDF,"influence, economic, corruption, countries, hungary, state, bulgaria, national, government, policy","central eastern, economic influence, united states, cratic institutions, economic footprint, prime minister",Russia/security-domain grounding,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-435546A29B4D,2015.219.Russian Thinkers text,candidate_file_found,2015.219.Russian - Thinkers text.pdf,.pdf,Kindle/PDF source library candidate,146.0,"russian, text, thinkers",extracted,334,120,capped_first_120_pages,PyMuPDF,"russian, tolstoy, history, thinkers, great, social, russia, historical, political, those","russian thinkers, isaiah berlin, nineteenth century, aileen kelly, western europe, tolstoy himself",Russia/security-domain grounding,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-20BDBD96F8DB,2015.219.Russian Thinkers text PDOC,candidate_file_found,2015.219.Russian - Thinkers text PDOC.pdf,.pdf,Kindle/PDF source library candidate,156.0,"pdoc, russian, text, thinkers",extracted,334,120,capped_first_120_pages,PyMuPDF,"russian, tolstoy, history, thinkers, great, social, russia, historical, political, those","russian thinkers, isaiah berlin, nineteenth century, aileen kelly, western europe, tolstoy himself",Russia/security-domain grounding,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-0D0F1ADB001C,2020 10 06 homeland threat assessment,candidate_file_found,2020 10 06 homeland - threat - assessment.pdf,.pdf,Kindle/PDF source library candidate,146.0,"assessment, homeland, threat",extracted,26,26,full_document_scan,PyMuPDF,"homeland, threat, states, security, united, china, covid, influence, actors, government","united states, homeland security, department homeland, threat assessment, homeland threat, assessment department",security strategy and institutional constraint,0,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-E2062223DA89,2aMassage Techniques and Effects Presentation,candidate_file_found,2aMassage - Techniques - and - Effects - Presentation.pdf,.pdf,Kindle/PDF source library candidate,156.0,"2amassage, effects, presentation, techniques",extracted,35,35,full_document_scan,PyMuPDF,"massage, effects, techniques, application, qualities, therapy, pressure, tissue, blood, muscle","massage techniques, massage therapy, qualities massage, massage application, techniques effects, effects massage",general source strengthening,2,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-744D896D2B90,2aMassage Techniques and Effects Presentation PDOC,candidate_file_found,2aMassage - Techniques - and - Effects - Presentation PDOC.pdf,.pdf,Kindle/PDF source library candidate,166.0,"2amassage, effects, pdoc, presentation, techniques",extracted,35,35,full_document_scan,PyMuPDF,"massage, effects, techniques, application, qualities, therapy, pressure, tissue, blood, muscle","massage techniques, massage therapy, qualities massage, massage application, techniques effects, effects massage",general source strengthening,2,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
SCN-365011923779,6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC Sean Brown,candidate_file_found,6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC - Sean Brown.pdf,.pdf,Kindle/PDF source library candidate,216.0,"6e72397078c34c7486448cd590cb0df7, brown, historical, pdoc, putin, russians, sean, ukranians, unity, vladimir",extracted,82,82,full_document_scan,PyMuPDF,"ukraine, russian, russia, putin, ukrainian, people, russians, ukrainians, historical, vladimir","russians ukrainians, vladimir putin, historical unity, unity russians, serhii plokhy, russia ukraine",Russia/security-domain grounding,1,"Machine extraction supports source routing and project bolstering. Quotation, page-specific citation, and final literature claims require human close reading."
