execution_run_id,proof_capsule_id,project_id,product_name,proof_artifact,package_verification_result,next_strengthening_action,claim_allowed_now
PER-42B2B6C352D3,PC-C8B1F0F9BADA,applied-history,Applied History - lab for using historical case study to inform contemporary policy,state transition proof record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-7F3FF632C931,PC-EC03DD98A773,applied-history,Applied History - lab for using historical case study to inform contemporary policy,state transition proof record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-B6B2158ADD7F,PC-EE51DC411215,applied-history,Applied History - lab for using historical case study to inform contemporary policy,state transition proof record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-715E010C58FE,PC-E2BA9EF991FA,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",state transition proof record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-CE39E8274CAA,PC-C459DFF03739,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",state transition proof record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-D742DD60FAD2,PC-BD6DF94827B1,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",state transition proof record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-4672F233B947,PC-FFA7E55760F0,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,packet promotion decision record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-B7BA2D25DD6C,PC-5ED790D31637,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,packet promotion decision record,instrumented proof run awaiting live capture,"Capture a live or simulated run for packet promotion decision record; preserve fixture, trace, output, acceptance result, and claim boundary.",May claim instrumented proof path; do not claim executed proof.
PER-85E44D436C0C,PC-FE2F4B13BFE9,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,packet promotion decision record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
PER-80ECFC8539BC,PC-F79816380EEC,critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,packet promotion decision record,package-verifiable proof run,Complete the linked source passage update and revise inspection_protocol and acceptance_test.,May claim package-verifiable proof contract; do not claim live deployment unless a runtime capture exists.
