project_id,product_name,evidence_standard,must_capture_next,tests_required,blocking_gaps,proof_needed_before_fully_operational_claim
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface","Runnable workflow, defined input fixture, persisted or exportable output, error boundary, repeatable local execution, test log, reviewer-safe demo, and claim ceiling.","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
applied-history,Applied History - lab for using historical case study to inform contemporary policy,"Runnable workflow, defined input fixture, persisted or exportable output, error boundary, repeatable local execution, test log, reviewer-safe demo, and claim ceiling.","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,"Input, method rule, analyst/model action, output schema, scoring or review gate, calibration example, falsifier, and repeatable demonstration.","Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,"Research question, literature position, method, evidence table, claim-to-source map, draft, counterargument handling, review log, and submission/readiness decision.","Add method-result boundary, validity threats, what the study can and cannot generalize, and a practitioner-facing implication.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments","Runnable workflow, defined input fixture, persisted or exportable output, error boundary, repeatable local execution, test log, reviewer-safe demo, and claim ceiling.","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,"Inventory, provenance, authority decision, duplicate/supersession handling, route decision, claim ceiling, reconciliation report, and promoted artifact.","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,"Runnable workflow, defined input fixture, persisted or exportable output, error boundary, repeatable local execution, test log, reviewer-safe demo, and claim ceiling.","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",live or replayable capture still missing | human-verified source integration still missing | not every component has package-verifiable execution evidence | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,"Input, method rule, analyst/model action, output schema, scoring or review gate, calibration example, falsifier, and repeatable demonstration.","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy","Runnable workflow, defined input fixture, persisted or exportable output, error boundary, repeatable local execution, test log, reviewer-safe demo, and claim ceiling.","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | full-build readiness score below expert release threshold | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,"Runnable workflow, defined input fixture, persisted or exportable output, error boundary, repeatable local execution, test log, reviewer-safe demo, and claim ceiling.","Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",human-verified source integration still missing | outside/user validation not yet recorded,"execution trace, acceptance-test result, source-verification note when relevant, public-safe artifact, and outside/user validation record"
