source_candidate,project_count,binding_count,bibliographic_status,risk,recommended_action,representative_projects
043 Historical Documents Harvard Classics PDOC,145,1419,needs bibliographic verification before public citation,high concentration or generic metadata route; replace with project-specific close-read source before public citation,"assign one project-specific method, domain, or evaluation source and record a close-read note before strengthening claims","* META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff | 25x25 matrix framework (Warning labels populated, cell content NOT) | 32 interdisciplinary frameworks attributed to specific thinkers | 400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories | 50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G] | 50-entry curated arsenal (of planned 1,000) | 500-role ranked search universe (250 federal + 250 private) | 52 MB cross-project governance pack; nested 55 MB original bundle preserved"
Documents on the Rape of Nanking Timothy Brook PDOC,110,330,needs bibliographic verification before public citation,high concentration or generic metadata route; replace with project-specific close-read source before public citation,"assign one project-specific method, domain, or evaluation source and record a close-read note before strengthening claims","25x25 matrix framework (Warning labels populated, cell content NOT) | 400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories | 50-entry curated arsenal (of planned 1,000) | 500-role ranked search universe (250 federal + 250 private) | AR-SAT Room | Actual code patch: 170 KB unified diff + changed files | Adds Execution Charter + 7-gate acceptance + RT-01A/B/02/03/04 tracker | Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures"
Pherso Counterintelligence Structured Analytic Techniques,18,277,title-level candidate usable for routing only,high concentration or generic metadata route; replace with project-specific close-read source before public citation,"assign one project-specific method, domain, or evaluation source and record a close-read note before strengthening claims",AI Structured Analysis Visualization | Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis | Collection Management Analysis | Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions | Conversation capture with structured JSON handoff | Counter-Terror Analysis - 13-page counter-terror analytical narrative arc | Counterintelligence Analysis | Counterintelligence Operations Analysis
Documents on the Rape of Nanking Timothy Brook,46,130,title-level candidate usable for routing only,high concentration or generic metadata route; replace with project-specific close-read source before public citation,"assign one project-specific method, domain, or evaluation source and record a close-read note before strengthening claims","25x25 matrix framework (Warning labels populated, cell content NOT) | 400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories | 50-entry curated arsenal (of planned 1,000) | 500-role ranked search universe (250 federal + 250 private) | AR-SAT Room | Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures | Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs | Briefing Forge Room (code-ready)"
(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,9,100,needs bibliographic verification before public citation,high concentration or generic metadata route; replace with project-specific close-read source before public citation,"assign one project-specific method, domain, or evaluation source and record a close-read note before strengthening claims","Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments | Colonial Encounter in Africa | Critical Functions Observatory - defensive UAS / critical-infrastructure research lab | Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning | Mongol Empire Military Systems | Ottoman Palestine and Early Zionism | Quantitative Capstone - quantitative arm of the AI-corruption capstone study | Russia"
Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ),6,86,needs bibliographic verification before public citation,high concentration or generic metadata route; replace with project-specific close-read source before public citation,"assign one project-specific method, domain, or evaluation source and record a close-read note before strengthening claims",Applied History Lab | Emergency Triage Simulator | Recovery Respite Facility Operations | Refugee Resettlement Resource Allocation | Vaccine Distribution Planner | Volunteer Build-Day Coordination
(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),9,75,needs bibliographic verification before public citation,high concentration or generic metadata route; replace with project-specific close-read source before public citation,"assign one project-specific method, domain, or evaluation source and record a close-read note before strengthening claims",100-item ranked bibliography with verification levels A/B/C x core/extended | 3-page Russia integrated-strategy assessment (V1-V4 convergence) | 72-month master plan + Russian-language 12-month CSV + SF-86 prep | Applied History - lab for using historical case study to inform contemporary policy | Credential stack + 90-day plan + Competency Tracker CSV | East Asian War and Strategic Tradition | Russia | Russian-studies bibliography + reflexive meta-analysis session
War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa,3,51,title-level candidate usable for routing only,high concentration or generic metadata route; replace with project-specific close-read source before public citation,"assign one project-specific method, domain, or evaluation source and record a close-read note before strengthening claims","Cognitive Firewalls Capstone Defense | Cognitive Firewalls Defense Room | Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)"
"God, Time, and Knowledge William Hasker",18,18,title-level candidate usable for routing only,high concentration or generic metadata route; replace with project-specific close-read source before public citation,"assign one project-specific method, domain, or evaluation source and record a close-read note before strengthening claims",Internal Operating Support Packet 003 | Internal Operating Support Packet 004 | Internal Operating Support Packet 007 | Internal Operating Support Packet 008 | Internal Operating Support Packet 011 | Internal Operating Support Packet 012 | Internal Operating Support Packet 015 | Internal Operating Support Packet 016
National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,5,16,needs bibliographic verification before public citation,high concentration or generic metadata route; replace with project-specific close-read source before public citation,"assign one project-specific method, domain, or evaluation source and record a close-read note before strengthening claims",CARE framework gray-zone counter-strategy + red-team critique | Counterintelligence Surveillance Framework | Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal | Decision Advantage System - operating architecture for intelligence and security organizations | Russia Security Desk
American Spies Espionage against the United States from the Cold War to the Present ( PDFDrive ) PDOC,2,7,needs bibliographic verification before public citation,high concentration or generic metadata route; replace with project-specific close-read source before public citation,"assign one project-specific method, domain, or evaluation source and record a close-read note before strengthening claims","Quality Review - checking project claims against evidence, scope, and readiness | Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure"
Beekeeping for Dummies David Wiscombe et al,1,3,needs bibliographic verification before public citation,high concentration or generic metadata route; replace with project-specific close-read source before public citation,"assign one project-specific method, domain, or evaluation source and record a close-read note before strengthening claims",Fractal Keep
American Cancer Research Food Nutrition Physical Activity,1,2,title-level candidate usable for routing only,high concentration or generic metadata route; replace with project-specific close-read source before public citation,"assign one project-specific method, domain, or evaluation source and record a close-read note before strengthening claims",Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning
American Cancer Research Food Nutrition Physical Activity PDOC,1,2,needs bibliographic verification before public citation,high concentration or generic metadata route; replace with project-specific close-read source before public citation,"assign one project-specific method, domain, or evaluation source and record a close-read note before strengthening claims",Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning
