project_id,closure_lane,vault_href,required_slot_count,present_slot_count,validation_status,promotion_allowed,vault_hash
applied-history,runtime_deployment_validation,vaults/applied-history/index.html,4,0,evidence_missing,no,e3d317c295038395
native-aiprompt-eng,runtime_deployment_validation,vaults/native-aiprompt-eng/index.html,4,0,evidence_missing,no,72401738c7b42069
native-analyst-assurance-desk,runtime_deployment_validation,vaults/native-analyst-assurance-desk/index.html,4,0,evidence_missing,no,797fb2ff59105f3f
native-berlin,runtime_deployment_validation,vaults/native-berlin/index.html,4,0,evidence_missing,no,58bf209ab3a20b59
native-russia,runtime_deployment_validation,vaults/native-russia/index.html,4,0,evidence_missing,no,5426a0b96d172b69
native-russia-history-room,runtime_deployment_validation,vaults/native-russia-history-room/index.html,4,0,evidence_missing,no,803e5d9a6c7f7ccf
row6,runtime_deployment_validation,vaults/row6/index.html,4,0,evidence_missing,no,a26a6f77fd041678
cognitive-warfare,runtime_deployment_validation,vaults/cognitive-warfare/index.html,4,0,evidence_missing,no,1e34b3c522c620be
historical-studies,runtime_deployment_validation,vaults/historical-studies/index.html,4,0,evidence_missing,no,5c4c5c578c4aab25
ir-lexicon,runtime_deployment_validation,vaults/ir-lexicon/index.html,4,0,evidence_missing,no,9984a5c32a50152d
native-africa,runtime_deployment_validation,vaults/native-africa/index.html,4,0,evidence_missing,no,610473ff39d932cc
native-east-asia,runtime_deployment_validation,vaults/native-east-asia/index.html,4,0,evidence_missing,no,e7611c2b5a81b64b
native-mideast,runtime_deployment_validation,vaults/native-mideast/index.html,4,0,evidence_missing,no,bfa132a7440cca61
native-mongol,runtime_deployment_validation,vaults/native-mongol/index.html,4,0,evidence_missing,no,41a9946ea040b013
native-western,runtime_deployment_validation,vaults/native-western/index.html,4,0,evidence_missing,no,cf3f9bb1f0073cd4
russia-desk,runtime_deployment_validation,vaults/russia-desk/index.html,4,0,evidence_missing,no,be7169255f6a5264
analytical-methodology,runtime_deployment_validation,vaults/analytical-methodology/index.html,4,0,evidence_missing,no,f43f0b31a5c84d38
regional-studies,runtime_deployment_validation,vaults/regional-studies/index.html,4,0,evidence_missing,no,41467bd677f7abd9
decision-advantage-system,runtime_deployment_validation,vaults/decision-advantage-system/index.html,4,0,evidence_missing,no,84aa9013a2129b47
mb-dialectic-engine-room-pass1-handoff,runtime_deployment_validation,vaults/mb-dialectic-engine-room-pass1-handoff/index.html,4,0,evidence_missing,no,1e3a1cd8d0c9f7bf
native-russia-security-desk,runtime_deployment_validation,vaults/native-russia-security-desk/index.html,4,0,evidence_missing,no,79119047a2f999d6
mb-infragard-handoff,runtime_deployment_validation,vaults/mb-infragard-handoff/index.html,4,0,evidence_missing,no,073ffba6ff70362d
mb-insinuationengineroom-handoff-done,runtime_deployment_validation,vaults/mb-insinuationengineroom-handoff-done/index.html,4,0,evidence_missing,no,1661266334b7ac07
mb-nik-handoff-v1,source_verification_external_review,vaults/mb-nik-handoff-v1/index.html,4,0,evidence_missing,no,61d6874bda92f51b
mb-russia-intelligence-analysis-final-handoff,source_verification_external_review,vaults/mb-russia-intelligence-analysis-final-handoff/index.html,4,0,evidence_missing,no,ac2282da940d552b
mb-russian-reference-handoff-final,source_verification_external_review,vaults/mb-russian-reference-handoff-final/index.html,4,0,evidence_missing,no,16af7ae0ee16a57f
mb-visible-chat-handoff-package,source_verification_external_review,vaults/mb-visible-chat-handoff-package/index.html,4,0,evidence_missing,no,d71e863b29c5c496
native-aigov-nav,source_verification_external_review,vaults/native-aigov-nav/index.html,4,0,evidence_missing,no,05c6af4e6d278003
native-aiintel-cycle,source_verification_external_review,vaults/native-aiintel-cycle/index.html,4,0,evidence_missing,no,8e529a6302fc9a75
native-aiknowledge-prod,source_verification_external_review,vaults/native-aiknowledge-prod/index.html,4,0,evidence_missing,no,3db81eeb49486d43
native-aishared-instruments,source_verification_external_review,vaults/native-aishared-instruments/index.html,4,0,evidence_missing,no,fb8c4c053c5e6020
native-cicc,source_verification_external_review,vaults/native-cicc/index.html,4,0,evidence_missing,no,7c10439c9eed98bf
native-crusades,source_verification_external_review,vaults/native-crusades/index.html,4,0,evidence_missing,no,2bd242b39bfbc853
native-peace,source_verification_external_review,vaults/native-peace/index.html,4,0,evidence_missing,no,2ecc16613e395338
native-war-theory,source_verification_external_review,vaults/native-war-theory/index.html,4,0,evidence_missing,no,caa1ccc96969820d
cognitive-firewall-instruments,publication_readiness_review,vaults/cognitive-firewall-instruments/index.html,4,0,evidence_missing,no,5b3c082461b528d1
master-bundle-atlas,source_verification_external_review,vaults/master-bundle-atlas/index.html,4,0,evidence_missing,no,17c385ce9b6b97f7
native-amfp,source_verification_external_review,vaults/native-amfp/index.html,4,0,evidence_missing,no,572b1ad2e37f5a77
native-trilogy-showcase,manuscript_editorial_completion,vaults/native-trilogy-showcase/index.html,4,0,evidence_missing,no,57495639306417f6
native-trilogy-showcase-atlas,manuscript_editorial_completion,vaults/native-trilogy-showcase-atlas/index.html,4,0,evidence_missing,no,bd42d6815ffd14d5
reflexive-control-chamber,source_verification_external_review,vaults/reflexive-control-chamber/index.html,4,0,evidence_missing,no,4fdc404895318f4e
row2,publication_readiness_review,vaults/row2/index.html,4,0,evidence_missing,no,142c558799259fae
trilogy,manuscript_editorial_completion,vaults/trilogy/index.html,4,0,evidence_missing,no,04bfcc293628b6c6
bias-atlas,live_case_calibration,vaults/bias-atlas/index.html,4,0,evidence_missing,no,8456eff17cc9950e
genocide-lab,live_case_calibration,vaults/genocide-lab/index.html,4,0,evidence_missing,no,31fbead859d6fe97
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,manuscript_editorial_completion,vaults/mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3/index.html,4,0,evidence_missing,no,18241752c8dff1bf
native-aifailure-tax,live_case_calibration,vaults/native-aifailure-tax/index.html,4,0,evidence_missing,no,e6cf4d1643d59f20
native-aimodel-assess,source_verification_external_review,vaults/native-aimodel-assess/index.html,4,0,evidence_missing,no,0c0378d37046577e
native-aiosintnarr,source_verification_external_review,vaults/native-aiosintnarr/index.html,4,0,evidence_missing,no,1d75b633eb1e2267
native-atanalysis,live_case_calibration,vaults/native-atanalysis/index.html,4,0,evidence_missing,no,136e535b7ae89f64
native-cmanalysis,live_case_calibration,vaults/native-cmanalysis/index.html,4,0,evidence_missing,no,401e2cecb821dc7b
native-cyanalysis,live_case_calibration,vaults/native-cyanalysis/index.html,4,0,evidence_missing,no,959b863638baa9fc
native-ddianalysis,live_case_calibration,vaults/native-ddianalysis/index.html,4,0,evidence_missing,no,b77c50647f1497db
native-etanalysis,live_case_calibration,vaults/native-etanalysis/index.html,4,0,evidence_missing,no,30fb1373b3baadba
native-fwanalysis,live_case_calibration,vaults/native-fwanalysis/index.html,4,0,evidence_missing,no,c3df27c889b247f3
native-hsanalysis,live_case_calibration,vaults/native-hsanalysis/index.html,4,0,evidence_missing,no,f6b0472bb0ad6626
native-icanalysis,live_case_calibration,vaults/native-icanalysis/index.html,4,0,evidence_missing,no,bfcb13361d5f1224
native-psanalysis,live_case_calibration,vaults/native-psanalysis/index.html,4,0,evidence_missing,no,01279c7b5fc799f8
native-wargaming,source_verification_external_review,vaults/native-wargaming/index.html,4,0,evidence_missing,no,ba0c7b29ab4dae12
wargaming,source_verification_external_review,vaults/wargaming/index.html,4,0,evidence_missing,no,755dd73f5825c8bf
critical-functions-observatory,source_verification_external_review,vaults/critical-functions-observatory/index.html,4,0,evidence_missing,no,3b4fb0958a6b4cde
mb-russia-security-handoff-packet-done,source_verification_external_review,vaults/mb-russia-security-handoff-packet-done/index.html,4,0,evidence_missing,no,866368f0374c5e6b
mb-narrative-furnace-handoff-pack-2026-04-14,source_verification_external_review,vaults/mb-narrative-furnace-handoff-pack-2026-04-14/index.html,4,0,evidence_missing,no,8f27b059051f600c
