project_id,product_name,final_object_type,capsule_count,stage_distribution,execution_ready_capsules,instrumented_capsules,source_application_status,source_roles_assigned,distinctive_component_to_capture,what_distinctive_component_must_prove,observable_distinctive_output,next_project_proof_build,claim_boundary
row7,Nexus Research Pipeline,reusable research-pipeline software,101,execution-ready proof capsule: 101,101,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge,Cross-field mechanism transfer and dependency stale-state demonstrator,"Move one seed research question through Observatory, Scanner, Bridge, Cross-Pollination, XPol fit pressure, Incubator, and Forge; then alter an upstream premise and show downstream methodology, analysis, or writing stages becoming review-required.","Transfer route, rejected false analogy, draftable research object, stale-stage flags, and revised downstream task list.",Implement a live seed-question walkthrough with one cross-field transfer and one downstream stale-state propagation.,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C x core/extended,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: 100-item ranked bibliography with verification levels A/B/C x core/ex...,"Select one artifact from 100-item ranked bibliography with verification levels A/B/C x core/extended and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,analytic method or human-AI evaluation module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | domain grounding | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge,Packet promotion decision proof: 13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,"Select one artifact from 13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Counterintelligence analytic-variable proof: 3-page Russia integrated-strategy assessment (V1-V4 convergence),"Take one intelligence or counterintelligence artifact from 3-page Russia integrated-strategy assessment (V1-V4 convergence) and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | domain grounding | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Counterintelligence analytic-variable proof: 72-month master plan + Russian-language 12-month CSV + SF-86 prep,"Take one intelligence or counterintelligence artifact from 72-month master plan + Russian-language 12-month CSV + SF-86 prep and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","This is a full-build plan, not a claim that the full operational system has already been completed."
row3,"AI Extraction Defense - five-layer architecture protecting proprietary AI models from being extracted, copied, or distilled by adversaries",source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: AI Extraction Defense - five-layer architecture protecting proprietar...,"Select one artifact from AI Extraction Defense - five-layer architecture protecting proprietary AI models... and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-aifailure-tax,AI Failure Taxonomy,analytic method or human-AI evaluation module,17,execution-ready proof capsule: 17,17,0,application-complete; prior binding gaps now assigned,method authority | adversarial model | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: AI Failure Taxonomy,"Select one artifact from AI Failure Taxonomy and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-aigov-nav,AI Governance Navigator,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: AI Governance Navigator,"Select one artifact from AI Governance Navigator and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add one routing demonstration: user problem, chosen path, rejected path, governing criterion, output, and next review gate.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-aiintel-cycle,AI Intelligence Cycle,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Counterintelligence analytic-variable proof: AI Intelligence Cycle,"Take one intelligence or counterintelligence artifact from AI Intelligence Cycle and assign source family, analytic variable, alternative explanation, confidence level, and next collection/review need.","source family, analytic variable, alternative explanation, confidence boundary, and next intelligence question","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
native-aiknowledge-prod,AI Knowledge Production,source governance or packet-routing system,17,execution-ready proof capsule: 17,17,0,application-complete but close-read or bibliographic verification remains,method authority | technical mechanism | evaluation standard | counter-source or limitation | source-to-output bridge | close-read requirement,Packet promotion decision proof: AI Knowledge Production,"Select one artifact from AI Knowledge Production and prove whether it should become a software room, research paper, source reservoir, archive item, or blocked record.","artifact identity, authority state, promotion route, claim ceiling, and next action","Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","This is a full-build plan, not a claim that the full operational system has already been completed."
