record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Handoff Identity,Demonstrate that Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Handoff Identity converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Handoff Identity to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Room Task Model,Demonstrate that Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Room Task Model converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Room Task Model to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Data Schema And Persistence Plan,Demonstrate that Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Data Schema And Persistence Plan converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Data Schema And Persistence Plan to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Interface And Instrument Plane,Demonstrate that Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Interface And Instrument Plane converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Interface And Instrument Plane to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Integration Path,Demonstrate that Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Integration Path converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Integration Path to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Proof Boundary,Demonstrate that Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Proof Boundary to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Next Build Test,Demonstrate that Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Next Build Test converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) Next Build Test to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) / analysis.md,Demonstrate that Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) / analysis.md converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `analysis.md` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) / standard_chapter_schema.md,Demonstrate that Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) / standard_chapter_schema.md converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `standard_chapter_schema.md` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) / metadata.json,Demonstrate that Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) / metadata.json converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `metadata.json` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) / master_tracker.csv,Demonstrate that Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) / master_tracker.csv converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `master_tracker.csv` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) / cumulative_synthesis_seed.md,Demonstrate that Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov) / cumulative_synthesis_seed.md converts a visible input into the named output without exceeding the claim ceiling.,records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | Documents on the Rape of Nanking Timothy Brook | Documents on the Rape of Nanking Timothy Brook PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `cumulative_synthesis_seed.md` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
