record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) Handoff Identity","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) Handoff Identity converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (source packet, code-ready room description, scope...) produces output (bounded definition of what the handoff asks a builder...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) Room Task Model","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) Room Task Model converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (user roles, task sequence, room state, and domain...) produces output (room logic that turns the concept into a repeatable...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) Data Schema And Persistence Plan","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) Data Schema And Persistence Plan converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (entities, records, IDs, tables, JSON structures...) produces output (data model that lets the room preserve work instead...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) Interface And Instrument Plane","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) Interface And Instrument Plane converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (panels, command palette, drawers, matrices...) produces output (named interface instruments that make the room useful...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) Integration Path","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) Integration Path converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (frontend, backend, storage, retrieval, auth, export...) produces output (build sequence for turning the handoff into working...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) Proof Boundary","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (completed packet, code readiness, unimplemented...) produces output (honest current claim ceiling for the handoff...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) Next Build Test","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) Next Build Test converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (minimal executable path, seeded fixture, UI...) produces output (specific test that would show the handoff has become...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) / matrix_manifest.json","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) / matrix_manifest.json converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `matrix_manifest.json` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) / audit_table.csv","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) / audit_table.csv converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `audit_table.csv` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) / Rhetorical Foundations","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) / Rhetorical Foundations converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Rhetorical Foundations` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) / Political and Policy Speechwriting","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) / Political and Policy Speechwriting converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Political and Policy Speechwriting` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) / Crisis Speechwriting","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) / Crisis Speechwriting converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Crisis Speechwriting` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) / Executive and Corporate Speechwriting","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) / Executive and Corporate Speechwriting converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Executive and Corporate Speechwriting` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) / From Human Reasoning to Belief. Intelligence","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) / From Human Reasoning to Belief. Intelligence converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `From Human Reasoning to Belief. Intelligence` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) / Prioritize Capstone","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) / Prioritize Capstone converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Prioritize Capstone` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) / Improving Intelligence Analysis","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) / Improving Intelligence Analysis converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Improving Intelligence Analysis` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) / Leading Intelligence Analysis","Demonstrate that 25x25 matrix framework (Warning labels populated, cell content NOT) / Leading Intelligence Analysis converts a visible input into the named output without exceeding the claim ceiling.",records provenance + deduplication + authority/supersession control,043 Historical Documents Harvard Classics PDOC | AID Framework – Statement Builder | Documents on the Rape of Nanking Timothy Brook,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Leading Intelligence Analysis` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
source_binding,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) Handoff Identity","Use the source to identify what the component must not claim without further evidence. Component under review: 25x25 matrix framework (Warning labels populated, cell content NOT) Handoff Identity.",counter-source or limitation,AID Framework - Statement Builder,"The source may narrow claims before close reading, but strong objections or literature-positioning claims require passage-level confirmation.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) Room Task Model","Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: 25x25 matrix framework (Warning labels populated, cell content NOT) Room Task Model.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) Data Schema And Persistence Plan","Perform passage-level review before turning this source into a citation, quotation, or strong public claim. Component under review: 25x25 matrix framework (Warning labels populated, cell content NOT) Data Schema And Persistence Plan.",close-read requirement,Documents on the Rape of Nanking Timothy Brook PDOC,"Metadata can justify routing and a close-read task only; it cannot support quotation, page-specific claims, or asserted findings.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) Interface And Instrument Plane","Use the source to identify what the component must not claim without further evidence. Component under review: 25x25 matrix framework (Warning labels populated, cell content NOT) Interface And Instrument Plane.",counter-source or limitation,AID Framework - Statement Builder,"The source may narrow claims before close reading, but strong objections or literature-positioning claims require passage-level confirmation.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) Integration Path","Use the source to identify what the component must not claim without further evidence. Component under review: 25x25 matrix framework (Warning labels populated, cell content NOT) Integration Path.",counter-source or limitation,AID Framework - Statement Builder,"The source may narrow claims before close reading, but strong objections or literature-positioning claims require passage-level confirmation.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) Proof Boundary","Use the source to identify what the component must not claim without further evidence. Component under review: 25x25 matrix framework (Warning labels populated, cell content NOT) Proof Boundary.",counter-source or limitation,AID Framework - Statement Builder,"The source may narrow claims before close reading, but strong objections or literature-positioning claims require passage-level confirmation.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) Next Build Test","Perform passage-level review before turning this source into a citation, quotation, or strong public claim. Component under review: 25x25 matrix framework (Warning labels populated, cell content NOT) Next Build Test.",close-read requirement,Documents on the Rape of Nanking Timothy Brook PDOC,"Metadata can justify routing and a close-read task only; it cannot support quotation, page-specific claims, or asserted findings.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) / matrix_manifest.json","Use the source to identify what the component must not claim without further evidence. Component under review: 25x25 matrix framework (Warning labels populated, cell content NOT) / matrix_manifest.json.",counter-source or limitation,AID Framework - Statement Builder,"The source may narrow claims before close reading, but strong objections or literature-positioning claims require passage-level confirmation.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) / audit_table.csv","Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: 25x25 matrix framework (Warning labels populated, cell content NOT) / audit_table.csv.",technical mechanism,043 Historical Documents Harvard Classics PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) / Rhetorical Foundations","Use the source to identify what the component must not claim without further evidence. Component under review: 25x25 matrix framework (Warning labels populated, cell content NOT) / Rhetorical Foundations.",counter-source or limitation,AID Framework - Statement Builder,"The source may narrow claims before close reading, but strong objections or literature-positioning claims require passage-level confirmation.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT) / Political and Policy Speechwriting","Use the source to identify what the component must not claim without further evidence. Component under review: 25x25 matrix framework (Warning labels populated, cell content NOT) / Political and Policy Speechwriting.",counter-source or limitation,AID Framework - Statement Builder,"The source may narrow claims before close reading, but strong objections or literature-positioning claims require passage-level confirmation.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
