project_id,product_name,object_family,previous_status,new_status,fully_operational_after_capture,remaining_requirement,capture_href
applied-history,Applied History - lab for using historical case study to inform contemporary policy,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-nik-handoff-v1/index.html
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-russia-intelligence-analysis-final-handoff/index.html
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C x core/extended,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-russian-reference-handoff-final/index.html
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/mb-visible-chat-handoff-package/index.html
native-aigov-nav,AI Governance Navigator,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-aigov-nav/index.html
native-aiintel-cycle,AI Intelligence Cycle,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-aiintel-cycle/index.html
native-aiknowledge-prod,AI Knowledge Production,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-aiknowledge-prod/index.html
native-aiprompt-eng,AI Prompt Engineering,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
native-aishared-instruments,AI Shared Instruments,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-aishared-instruments/index.html
native-analyst-assurance-desk,Analyst Assurance Desk,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
native-berlin,Berlin Occupation Zones and Refugee Crisis,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
native-cicc,ICC Complementarity Case Room,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-cicc/index.html
native-crusades,Crusades and Mediterranean Order,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-crusades/index.html
native-peace,Track II Diplomacy and Peacebuilding,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-peace/index.html
native-russia,Russia,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
native-russia-history-room,Russia Historical Context Room,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
native-war-theory,War Theory and Strategic Culture,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-war-theory/index.html
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,research/publication,kit_built_execution_not_yet_captured,package_capture_completed_publication_review_pending,no,"The package can capture claim-evidence-method structure, but publication readiness still requires full manuscript review and source verification.",capture_packets/cognitive-firewall-instruments/index.html
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
master-bundle-atlas,Master Bundle Packet Promotion Atlas,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/master-bundle-atlas/index.html
native-africa,Colonial Encounter in Africa,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
native-amfp,Washington-Jefferson Era Foreign Policy,source/archive governance,kit_built_execution_not_yet_captured,package_capture_completed_source_verification_pending,no,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review.",capture_packets/native-amfp/index.html
native-east-asia,East Asian War and Strategic Tradition,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
native-mideast,Ottoman Palestine and Early Zionism,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
native-mongol,Mongol Empire Military Systems,software/app,kit_built_execution_not_yet_captured,live_runtime_capture_required,no,actual runtime trace and acceptance-test evidence,
native-trilogy-showcase,Book Trilogy Showcase,manuscript/publication,kit_built_execution_not_yet_captured,package_capture_completed_editorial_review_pending,no,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution.",capture_packets/native-trilogy-showcase/index.html
