capture_id,execution_run_id,proof_capsule_id,project_id,product_name,proof_artifact,capture_type,fixture_hash,operation_hash,expected_output_hash,acceptance_hash,falsifier_hash,acceptance_result,simulated_observation,source_gate,claim_after_capture,next_live_capture_step
PCS-CB3B897BFDDA,PER-E337C5A4A62F,PC-F13BE5E0BFAF,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,87297f83efc5ad8e,fefdc8e9dca8ff07,692d40cc40952f56,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-F1C71FDFABB6,PER-EA09B20DC204,PC-1EC189D91E50,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,318ebd32939d08d6,d40cf9c710972128,6ad15efd216a1703,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-9E66CEAED23E,PER-BC7E2EB65653,PC-AE7D37D9B651,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,87297f83efc5ad8e,fefdc8e9dca8ff07,692d40cc40952f56,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-2F44877790FD,PER-D8F7B9FFF0DF,PC-809A57737B02,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,1e5caf57774713b2,5d2f33c3265a1546,7e24816ebda97897,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-E265D58D8E9A,PER-3B708DE20534,PC-811EC5429709,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,6c618effec0ec1b2,234902a0f997eb06,526a6f8a147f2497,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-4E87BEFE26E1,PER-F5DFF5DBD349,PC-713FC39BB5CF,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,9eea29946dfdf44b,014f08f6335a4a1f,4cb7be9bdb08d1ca,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-14A0456177FF,PER-87D0B7431ACA,PC-D8EB915991EA,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,9fbd47b97a5d836f,597cbad068f58ecd,e56c6d36721bc9a1,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-A98B38F36AF3,PER-BAC3DAA1E3BD,PC-69EB4795F52B,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,71d7879e95d297eb,2ea984f0fd53832f,43989b1eaa2c9546,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-DF034F633CAC,PER-B69AA7B0AF52,PC-97C95BA06724,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,104e0cbc17377c33,a99205ff5413d9bb,753c5977962d7fe7,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
PCS-23EA674C6D14,PER-CB4D6E9C3FB7,PC-8C8169F866C3,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,human-AI delta comparison record,package-verification receipt,4baea94633aa8fa8,1ea6eecfe78efb8f,c8c02a861113149b,827a5da2cf53f8bf,d51732321d70267c,PASS_PACKAGE_VERIFIED,"Package-verifiable receipt confirms human-AI delta comparison record, inspection protocol, acceptance test, falsifier, and claim boundary.","Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",May claim package-verifiable proof contract; deployment and outside-validation claims remain blocked.,"Capture a live runtime trace only if making deployment, user-ready, or outside-validation claims."
