operational_contract_id,project_id,product_name,final_object_type,object_family,build_mode,operationalization_score,operational_status,fully_operational,readiness_score,component_count,execution_ready_components,instrumented_or_better_components,package_verifiable_runs,instrumented_runs_needing_capture,source_applications,human_verified_source_integrations,remaining_gaps,next_operational_build,tests_required_for_full_standing,contract_href,claim_boundary
NOC-C141FFA966EE,applied-history,Applied History - lab for using historical case study to inform contemporary policy,research workflow software module,software/app,software or application build,93,near-operational proof package; not fully operational,no,98,17,17,17,17,0,6,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/applied-history/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-254B3842EF56,mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,source governance or packet-routing system,source/archive governance,source governance build,93,near-operational proof package; not fully operational,no,100,17,17,17,17,0,7,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/mb-nik-handoff-v1/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-3CFDFE0DBFE4,mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),source governance or packet-routing system,source/archive governance,source governance build,93,near-operational proof package; not fully operational,no,100,17,17,17,17,0,7,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/mb-russia-intelligence-analysis-final-handoff/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-6C615A6FF669,mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C x core/extended,source governance or packet-routing system,source/archive governance,source governance build,93,near-operational proof package; not fully operational,no,100,17,17,17,17,0,7,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/mb-russian-reference-handoff-final/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-39E4CB15F64C,mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,source governance or packet-routing system,source/archive governance,source governance build,93,near-operational proof package; not fully operational,no,100,17,17,17,17,0,7,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/mb-visible-chat-handoff-package/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-B49128BB4549,native-aigov-nav,AI Governance Navigator,source governance or packet-routing system,source/archive governance,analytic instrument build,93,near-operational proof package; not fully operational,no,98,17,17,17,17,0,6,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add one routing demonstration: user problem, chosen path, rejected path, governing criterion, output, and next review gate.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-aigov-nav/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-7291D1860FE1,native-aiintel-cycle,AI Intelligence Cycle,source governance or packet-routing system,source/archive governance,source governance build,93,near-operational proof package; not fully operational,no,98,17,17,17,17,0,6,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-aiintel-cycle/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-3045A417F5F0,native-aiknowledge-prod,AI Knowledge Production,source governance or packet-routing system,source/archive governance,source governance build,93,near-operational proof package; not fully operational,no,98,17,17,17,17,0,6,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-aiknowledge-prod/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-B1001CDD2F39,native-aiprompt-eng,AI Prompt Engineering,source governance or packet-routing system,software/app,software or application build,93,near-operational proof package; not fully operational,no,98,17,17,17,17,0,6,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-aiprompt-eng/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
NOC-438ADE0CBF9C,native-aishared-instruments,AI Shared Instruments,source governance or packet-routing system,source/archive governance,analytic instrument build,93,near-operational proof package; not fully operational,no,100,17,17,17,17,0,7,0,human-verified source integration still missing | outside/user validation not yet recorded,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.","run the representative fixture end to end | capture input, operation, output, and state/export record | verify acceptance tests and falsifier | verify privacy/no-local-path release safety | promote at least one load-bearing source to human-verified artifact integration when source claims are present | record reviewer or outside-use validation before stronger public claims",project_contracts/native-aishared-instruments/index.html,"This is a full-build plan, not a claim that the full operational system has already been completed."
