project_id,product_name,source_candidate,priority,required_close_read_output,blocked_claim_type
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,American Cancer Research Food Nutrition Physical Activity,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,American Cancer Research Food Nutrition Physical Activity PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick (2),normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,American Spies Espionage against the United States from the Cold War to the Present ( PDFDrive ) PDOC,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick,normal,"verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized"
