record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,native-russia-security-desk,Russia Source Lane,Demonstrate that Russia Source Lane converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Russia Source Lane; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia-security-desk,Regime-Security Desk,Demonstrate that Regime-Security Desk converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Regime-Security Desk; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia-security-desk,Military Adaptation Desk,Demonstrate that Military Adaptation Desk converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Military Adaptation Desk; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia-security-desk,Influence / Reflexive-Control Desk,Demonstrate that Influence / Reflexive-Control Desk converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Influence / Reflexive-Control Desk; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia-security-desk,Historical Inheritance Desk,Demonstrate that Historical Inheritance Desk converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Historical Inheritance Desk; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia-security-desk,Ukraine / NATO / Europe Desk,Demonstrate that Ukraine / NATO / Europe Desk converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Ukraine / NATO / Europe Desk; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia-security-desk,Structured Analytic Review,Demonstrate that Structured Analytic Review converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Structured Analytic Review; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia-security-desk,Public Claim Restraint,Demonstrate that Public Claim Restraint converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Deception Counterdeception and Counterintelligence Robert M. Clark et al | Deception Counterdeception and Counterintelligence Robert M. Clark et al (2) | Field Evaluation in the Intelligence and Counterintelligence Context Workshop Summary National Research Council et al,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Public Claim Restraint; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
source_binding,native-russia-security-desk,Russia Source Lane,"Map the source's mechanism onto the component's input, operation, output, state, and failure behavior. Component under review: Russia Source Lane.",technical mechanism,Deception Counterdeception and Counterintelligence Robert M. Clark et al,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.","verify author, edition, and page or passage before citation","source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
source_binding,native-russia-security-desk,Regime-Security Desk,Identify the real-world domain constraint that makes the component substantive rather than generic. Component under review: Regime-Security Desk.,domain grounding,National Security and Counterintelligence in the Era of Cyber Espionage ( PDFDrive ) PDOC,"The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",title appears to include file-copy or extraction marker; source title is not ideal for professional-facing citation without verification,"source note with method/domain/mechanism rule, affected module, affected test, and claim boundary update",BINDING_READY_CLOSE_READ_REQUIRED
