record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,native-trilogy-showcase-atlas,Canonical Chapter Identity,Demonstrate that Canonical Chapter Identity converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Oxford Handbooks Political Methodologies PDOC | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Canonical Chapter Identity to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,native-trilogy-showcase-atlas,ReaderEdition Rewrite Target,Demonstrate that ReaderEdition Rewrite Target converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Oxford Handbooks Political Methodologies PDOC | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply ReaderEdition Rewrite Target to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,native-trilogy-showcase-atlas,FinalProof Argument Backbone,Demonstrate that FinalProof Argument Backbone converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Oxford Handbooks Political Methodologies PDOC | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply FinalProof Argument Backbone to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,native-trilogy-showcase-atlas,ConstructionKit Shape Scaffold,Demonstrate that ConstructionKit Shape Scaffold converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Oxford Handbooks Political Methodologies PDOC | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply ConstructionKit Shape Scaffold to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,native-trilogy-showcase-atlas,PassageTargets Sentence-Pressure Reservoir,Demonstrate that PassageTargets Sentence-Pressure Reservoir converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Oxford Handbooks Political Methodologies PDOC | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply PassageTargets Sentence-Pressure Reservoir to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,native-trilogy-showcase-atlas,Democratic Dialectic Salvage Ledger,Demonstrate that Democratic Dialectic Salvage Ledger converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Oxford Handbooks Political Methodologies PDOC | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Democratic Dialectic Salvage Ledger to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,native-trilogy-showcase-atlas,Book I Security Register Gate,Demonstrate that Book I Security Register Gate converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Oxford Handbooks Political Methodologies PDOC | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Book I Security Register Gate to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,native-trilogy-showcase-atlas,Book II Dialectic Register Gate,Demonstrate that Book II Dialectic Register Gate converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Oxford Handbooks Political Methodologies PDOC | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Book II Dialectic Register Gate to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,native-trilogy-showcase-atlas,Book III Repair Register Gate,Demonstrate that Book III Repair Register Gate converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Oxford Handbooks Political Methodologies PDOC | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Book III Repair Register Gate to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
claim_crosswalk,native-trilogy-showcase-atlas,Visual And Title Specificity Gate,Demonstrate that Visual And Title Specificity Gate converts a visible input into the named output without exceeding the claim ceiling.,argument/rhetoric source + book-register source + evidence/source-role ledger,Cultural Histories of Democracy Studies in Political Culture Since the 19th Century – Germany and Beyond Thomas Mergel | Oxford Handbooks Political Methodologies PDOC | Surging Democracy Notes on Hannah Arendt’s Political Thought Adriana Cavarero,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Apply Visual And Title Specificity Gate to one chapter dossier; confirm title, visual, source state, rewrite target, and handoff decision.",GREEN - proof packet ready for live capture
