project_id,product_name,capture_records,simulated_captures,package_receipts,source_update_gates,live_capture_still_required,strongest_next_capture_action
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),17,17,0,0,17,"Capture a real live runtime trace for packet promotion decision record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-ci-ct-do-handoff-v1-1,"CI/CT DO tradecraft v1.1; SAT enumeration + 12 analyst templates (BLUF, ACH, ICD-203)",17,17,0,0,17,"Capture a real live runtime trace for packet promotion decision record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-ci-red-cell-handoff,CI red-cell methods reference architecture (post-integrity-correction rebuild),17,17,0,0,17,"Capture a real live runtime trace for packet promotion decision record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,17,17,0,0,17,"Capture a real live runtime trace for packet promotion decision record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-fractal-keep-handoff-v1,Fractal Keep,17,17,0,0,17,"Capture a real live runtime trace for packet promotion decision record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-glass-hearth-muranoos-handoff-package-2026-04-15,Glass Hearth,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-insinuationengineroom-handoff-done,Insinuation Engine,17,17,0,0,17,"Capture a real live runtime trace for packet promotion decision record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-chamber-handoff,Chamber of Refractions,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-chamber-of-record-handoff,Chamber of Record,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-codex-prism-handoff-v1,Codex Prism,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-house-of-light-and-doom-handoff-v1,House of Light and Doom,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-os-glass-station-handoff,Glass Station,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-os-handoff-2026,Doctrine Forge Codex,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-os-lossless-study-room-handoff,Lossless Study Room,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-os-prism-foundry-handoff,Prism Foundry,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-os-prism-scriptorium-handoff-v1,Prism Scriptorium,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-os-rhetorium-proper-handoff-done-v1,Rhetorium,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-os-warrant-chamber-handoff-v1,Warrant Chamber,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-prismatic-agora-handoff-v1-0-done,Prismatic Agora,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-reflexive-control-chamber-pass3,Reflexive Control Chamber,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-room-handoff-v1,Room template v1,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-murano-speechcraft-studio-handoff,Speechcraft Studio,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-muranoos-bias-atlas-conversation-to-murano-handoff-archive-2026-04-11,Bias Atlas,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-muranoos-briefing-forge-proper-handoff-archive-2026-04-14,Briefing Forge,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-muranoos-dialectic-lab-handoff-pack-pass-2-2026-04-15,Dialectic Lab,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-muranoos-fifth-dimension-lossless-continuation-archive-2026-04-13,Fifth Dimension,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-muranoos-glass-scriptorium-proper-handoff-archive-2026-04-11,Glass Scriptorium,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-muranoos-glassworksofcorrespondence-handoff-v0-1,Glassworks of Correspondence,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-muranoos-handoff-pack-v3-1,* META: the Protocol v3.1 itself - consumed by every MuranoOS room handoff,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-muranoos-handoff-pass3-done,CI Tradecraft Chamber,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
mb-muranoos-human-terrain-statecraft-proper-handoff-archive-v1-0,Human Terrain & Statecraft,17,17,0,0,17,"Capture a real live runtime trace for state transition proof record; preserve fixture, operation trace, output artifact, acceptance result, falsifier, and claim boundary."
