source_candidate,project_count,binding_count,roles,modules,bibliographic_status,bibliographic_note,utilization_rule
043 Historical Documents Harvard Classics PDOC,145,1419,domain grounding | method authority | technical mechanism,item registry | state model,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Documents on the Rape of Nanking Timothy Brook PDOC,110,330,adversarial model | close-read requirement | domain grounding | method authority,item registry | state model,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Pherso Counterintelligence Structured Analytic Techniques,18,277,method authority | technical mechanism,item registry | method-composition builder | retrieval trace | source registry | structured review,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Documents on the Rape of Nanking Timothy Brook,46,130,adversarial model | counter-source or limitation | domain grounding | evaluation standard | method authority,item registry | state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,9,100,domain grounding | method authority | technical mechanism,item registry | retrieval trace | source registry | state model,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Covert Action in the Cold War US Policy Intelligence and CIA Operations (International Library of Twentieth Century History Volume 21) ( PDFDrive ),6,86,method authority,item registry | review gate,needs bibliographic verification before public citation,source title is not ideal for professional-facing citation without verification,Use as routing/design input until close-read verification creates passage-level support.
(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),9,75,domain grounding | method authority | technical mechanism,item registry | review gate | state model,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
War changes everything Russia after Ukraine NATO Defense College Research Division Edited by Marc Ozawa,3,51,method authority,source registry | state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
"America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936-1991 Willard C. Matthias",3,42,evaluation standard | method authority,review gate,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
OceanofPDF.com Security Assurances and Nuclear Nonproliferation Jeffrey W Knopf PDOC,3,42,method authority,source registry | structured review,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
"No Place for Russia European Security Institutions Since 1989 Hill, William H",7,38,domain grounding | method authority,input fixture | review gate,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
A Military Atlas of the First World War Arthur S. Banks et al,2,34,method authority,source registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance PDOC,4,34,adversarial model | close-read requirement | domain grounding | method authority,defense decision | fixture registry | item registry | source registry,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Russian Energy Policy and Military Power Putin's quest for greatness Pavel K. Baev,2,34,method authority,item registry | source registry,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006),2,33,method authority | technical mechanism,source registry | state model,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Cultural Histories of Democracy Studies in Political Culture Since the 19th Century - Germany and Beyond Thomas Mergel,3,31,method authority | technical mechanism,argument backbone | state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,6,28,adversarial model | counter-source or limitation | domain grounding,input fixture | item registry | state model,needs bibliographic verification before public citation,title appears to include file-copy or extraction marker,Use as routing/design input until close-read verification creates passage-level support.
Deception Counterdeception and Counterintelligence Robert M. Clark et al,3,27,technical mechanism,item registry | state model,title-level candidate usable for routing only,"verify author, edition, and page or passage before citation",Use as routing/design input until close-read verification creates passage-level support.
