project_id,product_name,acceptance_decision,trace_hash,trace_href
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,PASS,eade6348ce711326,traces/mb-nik-handoff-v1/sample_review_trace.json
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),PASS,453cebc8d3871685,traces/mb-russia-intelligence-analysis-final-handoff/sample_review_trace.json
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C × core/extended,PASS,a57fbff25572d287,traces/mb-russian-reference-handoff-final/sample_review_trace.json
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,PASS,5f7a08600b5a9c72,traces/mb-visible-chat-handoff-package/sample_review_trace.json
native-aigov-nav,AI Governance Navigator,PASS,21da426379ab5ded,traces/native-aigov-nav/sample_review_trace.json
native-aiintel-cycle,AI Intelligence Cycle,PASS,55de65979cb9ec28,traces/native-aiintel-cycle/sample_review_trace.json
native-aiknowledge-prod,AI Knowledge Production,PASS,c84ad7f7f1792382,traces/native-aiknowledge-prod/sample_review_trace.json
native-aishared-instruments,AI Shared Instruments,PASS,59f1e83b612ad799,traces/native-aishared-instruments/sample_review_trace.json
native-cicc,ICC Complementarity Case Room,PASS,68d38ddaa6ca3cf6,traces/native-cicc/sample_review_trace.json
native-crusades,Crusades and Mediterranean Order,PASS,7b2703da640ddba6,traces/native-crusades/sample_review_trace.json
native-peace,Track II Diplomacy and Peacebuilding,PASS,84c07800fc000bb7,traces/native-peace/sample_review_trace.json
native-war-theory,War Theory and Strategic Culture,PASS,5d04e1ff53483e7d,traces/native-war-theory/sample_review_trace.json
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,PASS,804ac63628eb4aa5,traces/cognitive-firewall-instruments/sample_review_trace.json
master-bundle-atlas,Master Bundle Packet Promotion Atlas,PASS,d5496d93fd9a412c,traces/master-bundle-atlas/sample_review_trace.json
native-amfp,Washington-Jefferson Era Foreign Policy,PASS,10e6a22b06b0a2ca,traces/native-amfp/sample_review_trace.json
native-trilogy-showcase,Book Trilogy Showcase,PASS,da72126d8841ff24,traces/native-trilogy-showcase/sample_review_trace.json
native-trilogy-showcase-atlas,Book Trilogy Atlas,PASS,bc1234ad7a739f8d,traces/native-trilogy-showcase-atlas/sample_review_trace.json
reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,PASS,a14a44d6162403f6,traces/reflexive-control-chamber/sample_review_trace.json
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,PASS,53a588e9012250be,traces/row2/sample_review_trace.json
trilogy,Book Trilogy Manuscript Governance System,PASS,18b83d4ff97cbabd,traces/trilogy/sample_review_trace.json
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,PASS,b4d5e6b6c467c26b,traces/bias-atlas/sample_review_trace.json
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,PASS,4b65b56d124e13cf,traces/genocide-lab/sample_review_trace.json
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,PASS,b0413be0bc81f441,traces/mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3/sample_review_trace.json
native-aifailure-tax,AI Failure Taxonomy,PASS,7539c81d89a2879d,traces/native-aifailure-tax/sample_review_trace.json
native-aimodel-assess,AI Model Assessment,PASS,e656a2396d4a0547,traces/native-aimodel-assess/sample_review_trace.json
native-aiosintnarr,AI OSINT Narrative Analysis,PASS,4e9dd7fd6e086c4b,traces/native-aiosintnarr/sample_review_trace.json
native-atanalysis,Analysis Tradecraft,PASS,9cb55496ee48c638,traces/native-atanalysis/sample_review_trace.json
native-cmanalysis,Collection Management Analysis,PASS,ca45fd1deacc0eb9,traces/native-cmanalysis/sample_review_trace.json
native-cyanalysis,Cyber Analysis,PASS,d20f82264b7bdefb,traces/native-cyanalysis/sample_review_trace.json
native-ddianalysis,Directorate Analysis Method,PASS,04a0140be43776bf,traces/native-ddianalysis/sample_review_trace.json
native-etanalysis,Emerging Technology Analysis,PASS,9de72a5da1c03b5c,traces/native-etanalysis/sample_review_trace.json
native-fwanalysis,Foreign Warning Analysis,PASS,8b5af90ac316777e,traces/native-fwanalysis/sample_review_trace.json
