sequence,project_id,slug,project_name,status,instrument_count,acceptance_count,all_instruments_passed,all_acceptance_passed,package_workbench_built,package_operational_slice_built,full_underlying_system_complete,pass,receipt_sha256,url
1,master-bundle-atlas,master-bundle-atlas,Master Bundle Packet Promotion Atlas,acceptance_checked,6,4,True,True,True,True,False,True,ac244f6302ab359a236af697ac6eafc349340a588c098e23d083e7864dd77dfd,room_project_workbenches/projects/master-bundle-atlas/index.html
2,native-poison-rag,native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,acceptance_checked,7,4,True,True,True,True,False,True,23aa395eb09ec97486e3f53912681fe59e6ad89fe924c5bc890c36e7c5c50051,room_project_workbenches/projects/native-poison-rag/index.html
3,poison-rag-defense-annex,poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,acceptance_checked,6,3,True,True,True,True,False,True,664c61c189dbcdeec35aac20bd00ce9111b72157f483e506966b504b01edd4d7,room_project_workbenches/projects/poison-rag-defense-annex/index.html
4,russia-desk,russia-desk,Russia Source-To-Judgment Desk,acceptance_checked,7,3,True,True,True,True,False,True,b506e6c605f5bda02624d1f318552379ac754173725c3702702338cd08b431d2,room_project_workbenches/projects/russia-desk/index.html
5,trilogy,trilogy,Book Trilogy Manuscript Governance System,acceptance_checked,7,5,True,True,True,True,False,True,9a9ef9aa1a43a69041b4a9db417a49897355dc1385fff8c9b74b2e64bd95e454,room_project_workbenches/projects/trilogy/index.html
6,analytical-methods,analytical-methods,Structured Analytic Technique Studio,acceptance_checked,6,4,True,True,True,True,False,True,d797f625c52590f3079aeb25b0b4400c3b60c47b35abb19d1bd409e2e46e325c,room_project_workbenches/projects/analytical-methods/index.html
7,native-capstone-quantitative,native-capstone-quantitative,Quantitative Capstone Workbench,acceptance_checked,4,3,True,True,True,True,False,True,fda87987c649037819339480172b2749610c9819d0650f1d342150f2fc01eb7f,room_project_workbenches/projects/native-capstone-quantitative/index.html
8,native-magnum-opus,native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,acceptance_checked,7,5,True,True,True,True,False,True,46349b3d9f3f37b33b43d652137bf77b9caee5525256fbb9160516ed1cb93e17,room_project_workbenches/projects/native-magnum-opus/index.html
9,row10,row10,Structured Human-AI Analyst Workstation,acceptance_checked,6,4,True,True,True,True,False,True,8c291d4c25b23f70d910218be9d0937985059ef67f5ad7f1f81fa03412b6a277,room_project_workbenches/projects/row10/index.html
10,algorithmic-active-measures,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,acceptance_checked,4,4,True,True,True,True,False,True,6b979372c07ca2d71b20ade6c4ce77f92bae5c194942399f61a10a1bad4d9769,room_project_workbenches/projects/algorithmic-active-measures/index.html
11,native-murano,native-murano,MuranoOS Research Operating Environment,acceptance_checked,7,4,True,True,True,True,False,True,c24e777633eeb084da545d06b952c9765a1d029fd78fefd8b2756812ce066cbe,room_project_workbenches/projects/native-murano/index.html
12,row7,row7,Nexus Research Pipeline,acceptance_checked,7,5,True,True,True,True,False,True,e7cb649bed46632ee1862c4902cfc41a10007fa2972e5128aab9e8655d9a005e,room_project_workbenches/projects/row7/index.html
13,mb-ci-career-conversation-handoff-done,mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,acceptance_checked,4,4,True,True,True,True,False,True,85773ff7af1884227d41e0545a646e4c61b94c95e31abd65fad1cf883fd7d09e,room_project_workbenches/projects/mb-ci-career-conversation-handoff-done/index.html
14,mb-cia-russian-ci-handoff-packet,mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,acceptance_checked,4,4,True,True,True,True,False,True,26e3bd31d4eff4609db977409d3d1127ee8c715f431afb862fcea9e0468d9217,room_project_workbenches/projects/mb-cia-russian-ci-handoff-packet/index.html
15,mb-nik-handoff-v1,mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,acceptance_checked,4,4,True,True,True,True,False,True,1e04b9c3910628f3294a54ac6e6679f973f539563cf3bffcbc1b4b7b62995f57,room_project_workbenches/projects/mb-nik-handoff-v1/index.html
16,mb-russia-intelligence-analysis-final-handoff,mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),acceptance_checked,4,4,True,True,True,True,False,True,fabcd954f462414b30cc99cbd3504e2eeeaf996e84159309330bda3c13570f30,room_project_workbenches/projects/mb-russia-intelligence-analysis-final-handoff/index.html
17,mb-russian-reference-handoff-final,mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C x core/extended,acceptance_checked,4,4,True,True,True,True,False,True,82b4d45235da8bfe64c8badfb66826c989ab2d085bd28ce3f24ea9b553007b0c,room_project_workbenches/projects/mb-russian-reference-handoff-final/index.html
18,mb-visible-chat-handoff-package,mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,acceptance_checked,4,4,True,True,True,True,False,True,0a1516eb30abee47a2220f8393808d535329be759a0374ac2a54c004ed63a3b3,room_project_workbenches/projects/mb-visible-chat-handoff-package/index.html
19,native-aishared-instruments,native-aishared-instruments,AI Shared Instruments,acceptance_checked,4,3,True,True,True,True,False,True,e9c04ac28e5ede918069159e761329dd70e8206aaebb9bcb994128add55a2bc7,room_project_workbenches/projects/native-aishared-instruments/index.html
20,native-berlin,native-berlin,Berlin Occupation Zones and Refugee Crisis,acceptance_checked,4,4,True,True,True,True,False,True,0b2c8ed517a53a86fc61140588bfca6e3361ed00a535e54024763d0373a13507,room_project_workbenches/projects/native-berlin/index.html
21,native-cicc,native-cicc,ICC Complementarity Case Room,acceptance_checked,4,3,True,True,True,True,False,True,81701d92be3228f2aac279b6e5c980f43e3651d9c598c7d82e9d7654c2cee238,room_project_workbenches/projects/native-cicc/index.html
22,native-crusades,native-crusades,Crusades and Mediterranean Order,acceptance_checked,4,3,True,True,True,True,False,True,f6d585fa79795582e3b30bc4881f8448bddb66e6305aad21e7bcf528c595c543,room_project_workbenches/projects/native-crusades/index.html
23,native-peace,native-peace,Track II Diplomacy and Peacebuilding,acceptance_checked,4,3,True,True,True,True,False,True,966803687f24eb3bdfb033b55c10abb005a651adb8c1687f26da1c5857cc211b,room_project_workbenches/projects/native-peace/index.html
24,native-war-theory,native-war-theory,War Theory and Strategic Culture,acceptance_checked,4,3,True,True,True,True,False,True,0a2c18a982bc0a9dce413d3423a488b207b5063b62c93e288589966dc3a8f7ad,room_project_workbenches/projects/native-war-theory/index.html
25,row5,row5,Defense Doctrine - defensive retrieval governance laboratory (claim-limit discipline),acceptance_checked,4,4,True,True,True,True,False,True,4f4c23d3010196abb0b43d312457f58c89edbbc9630c057e07db7d112879c61d,room_project_workbenches/projects/row5/index.html
26,row6,row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,acceptance_checked,4,4,True,True,True,True,False,True,c2329bb67a581d1fcd7144c093297e1c3db5ff7871bf9dac6ea36cd704ee6d7f,room_project_workbenches/projects/row6/index.html
27,applied-history,applied-history,Applied History - lab for using historical case study to inform contemporary policy,acceptance_checked,4,4,True,True,True,True,False,True,bd7cdf5c25e77e31edbd968509813acb96f1df84e7a7e3d6fb16f68809f26c3b,room_project_workbenches/projects/applied-history/index.html
28,native-aigov-nav,native-aigov-nav,AI Governance Navigator,acceptance_checked,4,3,True,True,True,True,False,True,4fb4f084340b61ff8d17a07a9e453ebdf187f80c26b8714fb5e065a133bc8210,room_project_workbenches/projects/native-aigov-nav/index.html
29,native-aiintel-cycle,native-aiintel-cycle,AI Intelligence Cycle,acceptance_checked,4,3,True,True,True,True,False,True,f5707f034af3a4e2e73b303534ac981e734d3bc292aa05b2d500618e6b9416b3,room_project_workbenches/projects/native-aiintel-cycle/index.html
30,native-aiknowledge-prod,native-aiknowledge-prod,AI Knowledge Production,acceptance_checked,4,3,True,True,True,True,False,True,5880b9ac10a27836bcb592cbfd4b190e95f219ca579ff3994c748c3d85f3d559,room_project_workbenches/projects/native-aiknowledge-prod/index.html
31,native-aiprompt-eng,native-aiprompt-eng,AI Prompt Engineering,acceptance_checked,4,3,True,True,True,True,False,True,f8803d7cbaf70c570eb5b06564a73faeed77efab18a7e3814934608d1429a765,room_project_workbenches/projects/native-aiprompt-eng/index.html
32,native-analyst-assurance-desk,native-analyst-assurance-desk,Analyst Assurance Desk,acceptance_checked,4,4,True,True,True,True,False,True,0d9acbe2fb6a613a5e51210ddbf1a904a013a31d15f9608bed508e7ba147e779,room_project_workbenches/projects/native-analyst-assurance-desk/index.html
33,native-russia,native-russia,Russia,acceptance_checked,4,4,True,True,True,True,False,True,ee4faca5dd88109ae15c24b30815ad2a83618eb46ed44e47382c2afd2c459efd,room_project_workbenches/projects/native-russia/index.html
34,native-russia-history-room,native-russia-history-room,Russia Historical Context Room,acceptance_checked,4,4,True,True,True,True,False,True,eeb2baac38ff284b4c5cfa95133554fc0027dd08985868de4b82da7bbce548a6,room_project_workbenches/projects/native-russia-history-room/index.html
35,row1,row1,Quantitative Capstone - quantitative arm of the AI-corruption capstone study,acceptance_checked,4,3,True,True,True,True,False,True,8bb99e5bda7373f385d14badcfa5f97087888928ade0b7f3a64ea6efbaccc56a,room_project_workbenches/projects/row1/index.html
36,cognitive-warfare,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",acceptance_checked,4,4,True,True,True,True,False,True,57cb9a7d9108d4b02b3dc65719312b8ec0a7c9f652019768856d47ef88e50730,room_project_workbenches/projects/cognitive-warfare/index.html
37,ir-lexicon,ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,acceptance_checked,4,4,True,True,True,True,False,True,0dd8840f4accbc484bdd3fe39ec6e17a7499806221788debf11fc7005c2e65cf,room_project_workbenches/projects/ir-lexicon/index.html
38,mb-murano-mashup-room-handoff-v1,mb-murano-mashup-room-handoff-v1,Mashup Intelligence Room,acceptance_checked,4,4,True,True,True,True,False,True,68c579f846443f7bfa50ad2dbb56eed522a9409f4045baa9994850b782ca0435,room_project_workbenches/projects/mb-murano-mashup-room-handoff-v1/index.html
39,native-africa,native-africa,Colonial Encounter in Africa,acceptance_checked,4,4,True,True,True,True,False,True,99cc873e121b0c5b95581fb3fa901bba8635eae6f98bf968230b7c7e86c0af79,room_project_workbenches/projects/native-africa/index.html
40,native-east-asia,native-east-asia,East Asian War and Strategic Tradition,acceptance_checked,4,4,True,True,True,True,False,True,3ecf52eb3b104ec97f41ce95cb3672cb42a5e6f8a57d9f9d25fe2b4fb44dd37f,room_project_workbenches/projects/native-east-asia/index.html
41,native-mideast,native-mideast,Ottoman Palestine and Early Zionism,acceptance_checked,4,4,True,True,True,True,False,True,99accd97bdf8e38519781bfcaf2121b3af7dab92769851539b23e3299d7767ee,room_project_workbenches/projects/native-mideast/index.html
42,native-mongol,native-mongol,Mongol Empire Military Systems,acceptance_checked,4,4,True,True,True,True,False,True,7955810f58448591eb188e8830d2b0befae7e00e1a148df0b665af484eb95174,room_project_workbenches/projects/native-mongol/index.html
43,native-western,native-western,Western Political Thought and the Ideal State,acceptance_checked,4,4,True,True,True,True,False,True,2892f2872f96d1e195b71c5530ca6f78bf624284cb1ee7a15ebcf6bdd5e7f2e6,room_project_workbenches/projects/native-western/index.html
44,mb-muranoos-red-team-proper-handoff-archive-2026-04-11,mb-muranoos-red-team-proper-handoff-archive-2026-04-11,Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLANCE.md,acceptance_checked,4,4,True,True,True,True,False,True,2f15fe3a1380683d479b93cfa65fe9e2d3e38b729115ac648101943c754cc8f4,room_project_workbenches/projects/mb-muranoos-red-team-proper-handoff-archive-2026-04-11/index.html
45,mb-russia-security-handoff-packet-done,mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,acceptance_checked,4,4,True,True,True,True,False,True,bd12ae5ade51ef61f3c07aaeee1574bfc89b8ec3b25f499a4b234c5201294c11,room_project_workbenches/projects/mb-russia-security-handoff-packet-done/index.html
