record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,ir-lexicon,IR Lexicon — coined-term lexicon for modern foreign-affairs discourse Runtime Or Interface Surface,Demonstrate that IR Lexicon — coined-term lexicon for modern foreign-affairs discourse Runtime Or Interface Surface converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC | The Discourse of Race in Modern China Frank Dikötter | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Open or inspect the local runtime path for IR Lexicon — coined-term lexicon for modern foreign-affairs discourse Runtime Or Interface Surface; confirm a room, action, or state record traces to the governing contract.",GREEN - proof packet ready for live capture
claim_crosswalk,ir-lexicon,IR Lexicon — coined-term lexicon for modern foreign-affairs discourse Data And State Model,Demonstrate that IR Lexicon — coined-term lexicon for modern foreign-affairs discourse Data And State Model converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC | The Discourse of Race in Modern China Frank Dikötter | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (records, files, indexes, tables, project state, source...) produces output (state model that explains what the tool remembers...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,ir-lexicon,IR Lexicon — coined-term lexicon for modern foreign-affairs discourse Core Instrument Panel,Demonstrate that IR Lexicon — coined-term lexicon for modern foreign-affairs discourse Core Instrument Panel converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC | The Discourse of Race in Modern China Frank Dikötter | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (tool buttons, rooms, workflow steps, analytical...) produces output (named instruments that perform the useful work rather...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,ir-lexicon,IR Lexicon — coined-term lexicon for modern foreign-affairs discourse Workflow Orchestration,Demonstrate that IR Lexicon — coined-term lexicon for modern foreign-affairs discourse Workflow Orchestration converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC | The Discourse of Race in Modern China Frank Dikötter | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (upstream inputs, intermediate decisions, downstream...) produces output (pipeline path showing how work moves and when earlier...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,ir-lexicon,IR Lexicon — coined-term lexicon for modern foreign-affairs discourse Review And Governance Gate,Demonstrate that IR Lexicon — coined-term lexicon for modern foreign-affairs discourse Review And Governance Gate converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC | The Discourse of Race in Modern China Frank Dikötter | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (quality rules, source checks, claim ceilings, reviewer...) produces output (decision gate that makes the output inspectable before...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,ir-lexicon,IR Lexicon — coined-term lexicon for modern foreign-affairs discourse Export Or Integration Surface,Demonstrate that IR Lexicon — coined-term lexicon for modern foreign-affairs discourse Export Or Integration Surface converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC | The Discourse of Race in Modern China Frank Dikötter | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (brief, paper, room, dataset, packet, rendered page...) produces output (usable output that another project, professor...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,ir-lexicon,IR Lexicon — coined-term lexicon for modern foreign-affairs discourse Build Verification Queue,Demonstrate that IR Lexicon — coined-term lexicon for modern foreign-affairs discourse Build Verification Queue converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC | The Discourse of Race in Modern China Frank Dikötter | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (unbuilt modules, missing walkthroughs, test cases...) produces output (next proof needed before broader claims about the tool...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,ir-lexicon,IR Lexicon — coined-term lexicon for modern foreign-affairs discourse / Credibility Underwriting Gap,Demonstrate that IR Lexicon — coined-term lexicon for modern foreign-affairs discourse / Credibility Underwriting Gap converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC | The Discourse of Race in Modern China Frank Dikötter | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Credibility Underwriting Gap` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,ir-lexicon,IR Lexicon — coined-term lexicon for modern foreign-affairs discourse / Compellence Overdraft,Demonstrate that IR Lexicon — coined-term lexicon for modern foreign-affairs discourse / Compellence Overdraft converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC | The Discourse of Race in Modern China Frank Dikötter | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Compellence Overdraft` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,ir-lexicon,IR Lexicon — coined-term lexicon for modern foreign-affairs discourse / Ambiguity Rent,Demonstrate that IR Lexicon — coined-term lexicon for modern foreign-affairs discourse / Ambiguity Rent converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC | The Discourse of Race in Modern China Frank Dikötter | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Ambiguity Rent` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,ir-lexicon,IR Lexicon — coined-term lexicon for modern foreign-affairs discourse / Sanction Saturation,Demonstrate that IR Lexicon — coined-term lexicon for modern foreign-affairs discourse / Sanction Saturation converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,Discourse of Race in Modern China Frank Dikotter Dikotter PDOC | The Discourse of Race in Modern China Frank Dikötter | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Sanction Saturation` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
