project_id,case_id,case_type,expected_behavior,acceptance_decision,expected_behavior_met,full_operational_claim_allowed,trace_hash
applied-history,applied-history-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,792881e0a64a3b3d
applied-history,applied-history-challenge,challenge,accepted_with_caveat,PASS,yes,no,dcff32835b3b0e1d
applied-history,applied-history-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,65ba5870f34d32a9
native-aiprompt-eng,native-aiprompt-eng-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,4e1053089b1974cd
native-aiprompt-eng,native-aiprompt-eng-challenge,challenge,accepted_with_caveat,PASS,yes,no,fbf1783ebf092e0c
native-aiprompt-eng,native-aiprompt-eng-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,99fd51a35c69a747
native-analyst-assurance-desk,native-analyst-assurance-desk-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,36b9d6674477a335
native-analyst-assurance-desk,native-analyst-assurance-desk-challenge,challenge,accepted_with_caveat,PASS,yes,no,16af9a1abb7dcc65
native-analyst-assurance-desk,native-analyst-assurance-desk-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,c7b08d7f6d610515
native-berlin,native-berlin-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,e344ad612ac9dd6a
native-berlin,native-berlin-challenge,challenge,accepted_with_caveat,PASS,yes,no,b86aca239e133287
native-berlin,native-berlin-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,ec3f7bc7cd72fbdc
native-russia,native-russia-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,7c2efc943a6b24f3
native-russia,native-russia-challenge,challenge,accepted_with_caveat,PASS,yes,no,c2d6ebea4b4eaea2
native-russia,native-russia-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,c3120ee731db1efb
native-russia-history-room,native-russia-history-room-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,dffc35e3fe4df014
native-russia-history-room,native-russia-history-room-challenge,challenge,accepted_with_caveat,PASS,yes,no,10378a6626b5fd08
native-russia-history-room,native-russia-history-room-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,e47d7fae44290b6e
row6,row6-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,0f4968b2b367167a
row6,row6-challenge,challenge,accepted_with_caveat,PASS,yes,no,5453f12b825aeda5
row6,row6-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,1a56195132630f59
cognitive-warfare,cognitive-warfare-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,aaebb731e17d5338
cognitive-warfare,cognitive-warfare-challenge,challenge,accepted_with_caveat,PASS,yes,no,d0101a953877e8c9
cognitive-warfare,cognitive-warfare-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,3b8438a89b9e4a25
historical-studies,historical-studies-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,cb3f0a98a3f6c179
historical-studies,historical-studies-challenge,challenge,accepted_with_caveat,PASS,yes,no,30897cfb22ee30f3
historical-studies,historical-studies-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,151d9a1226ee8ad5
ir-lexicon,ir-lexicon-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,b00fd88ab437d9a0
ir-lexicon,ir-lexicon-challenge,challenge,accepted_with_caveat,PASS,yes,no,630f67fa1ecae710
ir-lexicon,ir-lexicon-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,50a26f57b50dd599
native-africa,native-africa-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,98f2ff04dbbf5c51
native-africa,native-africa-challenge,challenge,accepted_with_caveat,PASS,yes,no,aafceaad32cf986f
native-africa,native-africa-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,0a2f362f08233915
native-east-asia,native-east-asia-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,5e4aa96658506fba
native-east-asia,native-east-asia-challenge,challenge,accepted_with_caveat,PASS,yes,no,b2b117bfdd48df2b
native-east-asia,native-east-asia-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,81f914019c1fc065
native-mideast,native-mideast-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,6c56950e8a769d6b
native-mideast,native-mideast-challenge,challenge,accepted_with_caveat,PASS,yes,no,2823780500733cd5
native-mideast,native-mideast-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,95dcadc56f229a0d
native-mongol,native-mongol-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,02bc0d973a367e6d
native-mongol,native-mongol-challenge,challenge,accepted_with_caveat,PASS,yes,no,44377dab63a8f216
native-mongol,native-mongol-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,70794fbbc4bebe35
native-western,native-western-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,ad319ae964cd040e
native-western,native-western-challenge,challenge,accepted_with_caveat,PASS,yes,no,da01c93d4186a73d
native-western,native-western-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,0da2697ccf6b3ce9
russia-desk,russia-desk-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,c46869462e31350e
russia-desk,russia-desk-challenge,challenge,accepted_with_caveat,PASS,yes,no,786ebfe78f79939d
russia-desk,russia-desk-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,fa639c34f4aac206
analytical-methodology,analytical-methodology-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,fd0e79ed11d6b600
analytical-methodology,analytical-methodology-challenge,challenge,accepted_with_caveat,PASS,yes,no,ed769731e549adfa
analytical-methodology,analytical-methodology-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,2a5a3d924e8e4448
regional-studies,regional-studies-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,10ecc36364b8ca57
regional-studies,regional-studies-challenge,challenge,accepted_with_caveat,PASS,yes,no,a2d2cc563170bed9
regional-studies,regional-studies-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,137b90dc4780ab71
decision-advantage-system,decision-advantage-system-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,e52e86e3171488a0
decision-advantage-system,decision-advantage-system-challenge,challenge,accepted_with_caveat,PASS,yes,no,ea617d06a2187776
decision-advantage-system,decision-advantage-system-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,fa322accaa12746e
mb-dialectic-engine-room-pass1-handoff,mb-dialectic-engine-room-pass1-handoff-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,f2543d61348a1dea
mb-dialectic-engine-room-pass1-handoff,mb-dialectic-engine-room-pass1-handoff-challenge,challenge,accepted_with_caveat,PASS,yes,no,90c7b447902163f0
mb-dialectic-engine-room-pass1-handoff,mb-dialectic-engine-room-pass1-handoff-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,f0e846c91fd60a20
native-russia-security-desk,native-russia-security-desk-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,2f46a2a59c994148
native-russia-security-desk,native-russia-security-desk-challenge,challenge,accepted_with_caveat,PASS,yes,no,07ef2e23b804d1fe
native-russia-security-desk,native-russia-security-desk-falsifier,falsifier,block_full_operational_claim,PASS,yes,no,24865d66597fc4cf
mb-infragard-handoff,mb-infragard-handoff-baseline,baseline,accepted_with_claim_boundary,PASS,yes,no,c5c19d157aed664f
mb-infragard-handoff,mb-infragard-handoff-challenge,challenge,accepted_with_caveat,PASS,yes,no,95a743562488ed16
