record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy Runtime Or Interface Surface,Demonstrate that Washington-Jefferson Era Foreign Policy Runtime Or Interface Surface converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Open or inspect the local runtime path for Washington-Jefferson Era Foreign Policy Runtime Or Interface Surface; confirm a room, action, or state record traces to the governing contract.",GREEN - proof packet ready for live capture
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy Data And State Model,Demonstrate that Washington-Jefferson Era Foreign Policy Data And State Model converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (records, files, indexes, tables, project state, source...) produces output (state model that explains what the tool remembers...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy Core Instrument Panel,Demonstrate that Washington-Jefferson Era Foreign Policy Core Instrument Panel converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (tool buttons, rooms, workflow steps, analytical...) produces output (named instruments that perform the useful work rather...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy Workflow Orchestration,Demonstrate that Washington-Jefferson Era Foreign Policy Workflow Orchestration converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (upstream inputs, intermediate decisions, downstream...) produces output (pipeline path showing how work moves and when earlier...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy Review And Governance Gate,Demonstrate that Washington-Jefferson Era Foreign Policy Review And Governance Gate converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (quality rules, source checks, claim ceilings, reviewer...) produces output (decision gate that makes the output inspectable before...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy Export Or Integration Surface,Demonstrate that Washington-Jefferson Era Foreign Policy Export Or Integration Surface converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (brief, paper, room, dataset, packet, rendered page...) produces output (usable output that another project, professor...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy Build Verification Queue,Demonstrate that Washington-Jefferson Era Foreign Policy Build Verification Queue converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Test one representative case; confirm input (unbuilt modules, missing walkthroughs, test cases...) produces output (next proof needed before broader claims about the tool...) and leaves a visible decision or artifact.",GREEN - proof packet ready for live capture
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy / John Jay,Demonstrate that Washington-Jefferson Era Foreign Policy / John Jay converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `John Jay` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy / Federalists of,Demonstrate that Washington-Jefferson Era Foreign Policy / Federalists of converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Federalists of` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy / France. The,Demonstrate that Washington-Jefferson Era Foreign Policy / France. The converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `France. The` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy / Evidence Sections,Demonstrate that Washington-Jefferson Era Foreign Policy / Evidence Sections converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Evidence Sections` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy / Review Notes,Demonstrate that Washington-Jefferson Era Foreign Policy / Review Notes converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Review Notes` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy / Native Navigation,Demonstrate that Washington-Jefferson Era Foreign Policy / Native Navigation converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Native Navigation` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy / APA lineage,Demonstrate that Washington-Jefferson Era Foreign Policy / APA lineage converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `APA lineage` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy / source lineage claim limit. The public package remains text,Demonstrate that Washington-Jefferson Era Foreign Policy / source lineage claim limit. The public package remains text converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `source lineage claim limit. The public package remains text` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-amfp,Washington-Jefferson Era Foreign Policy / focused and does not claim unverified runtime state. Plan: name the governing case,Demonstrate that Washington-Jefferson Era Foreign Policy / focused and does not claim unverified runtime state. Plan: name the governing case converts a visible input into the named output without exceeding the claim ceiling.,policy design + abuse-case review + measurable evaluation criterion,"Buffer Thinking in Chinese Foreign and Security Policy The Reasoning behind China’s Policies toward North Korea, Taiwan, and Mongolia Yu Hua Chen | No Place for Russia European Security Institutions Since 1989 Hill, William H | Rethinking Chinese Foreign Policy Security, Development, and Ideology Hai Guo","The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `focused and does not claim unverified runtime state. Plan: name the governing case` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
