project_id,product_name,source_application_count,passage_contract_count,source_actions_before_claim,blocked_claim_until
row7,Nexus Research Pipeline,5,0,"Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
native-murano,MuranoOS Research Operating Environment,5,0,"Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,6,0,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,7,0,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
row10,Structured Human-AI Analyst Workstation,6,0,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
analytical-methods,Structured Analytic Technique Studio,6,0,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
trilogy,Book Trilogy Manuscript Governance System,7,0,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,8,0,"Carry 8 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
russia-desk,Russia Source-To-Judgment Desk,7,0,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,5,0,"Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",at least one load-bearing source is converted from role assignment into a close-read note before citation-heavy or literature-positioning claims
