project_id,project_title,project_kind,proof_tier,component_count,quality_gate_counts,upgrade_class_counts,source_strategy,distinctiveness_component_to_build,distinctiveness_component_operation,distinctiveness_component_output,acceptance_test,best_improvement,build_status
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,structured analysis room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,human-AI analytic delta: 17,"Use sources to connect counterintelligence tradecraft, active measures, data poisoning, analytic deception, and human-AI review burden. The proof must show actor objective, poisoned evidence pathway, analytic uptake or rejection, and bounded warning.",Active-measures-to-data-poisoning case bridge,"Translate a counterintelligence active-measures pattern into an AI-mediated evidence-corruption scenario, then show analytic uptake, human review, and bounded warning.","Actor objective, poisoned evidence pathway, analytic deformation, human correction or failure, and final warning boundary.",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,Make the public-safe bridge from tradecraft to data poisoning explicit enough that the study's distinctive mechanism is visible.,source-backed proof build; needs source-to-output capture and close-read strengthening
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",research workflow software,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",source-backed proof build; needs source-to-output capture and close-read strengthening
analytical-methods,"Structured Methods Library - method-composition page across Heuer, structured analytic techniques, and intelligence methodology",analysis method / workstation,specified-proof-plan-needs-demo,8,READY_FOR_CAPTURE: 8,human-AI analytic delta: 8,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",specified proof plan; needs live or replayable demonstrator
applied-history,Applied History - lab for using historical case study to inform contemporary policy,research workflow software,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",source-backed proof build; needs source-to-output capture and close-read strengthening
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,method atlas / taxonomy,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,source-to-output proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add one classified example that travels through the taxonomy: observed failure or bias, category assignment, rival category, reviewer decision, and resulting mitigation.",source-backed proof build; needs source-to-output capture and close-read strengthening
capstone-orig,Qualitative Capstone - qualitative analysis of analyst response to AI-introduced corruption,structured analysis room,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,human-AI analytic delta: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Human-analytic delta demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"baseline, structured review, human correction, confidence boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a compact source-to-judgment example: input source, analytic instrument, inference made, rival interpretation, confidence limit, and downstream use.",source-backed proof build; needs source-to-output capture and close-read strengthening
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,research study,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,source-to-output proof: 17,"Use sources to test whether each instrument actually improves analytic judgment: hypothesis discipline, bias control, decomposition, evidence weighting, confidence change, and human-AI division of labor.",Source-to-output distinctiveness demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"input, operation, output, rival interpretation, and claim boundary",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add method-result boundary, validity threats, what the study can and cannot generalize, and a practitioner-facing implication.",source-backed proof build; needs source-to-output capture and close-read strengthening
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",research workflow software,specified-proof-plan-needs-demo,11,READY_FOR_CAPTURE: 11,runtime state trace: 11,Use sources to strengthen cross-field mechanism transfer and academic-stage dependency. Sources should not merely answer a query; they should help move a mechanism from one field into another while marking downstream stages stale when upstream assumptions change.,Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",specified proof plan; needs live or replayable demonstrator
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,archive / packet router,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,promotion-routing proof: 17,"Use sources to move the project from description to warrant: method source, domain source, evaluation source, limitation source, and output-bridge source.",Artifact promotion-router demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,"identity, authority, route, claim ceiling, and next action",A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add promotion-router examples showing how a packet becomes a room, paper, software instrument, source reservoir, archive item, or blocked record.",source-backed proof build; needs source-to-output capture and close-read strengthening
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,software operating environment,source-backed-proof-build,17,READY_FOR_CAPTURE: 17,runtime state trace: 17,"Use sources to make the operating environment professionally legible: rooms, instruments, records, agents, review gates, and export limits should map to recognized research, organizational, or human-computer workflow principles.",Runtime state-transition demonstrator,run the task through the project's distinctive mechanism rather than summarizing the project in prose,visible action-to-state-to-output trace,A reviewer can see why this project could not be swapped with another page without losing the mechanism.,"Add a replayable demo with before/after state, failure mode, and exported result so the software utility is visible rather than asserted.",source-backed proof build; needs source-to-output capture and close-read strengthening
