project_id,project_name,project_kind,runtime_target,instrument_id,instrument_name,purpose,input_contract,operation,output_contract,acceptance_condition,runtime_status,full_underlying_system_complete
master-bundle-atlas,Master Bundle Packet Promotion Atlas,method atlas / taxonomy,"packet registry with extraction, authority, route, duplicate-risk, and promotion-decision fields",master-bundle-atlas-instrument-01,packet registry,Turn the `packet registry` module into a concrete input-operation-output step for Master Bundle Packet Promotion Atlas.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the packet registry step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The packet registry instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
master-bundle-atlas,Master Bundle Packet Promotion Atlas,method atlas / taxonomy,"packet registry with extraction, authority, route, duplicate-risk, and promotion-decision fields",master-bundle-atlas-instrument-02,extraction status,Turn the `extraction status` module into a concrete input-operation-output step for Master Bundle Packet Promotion Atlas.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the extraction status step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The extraction status instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
master-bundle-atlas,Master Bundle Packet Promotion Atlas,method atlas / taxonomy,"packet registry with extraction, authority, route, duplicate-risk, and promotion-decision fields",master-bundle-atlas-instrument-03,authority and supersession classifier,Turn the `authority and supersession classifier` module into a concrete input-operation-output step for Master Bundle Packet Promotion Atlas.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the authority and supersession classifier step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The authority and supersession classifier instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
master-bundle-atlas,Master Bundle Packet Promotion Atlas,method atlas / taxonomy,"packet registry with extraction, authority, route, duplicate-risk, and promotion-decision fields",master-bundle-atlas-instrument-04,duplicate-risk checker,Turn the `duplicate-risk checker` module into a concrete input-operation-output step for Master Bundle Packet Promotion Atlas.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the duplicate-risk checker step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The duplicate-risk checker instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
master-bundle-atlas,Master Bundle Packet Promotion Atlas,method atlas / taxonomy,"packet registry with extraction, authority, route, duplicate-risk, and promotion-decision fields",master-bundle-atlas-instrument-05,project route selector,Turn the `project route selector` module into a concrete input-operation-output step for Master Bundle Packet Promotion Atlas.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the project route selector step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The project route selector instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
master-bundle-atlas,Master Bundle Packet Promotion Atlas,method atlas / taxonomy,"packet registry with extraction, authority, route, duplicate-risk, and promotion-decision fields",master-bundle-atlas-instrument-06,promotion decision board,Turn the `promotion decision board` module into a concrete input-operation-output step for Master Bundle Packet Promotion Atlas.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the promotion decision board step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The promotion decision board instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,retrieval security / evaluation harness,"scenario replay harness with clean/poisoned fixtures, retrieval trace, answer deformation, reviewer burden, and defense gates",native-poison-rag-instrument-01,adversarial fixture registry,Turn the `adversarial fixture registry` module into a concrete input-operation-output step for Retrieval Integrity And Poison-RAG Evaluation Harness.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the adversarial fixture registry step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The adversarial fixture registry instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,retrieval security / evaluation harness,"scenario replay harness with clean/poisoned fixtures, retrieval trace, answer deformation, reviewer burden, and defense gates",native-poison-rag-instrument-02,source-admission gate,Turn the `source-admission gate` module into a concrete input-operation-output step for Retrieval Integrity And Poison-RAG Evaluation Harness.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the source-admission gate step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The source-admission gate instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,retrieval security / evaluation harness,"scenario replay harness with clean/poisoned fixtures, retrieval trace, answer deformation, reviewer burden, and defense gates",native-poison-rag-instrument-03,indexing and retrieval trace,Turn the `indexing and retrieval trace` module into a concrete input-operation-output step for Retrieval Integrity And Poison-RAG Evaluation Harness.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the indexing and retrieval trace step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The indexing and retrieval trace instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,retrieval security / evaluation harness,"scenario replay harness with clean/poisoned fixtures, retrieval trace, answer deformation, reviewer burden, and defense gates",native-poison-rag-instrument-04,answer deformation comparator,Turn the `answer deformation comparator` module into a concrete input-operation-output step for Retrieval Integrity And Poison-RAG Evaluation Harness.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the answer deformation comparator step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The answer deformation comparator instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,retrieval security / evaluation harness,"scenario replay harness with clean/poisoned fixtures, retrieval trace, answer deformation, reviewer burden, and defense gates",native-poison-rag-instrument-05,reviewer-burden estimator,Turn the `reviewer-burden estimator` module into a concrete input-operation-output step for Retrieval Integrity And Poison-RAG Evaluation Harness.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the reviewer-burden estimator step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The reviewer-burden estimator instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,retrieval security / evaluation harness,"scenario replay harness with clean/poisoned fixtures, retrieval trace, answer deformation, reviewer burden, and defense gates",native-poison-rag-instrument-06,block/narrow/abstain decision gate,Turn the `block/narrow/abstain decision gate` module into a concrete input-operation-output step for Retrieval Integrity And Poison-RAG Evaluation Harness.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the block/narrow/abstain decision gate step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The block/narrow/abstain decision gate instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,retrieval security / evaluation harness,"scenario replay harness with clean/poisoned fixtures, retrieval trace, answer deformation, reviewer burden, and defense gates",native-poison-rag-instrument-07,replay ledger,Turn the `replay ledger` module into a concrete input-operation-output step for Retrieval Integrity And Poison-RAG Evaluation Harness.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the replay ledger step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The replay ledger instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,retrieval security / evaluation harness,miniature evaluation harness derived from the advisor annex,poison-rag-defense-annex-instrument-01,annex scenario registry,Turn the `annex scenario registry` module into a concrete input-operation-output step for Adversarial Evidence Corruption Technical Annex Harness.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the annex scenario registry step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The annex scenario registry instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,retrieval security / evaluation harness,miniature evaluation harness derived from the advisor annex,poison-rag-defense-annex-instrument-02,adversarial evidence packet builder,Turn the `adversarial evidence packet builder` module into a concrete input-operation-output step for Adversarial Evidence Corruption Technical Annex Harness.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the adversarial evidence packet builder step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The adversarial evidence packet builder instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,retrieval security / evaluation harness,miniature evaluation harness derived from the advisor annex,poison-rag-defense-annex-instrument-03,human/LLM validation checkpoint,Turn the `human/LLM validation checkpoint` module into a concrete input-operation-output step for Adversarial Evidence Corruption Technical Annex Harness.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the human/LLM validation checkpoint step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The human/LLM validation checkpoint instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,retrieval security / evaluation harness,miniature evaluation harness derived from the advisor annex,poison-rag-defense-annex-instrument-04,defensive gate,Turn the `defensive gate` module into a concrete input-operation-output step for Adversarial Evidence Corruption Technical Annex Harness.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the defensive gate step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The defensive gate instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,retrieval security / evaluation harness,miniature evaluation harness derived from the advisor annex,poison-rag-defense-annex-instrument-05,replay record,Turn the `replay record` module into a concrete input-operation-output step for Adversarial Evidence Corruption Technical Annex Harness.,"Project fixture, source duty, current claim boundary, and required output state.",Execute or inspect the replay record step against the project fixture and record the state change it is supposed to produce.,"A reviewer-visible state record, output artifact, or decision boundary tied to the project acceptance tests.","The replay record instrument is present, named, connected to the fixture, and has an output or decision field that can be reviewed.",kernel_executable_package_slice,false
