project_id,product_name,production_state,closure_lane,gate_id,gate_name,required_evidence,status,next_action
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
applied-history,Applied History - lab for using historical case study to inform contemporary policy,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
applied-history,Applied History - lab for using historical case study to inform contemporary policy,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
mb-infragard-handoff,InfraGard preparatory note (minimal),proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
mb-infragard-handoff,InfraGard preparatory note (minimal),proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
mb-insinuationengineroom-handoff-done,Insinuation Engine,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
mb-insinuationengineroom-handoff-done,Insinuation Engine,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-africa,Colonial Encounter in Africa,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-africa,Colonial Encounter in Africa,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-aiprompt-eng,AI Prompt Engineering,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-aiprompt-eng,AI Prompt Engineering,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-analyst-assurance-desk,Analyst Assurance Desk,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-analyst-assurance-desk,Analyst Assurance Desk,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-berlin,Berlin Occupation Zones and Refugee Crisis,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-berlin,Berlin Occupation Zones and Refugee Crisis,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-east-asia,East Asian War and Strategic Tradition,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-east-asia,East Asian War and Strategic Tradition,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-mideast,Ottoman Palestine and Early Zionism,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-mideast,Ottoman Palestine and Early Zionism,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-mongol,Mongol Empire Military Systems,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-mongol,Mongol Empire Military Systems,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-russia,Russia,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-russia,Russia,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-russia-history-room,Russia Historical Context Room,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-russia-history-room,Russia Historical Context Room,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-russia-security-desk,Russia Security Desk,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-russia-security-desk,Russia Security Desk,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-western,Western Political Thought and the Ideal State,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
native-western,Western Political Thought and the Ideal State,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
russia-desk,Russia Source-To-Judgment Desk,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
russia-desk,Russia Source-To-Judgment Desk,proof_surface_operational_evidence_incomplete,runtime_deployment_validation,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,missing,"Supply the 1 required residual evidence files for the runtime_deployment_validation lane, then rerun the validator."
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,external_owner_track_hold,external_owner_track,G2,Reachable build surface,"A page, workbench, instrument, manuscript packet, or hosted route is reachable from the package.",external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,external_owner_track_hold,external_owner_track,G3,Instrument or workflow executes,"The project can run a representative action, render a result, or expose a completed manuscript/packet workflow.",external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,external_owner_track_hold,external_owner_track,G4,Non-sample validation,"Evidence includes a non-sample run, live case, external review, or manuscript readiness proof, not only a template/demo.",external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,external_owner_track_hold,external_owner_track,G5,Source and claim traceability,"Material claims, methods, and source uses are traceable to project files, sources, or reviewer records.",external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,external_owner_track_hold,external_owner_track,G6,Regression and falsifier checks,"The project has a regression suite, falsifier case, or equivalent challenge condition that prevents easy self-confirmation.",external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,external_owner_track_hold,external_owner_track,G7,Desktop and mobile evidence,Rendered output is captured on desktop and mobile or the non-web manuscript/software equivalent is documented.,external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,external_owner_track_hold,external_owner_track,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,external_owner_track_hold,external_owner_track,G9,Review or signoff evidence,"A clearly labeled reviewer, owner, advisor, expert, venue, or Codex technical review note records approval, limits, or remaining defects after inspecting the project result.",external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,external_owner_track_hold,external_owner_track,G10,No unresolved blocking gaps,The production ledger has no missing blocking gate and no residual evidence slot required for promotion.,external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
analytical-methods,Structured Analytic Technique Studio,external_owner_track_hold,external_owner_track,G2,Reachable build surface,"A page, workbench, instrument, manuscript packet, or hosted route is reachable from the package.",external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
analytical-methods,Structured Analytic Technique Studio,external_owner_track_hold,external_owner_track,G3,Instrument or workflow executes,"The project can run a representative action, render a result, or expose a completed manuscript/packet workflow.",external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
analytical-methods,Structured Analytic Technique Studio,external_owner_track_hold,external_owner_track,G4,Non-sample validation,"Evidence includes a non-sample run, live case, external review, or manuscript readiness proof, not only a template/demo.",external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
analytical-methods,Structured Analytic Technique Studio,external_owner_track_hold,external_owner_track,G5,Source and claim traceability,"Material claims, methods, and source uses are traceable to project files, sources, or reviewer records.",external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
analytical-methods,Structured Analytic Technique Studio,external_owner_track_hold,external_owner_track,G6,Regression and falsifier checks,"The project has a regression suite, falsifier case, or equivalent challenge condition that prevents easy self-confirmation.",external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
analytical-methods,Structured Analytic Technique Studio,external_owner_track_hold,external_owner_track,G7,Desktop and mobile evidence,Rendered output is captured on desktop and mobile or the non-web manuscript/software equivalent is documented.,external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
analytical-methods,Structured Analytic Technique Studio,external_owner_track_hold,external_owner_track,G8,Deployment or reproducibility smoke,"The route, packet, script, or local runtime can be opened and its required artifacts can be fetched or reproduced.",external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
analytical-methods,Structured Analytic Technique Studio,external_owner_track_hold,external_owner_track,G9,Review or signoff evidence,"A clearly labeled reviewer, owner, advisor, expert, venue, or Codex technical review note records approval, limits, or remaining defects after inspecting the project result.",external_hold,Integrate the owning track's production evidence and rerun this control plane; do not duplicate that track's files.
