record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,cognitive-warfare,"Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Runtime Or Interface Surface","Demonstrate that Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Runtime Or Interface Surface converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Open or inspect the local runtime path for Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Runtime Or Interface Surface; confirm a room, action, or state record traces to the governing contract.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-warfare,"Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Data And State Model","Demonstrate that Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Data And State Model converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Data And State Model; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-warfare,"Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Core Instrument Panel","Demonstrate that Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Core Instrument Panel converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Core Instrument Panel; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-warfare,"Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Workflow Orchestration","Demonstrate that Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Workflow Orchestration converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Workflow Orchestration; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-warfare,"Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Review And Governance Gate","Demonstrate that Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Review And Governance Gate converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Review And Governance Gate; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-warfare,"Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Export Or Integration Surface","Demonstrate that Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Export Or Integration Surface converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Export Or Integration Surface; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-warfare,"Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Build Verification Queue","Demonstrate that Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Build Verification Queue converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Run one analytic question through Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments Build Verification Queue; confirm evidence, assumptions, method decision, confidence limit, and human/AI delta.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-warfare,"Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments / Operationalizes the","Demonstrate that Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments / Operationalizes the converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Operationalizes the` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-warfare,"Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments / Each of the","Demonstrate that Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments / Each of the converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Each of the` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,cognitive-warfare,"Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments / Olson Olson","Demonstrate that Cognitive Warfare — counter-intelligence doctrine, operationalized into analytical instruments / Olson Olson converts a visible input into the named output without exceeding the claim ceiling.",software architecture + workflow-state design + privacy/export governance,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC | American Cancer Research Food Nutrition Physical Activity | American Cancer Research Food Nutrition Physical Activity PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `Olson Olson` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
