passage_contract_id,project_id,product_name,source_candidate,priority,locator_status,public_file_label,extension,collection_hint,match_score,matched_tokens,source_role,project_specific_application,output_it_must_change,test_or_check_it_must_govern,proof_capsules_to_update,proof_artifacts_to_update,field_to_update,passage_note_required,claim_unlocked_after_close_read,blocked_claim_type,required_close_read_output,next_project_update,public_claim_allowed_now
PCU-2AB13F192CCF,cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,normal,candidate_file_found,(Handbooks of Sociology and Social Research) Giuseppe Caforio - Handbook of the Sociology of the Military - Springer (2006) PDOC.pdf,.pdf,Kindle/PDF source library candidate,186.0,"caforio, giuseppe, military, pdoc, social, sociology, springer",method authority,"Use (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC as method authority for Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is state model.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,PC-E2BA9EF991FA | PC-C459DFF03739 | PC-BD6DF94827B1,state transition proof record | state transition proof record | state transition proof record,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-756F5A10091B,row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,normal,candidate_file_found,(Handbooks of Sociology and Social Research) Giuseppe Caforio - Handbook of the Sociology of the Military - Springer (2006) PDOC.pdf,.pdf,Kindle/PDF source library candidate,186.0,"caforio, giuseppe, military, pdoc, social, sociology, springer",method authority,"Use (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC as method authority for Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is retrieval trace.","method rule, stage design, instrument behavior, or analytic procedure",claim ceiling test: public claims cannot exceed built evidence,PC-FF9C6F001CFD | PC-E7550156448B | PC-AB0BD6F1CF45,retrieval replay evidence chain | retrieval replay evidence chain | retrieval replay evidence chain,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-E9089127D499,row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,normal,candidate_file_found,(Handbooks of Sociology and Social Research) Giuseppe Caforio - Handbook of the Sociology of the Military - Springer (2006) PDOC.pdf,.pdf,Kindle/PDF source library candidate,186.0,"caforio, giuseppe, military, pdoc, social, sociology, springer",technical mechanism,"Use (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC as technical mechanism for Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning: Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible. The immediate application target is retrieval trace.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule",retrieval replay test: clean and contaminated fixtures produce inspectable traces,PC-F07579B08910 | PC-ED845DE609BA | PC-8465D62B1824,retrieval replay evidence chain | retrieval replay evidence chain | retrieval replay evidence chain,operation_to_run and source_bound_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update operation_to_run and source_bound_test for Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-512EFA4EE628,row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,American Cancer Research Food Nutrition Physical Activity,normal,candidate_file_found,American Cancer Research Food Nutrition Physical Activity.pdf,.pdf,Kindle/PDF source library candidate,176.0,"activity, american, cancer, food, nutrition, physical",method authority,"Use Artificial Intelligence for Business Creativity as method authority for Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Adversarial retrieval replay demonstrator.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-F07579B08910 | PC-ED845DE609BA | PC-8465D62B1824,retrieval replay evidence chain | retrieval replay evidence chain | retrieval replay evidence chain,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-EF3D6F8C39BC,row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,American Cancer Research Food Nutrition Physical Activity PDOC,normal,candidate_file_found,American Cancer Research Food Nutrition Physical Activity PDOC.pdf,.pdf,Kindle/PDF source library candidate,186.0,"activity, american, cancer, food, nutrition, pdoc, physical",method authority,"Use Artificial Intelligence for Business Creativity as method authority for Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Adversarial retrieval replay demonstrator.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-F07579B08910 | PC-ED845DE609BA | PC-8465D62B1824,retrieval replay evidence chain | retrieval replay evidence chain | retrieval replay evidence chain,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-197ECD9FF955,row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,normal,candidate_file_found,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance - Arpad Palfy.pdf,.pdf,Kindle/PDF source library candidate,206.0,"arpad, between, bridging, collection, governance, information, intelligence, palfy, processing",method authority,"Use Artificial Intelligence for Business Creativity as method authority for Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Adversarial retrieval replay demonstrator.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-F07579B08910 | PC-ED845DE609BA | PC-8465D62B1824,retrieval replay evidence chain | retrieval replay evidence chain | retrieval replay evidence chain,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-17D0BADA53B5,row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2),normal,candidate_file_found,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance - Arpad Palfy (2).pdf,.pdf,Kindle/PDF source library candidate,206.0,"arpad, between, bridging, collection, governance, information, intelligence, palfy, processing",evaluation standard,"Use Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy (2) as evaluation standard for Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning: Extract observable criteria: pass/fail condition, reliability check, coding rule, calibration test, or release gate. The immediate application target is retrieval trace.","test suite, acceptance criteria, scorecard, confidence rule, or release decision",claim ceiling test: public claims cannot exceed built evidence,PC-F07579B08910 | PC-ED845DE609BA | PC-8465D62B1824,retrieval replay evidence chain | retrieval replay evidence chain | retrieval replay evidence chain,acceptance_test and capture_requirement,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update acceptance_test and capture_requirement for Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-1B615CFA324E,row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick (2),normal,candidate_file_found,American Spies Espionage Against the United States From the Cold War to the Present - Michael J. Sulick (2).pdf,.pdf,Kindle/PDF source library candidate,216.0,"against, american, cold, espionage, michael, present, spies, states, sulick, united",adversarial model,"Use American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick (2) as adversarial model for Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure: Extract attacker incentives, deception timing, poisoning pathway, saturation tactic, evasion strategy, or failure pressure. The immediate application target is defense decision.","attack fixture, red-team lane, defensive gate, warning condition, or replay scenario",retrieval replay test: clean and contaminated fixtures produce inspectable traces,PC-AAFBACAD38B9 | PC-968857D46638 | PC-81BE41C3B12E,retrieval replay evidence chain | retrieval replay evidence chain | retrieval replay evidence chain,input_fixture and falsification_rule,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update input_fixture and falsification_rule for Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-19F8B0EB1B10,row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,American Spies Espionage against the United States from the Cold War to the Present ( PDFDrive ) PDOC,normal,candidate_file_found,American Spies Espionage against the United States from the Cold War to the Present ( PDFDrive ) PDOC.pdf,.pdf,Kindle/PDF source library candidate,216.0,"against, american, cold, espionage, pdfdrive, pdoc, present, spies, states, united",method authority,"Use Artificial Intelligence for Business Creativity as method authority for Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Adversarial retrieval replay demonstrator.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-AAFBACAD38B9 | PC-968857D46638 | PC-81BE41C3B12E,retrieval replay evidence chain | retrieval replay evidence chain | retrieval replay evidence chain,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-D77E9D66EE08,row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance Arpad Palfy,normal,candidate_file_found,Bridging the Gap between Collection and Analysis Intelligence Information Processing and Data Governance - Arpad Palfy.pdf,.pdf,Kindle/PDF source library candidate,206.0,"arpad, between, bridging, collection, governance, information, intelligence, palfy, processing",method authority,"Use Artificial Intelligence for Business Creativity as method authority for Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure: Extract a method rule, decision procedure, bias-control rule, or workflow constraint; then make the component obey that rule. The immediate application target is Adversarial retrieval replay demonstrator.","method rule, stage design, instrument behavior, or analytic procedure",A reviewer can identify the source-derived rule and see where the component enforces it.,PC-AAFBACAD38B9 | PC-968857D46638 | PC-81BE41C3B12E,retrieval replay evidence chain | retrieval replay evidence chain | retrieval replay evidence chain,inspection_protocol and acceptance_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update inspection_protocol and acceptance_test for Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
PCU-7C58278016B1,row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick,normal,candidate_file_found,American Spies Espionage Against the United States From the Cold War to the Present - Michael J. Sulick (2).pdf,.pdf,Kindle/PDF source library candidate,216.0,"against, american, cold, espionage, michael, present, spies, states, sulick, united",technical mechanism,"Use American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick as technical mechanism for Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure: Extract the data flow, system behavior, software constraint, retrieval path, scoring logic, or failure mode that must become visible. The immediate application target is retrieval trace.","module contract, data contract, proof artifact, runtime trace, or failure-handling rule",retrieval replay test: clean and contaminated fixtures produce inspectable traces,PC-AAFBACAD38B9 | PC-968857D46638 | PC-81BE41C3B12E,retrieval replay evidence chain | retrieval replay evidence chain | retrieval replay evidence chain,operation_to_run and source_bound_test,"Create a close-read note with verified author/title/edition, exact passage/page or location, concept extracted, source role, project mechanism changed, proof capsule field changed, claim ceiling after reading, and unresolved uncertainty.","Source may support page-specific citation or stronger literature-positioning only after passage and bibliographic verification; until then, routing-level use only.","quotation, page-specific citation, strong literature-positioning claim, or claim that the source has been fully utilized","verified author/title/edition plus 1-3 passages that alter a module rule, test, claim ceiling, or public output","After close reading, update operation_to_run and source_bound_test for Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure and attach the passage note to the listed proof capsule(s).",May say the project has a source-governed application plan; may not cite this source as passage-level evidence until verified.
