record_type,project_id,component,claim_or_build_requirement,source_role,source_candidates,claim_ceiling,routing_limit,next_action,gate
claim_crosswalk,native-russia,Russia Artifact Identity Register,Demonstrate that Russia Artifact Identity Register converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Russia Artifact Identity Register; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia,Russia Extraction And Manifest Layer,Demonstrate that Russia Extraction And Manifest Layer converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Russia Extraction And Manifest Layer; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia,Russia Mechanism Or Claim Distillation,Demonstrate that Russia Mechanism Or Claim Distillation converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Russia Mechanism Or Claim Distillation; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia,Russia Proof Boundary,Demonstrate that Russia Proof Boundary converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Russia Proof Boundary; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia,Russia Promotion Route,Demonstrate that Russia Promotion Route converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Russia Promotion Route; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia,Russia Current Authority State,Demonstrate that Russia Current Authority State converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Russia Current Authority State; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia,Russia Gap And Reconciliation Queue,Demonstrate that Russia Gap And Reconciliation Queue converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Trace one Russia claim through Russia Gap And Reconciliation Queue; confirm source lane, analytic variable, confidence boundary, and policy-facing output.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia,Russia / The Russia Desk,Demonstrate that Russia / The Russia Desk converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `The Russia Desk` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia,Russia / History Page,Demonstrate that Russia / History Page converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `History Page` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
claim_crosswalk,native-russia,Russia / The 8 P0 Rows,Demonstrate that Russia / The 8 P0 Rows converts a visible input into the named output without exceeding the claim ceiling.,software architecture + workflow-state design + privacy/export governance,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) | (Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC | (Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,"The page may claim proof-structured components and visible verification targets. It may not claim external validation, production deployment, or completed empirical findings unless the project-specific record states those facts.",metadata/title routing only; close reading required before citation or quotation,"Confirm `The 8 P0 Rows` appears in the cited source context and that the public page explains what output, decision, or project function it supports.",GREEN - proof packet ready for live capture
