crosswalk_id,project_id,project_title,component,component_source_role,assigned_source_candidate,source_use_action,close_read_task,proof_gate_check,claim_ceiling,current_source_status
CW-0001,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Runtime Or Interface Surface,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Runtime Or Interface Surface.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Runtime Or Interface Surface.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0002,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Data And State Model,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Data And State Model.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Data And State Model.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0003,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Core Instrument Panel,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Core Instrument Panel.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Core Instrument Panel.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0004,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Workflow Orchestration,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Workflow Orchestration.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Workflow Orchestration.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0005,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Review And Governance Gate,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Review And Governance Gate.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Review And Governance Gate.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0006,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Export Or Integration Surface,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Export Or Integration Surface.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Export Or Integration Surface.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0007,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Build Verification Queue,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Build Verification Queue.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis Build Verification Queue.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0008,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / China and Russia,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / China and Russia.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / China and Russia.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0009,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Algorithmic Active Measures,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Algorithmic Active Measures.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Algorithmic Active Measures.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
CW-0010,algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Built materials include the full manuscript DOCX,method authority,Pherso Counterintelligence Structured Analytic Techniques,"Extract the method rule that this component must obey, then add that rule to the acceptance criteria. Component under review: Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Built materials include the full manuscript DOCX.","Close-read the assigned source for the exact rule, limitation, example, or mechanism that should alter Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis / Built materials include the full manuscript DOCX.","The input, operation, and expected output are all visible.; The evidence locator is present or the missing evidence is explicitly named.; The result supports the component claim without implying broader completion.","The source may guide structure and proof design from metadata routing, but public factual warrant requires close reading or already verified project evidence.",metadata-routed candidate; not passage-level support until close-read task is completed
