project_id,project_name,project_kind,build_mode,runtime_target,instrument_count,acceptance_test_count,stateful_runtime,exportable_receipt,package_runtime_status,full_underlying_system_complete,claim_boundary
master-bundle-atlas,Master Bundle Packet Promotion Atlas,method atlas / taxonomy,source governance build,"packet registry with extraction, authority, route, duplicate-risk, and promotion-decision fields",6,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,retrieval security / evaluation harness,software or application build,"scenario replay harness with clean/poisoned fixtures, retrieval trace, answer deformation, reviewer burden, and defense gates",7,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,retrieval security / evaluation harness,governed project build,miniature evaluation harness derived from the advisor annex,6,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
russia-desk,Russia Source-To-Judgment Desk,analysis method / workstation,software or application build,source-family to analytic-variable board with uncertainty and judgment gates,7,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
trilogy,Book Trilogy Manuscript Governance System,book / manuscript system,manuscript and publication system,"chapter dossier system with argument, source, title, voice, visual, and handoff gates",7,5,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
analytical-methods,Structured Analytic Technique Studio,analysis method / workstation,software or application build,"method studio for composing SATs, testing fit, comparing outputs, and recording human-AI sequencing effects",6,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-capstone-quantitative,Quantitative Capstone Workbench,future quantitative experiment apparatus,research publication build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,retrieval / evidence software,software or application build,"local corpus service with index, retrieval trace, scoring, negative-space, abstention, and citation/export layer",7,5,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
row10,Structured Human-AI Analyst Workstation,human-AI analysis workstation,software or application build,"interactive analysis application with SAT registry, baseline-vs-reviewed output, confidence delta, and release decision",6,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,structured analysis room,analytic instrument build,structured public page plus project-specific data packet and proof runner,4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-murano,MuranoOS Research Operating Environment,software operating environment,software or application build,"desktop or local web application with room registry, instruments, state database, agents, handoffs, and export gates",7,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
row7,Nexus Research Pipeline,research workflow software,software or application build,local-first web or desktop application with a graph-backed research-stage dependency model,7,5,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C x core/extended,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,master-bundle artifact / archive router,source governance build,"packet registry, routing table, and promotion decision board",4,4,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
native-aishared-instruments,AI Shared Instruments,AI assurance / analysis room,analytic instrument build,"packet registry, routing table, and promotion decision board",4,3,localStorage session state,browser JSON export,built,false,"This is a full-build plan, not a claim that the full operational system has already been completed."
